,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
905819961783984128,5.5043116883365775,770,1255,198,487,2018-05-06_23_40_37,2880,2017-09-07,905819961783984128,http://twitter.com/SenSasse/status/905819961783984128
909571945452023809,5.754024896285305,482,527,107,169,2018-05-06_23_39_12,1813,2017-09-17,909571945452023809,http://twitter.com/SenSasse/status/909571945452023809
910927707810213888,5.4785126582239405,316,199,68,74,2018-05-06_23_37_48,1175,2017-09-21,910927707810213888,http://twitter.com/SenSasse/status/910927707810213888
915715917207629824,5.752759084823397,743,2453,241,1076,2018-05-06_23_36_23,2843,2017-10-04,915715917207629824,http://twitter.com/SenSasse/status/915715917207629824
915997909656768512,5.679969104042562,971,2179,403,1036,2018-05-06_23_34_45,3928,2017-10-05,915997909656768512,http://twitter.com/SenSasse/status/915997909656768512
920740612185444353,5.471283422460003,187,933,181,263,2018-05-06_23_33_16,829,2017-10-18,920740612185444353,http://twitter.com/SenSasse/status/920740612185444353
884841186502086656,5.587760814260747,786,289,307,93,2018-05-06_23_48_02,2881,2017-07-11,884841186502086656,http://twitter.com/SenSasse/status/884841186502086656
890306611687895040,5.64577712612726,1023,359,329,148,2018-05-06_23_46_34,3360,2017-07-26,890306611687895040,http://twitter.com/SenSasse/status/890306611687895040
890648553772773377,5.656719706279925,817,5367,740,1807,2018-05-06_23_45_01,3130,2017-07-27,890648553772773377,http://twitter.com/SenSasse/status/890648553772773377
896010181146017792,5.748484848514451,627,1275,288,577,2018-05-06_23_43_34,2396,2017-08-11,896010181146017792,http://twitter.com/SenSasse/status/896010181146017792
905500235148996608,5.512379227075586,828,2791,1.9K,996,2018-05-06_23_42_04,3069,2017-09-06,905500235148996608,http://twitter.com/SenSasse/status/905500235148996608
868968400877375490,6.044661354579321,251,932,71,469,2018-05-06_23_55_37,794,2017-05-28,868968400877375490,http://twitter.com/SenSasse/status/868968400877375490
870789219823869952,5.678467432947014,261,93,91,11,2018-05-06_23_54_12,869,2017-06-02,870789219823869952,http://twitter.com/SenSasse/status/870789219823869952
872453440735240192,5.846923076920064,260,134,84,44,2018-05-06_23_52_46,1220,2017-06-07,872453440735240192,http://twitter.com/SenSasse/status/872453440735240192
876247114799431680,5.785374149664508,1176,4341,448,1397,2018-05-06_23_51_14,3810,2017-06-17,876247114799431680,http://twitter.com/SenSasse/status/876247114799431680
882209139404951553,5.881710654962973,1023,2084,207,856,2018-05-06_23_49_45,3274,2017-07-04,882209139404951553,http://twitter.com/SenSasse/status/882209139404951553
854127355001880576,5.7981049562621605,343,787,93,348,2018-05-07_00_02_47,1308,2017-04-17,854127355001880576,http://twitter.com/SenSasse/status/854127355001880576
856285323495489536,5.820897615741713,713,1264,283,608,2018-05-07_00_01_23,2542,2017-04-23,856285323495489536,http://twitter.com/SenSasse/status/856285323495489536
857295504216117257,5.826097560993773,574,643,133,290,2018-05-06_23_59_54,2141,2017-04-26,857295504216117257,http://twitter.com/SenSasse/status/857295504216117257
858015614048378881,5.97982758620333,348,415,96,131,2018-05-06_23_58_27,1180,2017-04-28,858015614048378881,http://twitter.com/SenSasse/status/858015614048378881
861384620079816704,5.768121387312622,692,200,215,37,2018-05-06_23_57_00,2532,2017-05-07,861384620079816704,http://twitter.com/SenSasse/status/861384620079816704
846835695067025408,5.894002267614275,882,1389,204,906,2018-05-07_00_10_05,3719,2017-03-28,846835695067025408,http://twitter.com/SenSasse/status/846835695067025408
846871798041927680,5.911114130438333,368,462,103,253,2018-05-07_00_08_33,1433,2017-03-28,846871798041927680,http://twitter.com/SenSasse/status/846871798041927680
847552863706509312,5.6221194030112445,670,390,135,147,2018-05-07_00_07_02,2138,2017-03-30,847552863706509312,http://twitter.com/SenSasse/status/847552863706509312
848993693084393472,5.641239130451479,460,680,126,248,2018-05-07_00_05_35,1756,2017-04-03,848993693084393472,http://twitter.com/SenSasse/status/848993693084393472
850381207015751680,5.785040816350844,490,467,107,115,2018-05-07_00_04_12,1913,2017-04-07,850381207015751680,http://twitter.com/SenSasse/status/850381207015751680
