,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
889855508852731904,5.5569821428860795,560,455,151,159,2018-05-04_16_21_06,2204,2017-07-25,889855508852731904,http://twitter.com/SenShelby/status/889855508852731904
889931505211977729,5.505942947717219,631,105,136,19,2018-05-04_16_19_30,2040,2017-07-25,889931505211977729,http://twitter.com/SenShelby/status/889931505211977729
890209215322759168,5.335126050473746,714,312,264,76,2018-05-04_16_17_51,2703,2017-07-26,890209215322759168,http://twitter.com/SenShelby/status/890209215322759168
891017504096751616,5.408102189793531,548,54,114,16,2018-05-04_16_16_18,1790,2017-07-28,891017504096751616,http://twitter.com/SenShelby/status/891017504096751616
897845914005581824,5.3649733570459714,563,181,117,47,2018-05-04_16_14_24,2303,2017-08-16,897845914005581824,http://twitter.com/SenShelby/status/897845914005581824
914811602645504000,5.057852564140348,936,210,740,51,2018-05-04_16_12_30,2712,2017-10-02,914811602645504000,http://twitter.com/SenShelby/status/914811602645504000
818989078712565761,5.133303964756828,227,147,73,79,2018-05-04_16_30_10,881,2017-01-10,818989078712565761,http://twitter.com/SenShelby/status/818989078712565761
832338788730953729,5.4480633803099145,568,472,513,275,2018-05-04_16_28_21,2199,2017-02-16,832338788730953729,http://twitter.com/SenShelby/status/832338788730953729
874681091646423041,5.475164410076421,517,7,136,20,2018-05-04_16_26_58,1912,2017-06-13,874681091646423041,http://twitter.com/SenShelby/status/874681091646423041
887379122552524801,5.650756013743633,291,59,90,28,2018-05-04_16_25_27,1274,2017-07-18,887379122552524801,http://twitter.com/SenShelby/status/887379122552524801
889596400719319044,5.519404255344097,705,178,163,52,2018-05-04_16_24_01,2341,2017-07-24,889596400719319044,http://twitter.com/SenShelby/status/889596400719319044
889855456616861696,5.309250457063857,547,482,156,131,2018-05-04_16_22_34,2211,2017-07-25,889855456616861696,http://twitter.com/SenShelby/status/889855456616861696
324629859244572673,5.354255319147452,329,9,77,14,2018-05-04_16_38_50,1046,2013-04-17,324629859244572673,http://twitter.com/SenShelby/status/324629859244572673
540907447863738368,6.229112781933118,665,3344,225,4328,2018-05-04_16_36_58,2840,2014-12-05,540907447863738368,http://twitter.com/SenShelby/status/540907447863738368
698666932267044864,5.641708860791394,474,73,138,51,2018-05-04_16_35_16,2031,2016-02-13,698666932267044864,http://twitter.com/SenShelby/status/698666932267044864
742033288420806657,5.240189003441819,582,57,199,33,2018-05-04_16_33_31,1733,2016-06-12,742033288420806657,http://twitter.com/SenShelby/status/742033288420806657
816732246740783112,5.4528070175584755,741,313,387,165,2018-05-04_16_31_41,2725,2017-01-04,816732246740783112,http://twitter.com/SenShelby/status/816732246740783112
