,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
911325948817133568,5.874253731342432,268,1151,79,441,2018-05-06_12_41_56,1067,2017-09-22,911325948817133568,http://twitter.com/SenSherrodBrown/status/911325948817133568
912383164395507712,5.619797687856078,346,2707,100,837,2018-05-06_12_40_22,1274,2017-09-25,912383164395507712,http://twitter.com/SenSherrodBrown/status/912383164395507712
912835723434262528,5.774279379158286,451,2845,88,384,2018-05-06_12_38_52,1310,2017-09-26,912835723434262528,http://twitter.com/SenSherrodBrown/status/912835723434262528
914906548094341120,5.8827980535371625,411,2967,89,4356,2018-05-06_12_37_24,1533,2017-09-30,914906548094341120,http://twitter.com/SenSherrodBrown/status/914906548094341120
918202098537426947,5.8370487804920845,410,1914,100,653,2018-05-06_12_35_55,1528,2017-10-11,918202098537426947,http://twitter.com/SenSherrodBrown/status/918202098537426947
918926830559744001,6.51844444444286,495,9978,366,6129,2018-05-06_12_34_27,1520,2017-10-13,918926830559744001,http://twitter.com/SenSherrodBrown/status/918926830559744001
908364733178421248,5.452391930830702,347,894,70,472,2018-05-06_12_49_22,1144,2017-09-14,908364733178421248,http://twitter.com/SenSherrodBrown/status/908364733178421248
909927082658017280,5.583873873877642,444,1260,70,680,2018-05-06_12_47_55,1565,2017-09-18,909927082658017280,http://twitter.com/SenSherrodBrown/status/909927082658017280
910250676369883137,5.607206823039032,469,2872,121,1476,2018-05-06_12_46_25,1630,2017-09-19,910250676369883137,http://twitter.com/SenSherrodBrown/status/910250676369883137
910592610871463936,5.838510638318037,611,2056,163,800,2018-05-06_12_44_57,2129,2017-09-20,910592610871463936,http://twitter.com/SenSherrodBrown/status/910592610871463936
910997943141982208,5.637634782626907,575,2037,120,848,2018-05-06_12_43_24,2167,2017-09-21,910997943141982208,http://twitter.com/SenSherrodBrown/status/910997943141982208
903671864433750016,5.390268199232306,261,935,69,429,2018-05-06_12_56_47,854,2017-09-01,903671864433750016,http://twitter.com/SenSherrodBrown/status/903671864433750016
904780733616664576,5.608821362821484,543,3309,239,1784,2018-05-06_12_55_23,2179,2017-09-04,904780733616664576,http://twitter.com/SenSherrodBrown/status/904780733616664576
905093567131115521,5.5940034071885405,587,3423,180,1214,2018-05-06_12_53_46,2503,2017-09-05,905093567131115521,http://twitter.com/SenSherrodBrown/status/905093567131115521
907998882822533120,5.4390430621986905,209,614,74,425,2018-05-06_12_52_19,828,2017-09-13,907998882822533120,http://twitter.com/SenSherrodBrown/status/907998882822533120
908349218330431490,5.246037151699946,323,475,79,719,2018-05-06_12_50_50,1124,2017-09-14,908349218330431490,http://twitter.com/SenSherrodBrown/status/908349218330431490
899814972146020353,5.52861788619611,615,2039,148,956,2018-05-06_13_01_05,2219,2017-08-21,899814972146020353,http://twitter.com/SenSherrodBrown/status/899814972146020353
901250007113883650,5.3048837209289434,172,767,72,175,2018-05-06_12_59_43,753,2017-08-25,901250007113883650,http://twitter.com/SenSherrodBrown/status/901250007113883650
901254979763273729,5.334176829264028,328,1189,71,327,2018-05-06_12_58_15,1258,2017-08-25,901254979763273729,http://twitter.com/SenSherrodBrown/status/901254979763273729
898631945147502593,5.636435643561572,303,1095,92,235,2018-05-06_13_05_14,1084,2017-08-18,898631945147502593,http://twitter.com/SenSherrodBrown/status/898631945147502593
898664573418569733,5.6475280898994775,445,1652,122,392,2018-05-06_13_03_41,1801,2017-08-18,898664573418569733,http://twitter.com/SenSherrodBrown/status/898664573418569733
890759147200839681,5.695850622416179,482,4018,117,1326,2018-05-06_13_18_25,1633,2017-07-27,890759147200839681,http://twitter.com/SenSherrodBrown/status/890759147200839681
890811466432917505,6.098428874732697,471,3093,153,585,2018-05-06_13_16_16,1330,2017-07-27,890811466432917505,http://twitter.com/SenSherrodBrown/status/890811466432917505
885587356480417792,5.620787878783591,330,1158,79,700,2018-05-06_13_27_36,1234,2017-07-13,885587356480417792,http://twitter.com/SenSherrodBrown/status/885587356480417792
887299936752160768,5.846532438489177,447,1441,109,360,2018-05-06_13_26_05,1677,2017-07-18,887299936752160768,http://twitter.com/SenSherrodBrown/status/887299936752160768
888101976935993344,5.651327014223813,422,758,133,865,2018-05-06_13_24_19,1507,2017-07-20,888101976935993344,http://twitter.com/SenSherrodBrown/status/888101976935993344
889926351603589120,5.869370460049968,413,1183,93,624,2018-05-06_13_22_29,1456,2017-07-25,889926351603589120,http://twitter.com/SenSherrodBrown/status/889926351603589120
890030327481200644,5.675389408097135,321,1266,80,410,2018-05-06_13_20_44,1044,2017-07-25,890030327481200644,http://twitter.com/SenSherrodBrown/status/890030327481200644
879499865444712448,5.535781250001345,384,1967,98,686,2018-05-06_13_35_41,1546,2017-06-26,879499865444712448,http://twitter.com/SenSherrodBrown/status/879499865444712448
