,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
829057984789635072,5.5828201439097205,695,991,1.8K,810,2018-05-04_11_33_47,2980,2017-02-07,829057984789635072,http://twitter.com/SenThadCochran/status/829057984789635072
829511387642724353,5.584124293798389,531,16161,1.3K,2663,2018-05-04_11_32_05,1706,2017-02-08,829511387642724353,http://twitter.com/SenThadCochran/status/829511387642724353
836780005971660800,5.730596330273232,218,1975,80,470,2018-05-04_11_30_39,822,2017-02-28,836780005971660800,http://twitter.com/SenThadCochran/status/836780005971660800
844246679066988545,5.591850220283001,681,31062,4.3K,8140,2018-05-04_11_29_11,2346,2017-03-21,844246679066988545,http://twitter.com/SenThadCochran/status/844246679066988545
907358200017629184,5.395181236695721,938,1428,206,527,2018-05-04_11_27_42,2910,2017-09-11,907358200017629184,http://twitter.com/SenThadCochran/status/907358200017629184
913104187105345537,5.726857798183635,872,1715,271,541,2018-05-04_11_26_03,2719,2017-09-27,913104187105345537,http://twitter.com/SenThadCochran/status/913104187105345537
914884933910482946,5.211080097120744,824,131,290,34,2018-05-04_11_24_23,2748,2017-10-02,914884933910482946,http://twitter.com/SenThadCochran/status/914884933910482946
324641166337380352,5.285593220352973,531,16,110,42,2018-05-04_11_43_18,1514,2013-04-17,324641166337380352,http://twitter.com/SenThadCochran/status/324641166337380352
383673618598596608,5.591407766996656,412,2,75,11,2018-05-04_11_41_52,1451,2013-09-27,383673618598596608,http://twitter.com/SenThadCochran/status/383673618598596608
385070325731295232,5.904406779675809,472,895,162,3310,2018-05-04_11_40_23,2412,2013-10-01,385070325731295232,http://twitter.com/SenThadCochran/status/385070325731295232
481123031994335232,5.480635838151307,346,6,70,5,2018-05-04_11_38_56,1253,2014-06-23,481123031994335232,http://twitter.com/SenThadCochran/status/481123031994335232
819608549777145857,5.527309644664471,394,116,116,64,2018-05-04_11_37_25,1334,2017-01-12,819608549777145857,http://twitter.com/SenThadCochran/status/819608549777145857
826605141306572800,5.674636871504314,358,225,122,64,2018-05-04_11_35_58,1451,2017-01-31,826605141306572800,http://twitter.com/SenThadCochran/status/826605141306572800
