,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
914815148879171584,5.57251968508644,889,147,491,37,2018-05-08_12_34_12,2921,2017-10-02,914815148879171584,http://twitter.com/SenThomTillis/status/914815148879171584
916026244952715264,5.5517127072169234,724,98,145,22,2018-05-08_12_32_38,2147,2017-10-05,916026244952715264,http://twitter.com/SenThomTillis/status/916026244952715264
918902260930940935,5.5253299492630665,591,64444,23K,16822,2018-05-08_12_30_52,2660,2017-10-13,918902260930940935,http://twitter.com/SenThomTillis/status/918902260930940935
920721799536697344,5.511375000003,480,164,133,54,2018-05-08_12_29_12,1434,2017-10-18,920721799536697344,http://twitter.com/SenThomTillis/status/920721799536697344
920759323810287616,5.585855354690164,719,120,160,20,2018-05-08_12_27_33,2304,2017-10-18,920759323810287616,http://twitter.com/SenThomTillis/status/920759323810287616
921191180850946048,5.581694480123312,779,1138,320,437,2018-05-08_12_25_45,2857,2017-10-19,921191180850946048,http://twitter.com/SenThomTillis/status/921191180850946048
912682015077670912,5.543783783794855,444,85,83,22,2018-05-08_12_40_02,1727,2017-09-26,912682015077670912,http://twitter.com/SenThomTillis/status/912682015077670912
913411223856836609,5.518535825542587,321,17,88,9,2018-05-08_12_37_40,1194,2017-09-28,913411223856836609,http://twitter.com/SenThomTillis/status/913411223856836609
914586549894942721,6.150136054422081,147,5042,90,2386,2018-05-08_12_35_58,477,2017-10-01,914586549894942721,http://twitter.com/SenThomTillis/status/914586549894942721
908745336860094466,5.658565121425459,453,200,153,61,2018-05-08_12_49_16,1568,2017-09-15,908745336860094466,http://twitter.com/SenThomTillis/status/908745336860094466
908763171703410695,5.556232227491299,422,93,95,19,2018-05-08_12_47_44,1437,2017-09-15,908763171703410695,http://twitter.com/SenThomTillis/status/908763171703410695
910533406945169408,5.489617834392448,314,66,81,24,2018-05-08_12_45_51,1303,2017-09-20,910533406945169408,http://twitter.com/SenThomTillis/status/910533406945169408
910689371640213504,5.682077922102656,770,97,151,38,2018-05-08_12_43_53,2682,2017-09-20,910689371640213504,http://twitter.com/SenThomTillis/status/910689371640213504
910967853142114305,5.353544494741809,663,114,181,53,2018-05-08_12_42_09,2309,2017-09-21,910967853142114305,http://twitter.com/SenThomTillis/status/910967853142114305
905451224861958145,5.7811133200939695,503,125,122,53,2018-05-08_12_55_50,1946,2017-09-06,905451224861958145,http://twitter.com/SenThomTillis/status/905451224861958145
905836091843989505,5.634371134033206,485,90,110,28,2018-05-08_12_54_09,1970,2017-09-07,905836091843989505,http://twitter.com/SenThomTillis/status/905836091843989505
907715890803769344,5.636632537006682,879,118,255,33,2018-05-08_12_52_30,3108,2017-09-12,907715890803769344,http://twitter.com/SenThomTillis/status/907715890803769344
908344707121664005,5.757012345682463,405,132,103,33,2018-05-08_12_50_53,1399,2017-09-14,908344707121664005,http://twitter.com/SenThomTillis/status/908344707121664005
903743401782333440,5.590515021493144,699,157,665,85,2018-05-08_13_03_42,2567,2017-09-01,903743401782333440,http://twitter.com/SenThomTillis/status/903743401782333440
903743940649775105,5.680900809745219,988,143,196,63,2018-05-08_13_01_59,3324,2017-09-01,903743940649775105,http://twitter.com/SenThomTillis/status/903743940649775105
903749306150158341,5.530936395779259,566,84,130,51,2018-05-08_13_00_27,1901,2017-09-01,903749306150158341,http://twitter.com/SenThomTillis/status/903749306150158341
905088779068874756,5.728140043775449,457,147,98,53,2018-05-08_12_58_45,1689,2017-09-05,905088779068874756,http://twitter.com/SenThomTillis/status/905088779068874756
899812316681732096,5.501055276378517,398,81,88,24,2018-05-08_13_11_26,1362,2017-08-21,899812316681732096,http://twitter.com/SenThomTillis/status/899812316681732096
900011523426459648,6.021137254900414,255,2649,72,1388,2018-05-08_13_09_50,952,2017-08-21,900011523426459648,http://twitter.com/SenThomTillis/status/900011523426459648
902993132165492737,5.48498704666496,772,381,189,182,2018-05-08_13_08_14,2711,2017-08-30,902993132165492737,http://twitter.com/SenThomTillis/status/902993132165492737
903742566558040064,5.556671779170438,652,514,440,153,2018-05-08_13_06_43,2770,2017-09-01,903742566558040064,http://twitter.com/SenThomTillis/status/903742566558040064
903743003629670400,5.416859903387618,414,132,108,56,2018-05-08_13_05_17,1450,2017-09-01,903743003629670400,http://twitter.com/SenThomTillis/status/903743003629670400
896447214490443776,5.496000000024665,935,617,334,200,2018-05-08_13_18_50,3528,2017-08-12,896447214490443776,http://twitter.com/SenThomTillis/status/896447214490443776
896504624667963392,5.39103492887687,773,3999,200,1134,2018-05-08_13_16_55,2953,2017-08-12,896504624667963392,http://twitter.com/SenThomTillis/status/896504624667963392
897479063635447808,6.4154315789446335,475,3084,157,1154,2018-05-08_13_15_19,1098,2017-08-14,897479063635447808,http://twitter.com/SenThomTillis/status/897479063635447808
897599633509298176,5.485937961622787,677,1494,817,416,2018-05-08_13_13_52,2835,2017-08-15,897599633509298176,http://twitter.com/SenThomTillis/status/897599633509298176
894595131533340672,5.680805369143517,447,101,155,54,2018-05-08_13_23_46,1711,2017-08-06,894595131533340672,http://twitter.com/SenThomTillis/status/894595131533340672
895822008562446336,5.735672043012563,372,79,78,22,2018-05-08_13_22_11,1459,2017-08-10,895822008562446336,http://twitter.com/SenThomTillis/status/895822008562446336
894197795900600321,5.582169811315682,318,50,72,21,2018-05-08_13_31_45,1121,2017-08-06,894197795900600321,http://twitter.com/SenThomTillis/status/894197795900600321
894197827731165185,5.415670329690586,455,50,107,28,2018-05-08_13_30_09,1852,2017-08-06,894197827731165185,http://twitter.com/SenThomTillis/status/894197827731165185
894198204992016385,5.70373222751829,844,96,267,37,2018-05-08_13_28_36,3113,2017-08-06,894198204992016385,http://twitter.com/SenThomTillis/status/894198204992016385
894217934431825925,5.6220876288932935,776,66,320,28,2018-05-08_13_27_06,2978,2017-08-06,894217934431825925,http://twitter.com/SenThomTillis/status/894217934431825925
894219006290399234,5.5553469388078565,735,86,300,39,2018-05-08_13_25_17,2858,2017-08-06,894219006290399234,http://twitter.com/SenThomTillis/status/894219006290399234
893084033248251904,5.828566265102951,830,868,196,340,2018-05-08_13_38_06,2814,2017-08-03,893084033248251904,http://twitter.com/SenThomTillis/status/893084033248251904
893201363651481605,5.725491606746718,834,149,338,49,2018-05-08_13_36_08,3040,2017-08-03,893201363651481605,http://twitter.com/SenThomTillis/status/893201363651481605
893484294131388416,6.674841628959231,442,3355,145,1321,2018-05-08_13_34_39,1144,2017-08-04,893484294131388416,http://twitter.com/SenThomTillis/status/893484294131388416
894183043296047104,5.652793103444848,290,54,93,22,2018-05-08_13_33_13,1205,2017-08-06,894183043296047104,http://twitter.com/SenThomTillis/status/894183043296047104
891116605480062976,5.54408056043718,571,138,172,39,2018-05-08_13_43_45,2021,2017-07-28,891116605480062976,http://twitter.com/SenThomTillis/status/891116605480062976
892412962933276672,5.76522658610103,331,13,92,9,2018-05-08_13_42_21,1199,2017-08-01,892412962933276672,http://twitter.com/SenThomTillis/status/892412962933276672
892851646803451904,5.6745742092583304,411,544,113,209,2018-05-08_13_40_58,1707,2017-08-02,892851646803451904,http://twitter.com/SenThomTillis/status/892851646803451904
892914338603954177,5.739218750036764,768,71,194,22,2018-05-08_13_39_33,3010,2017-08-02,892914338603954177,http://twitter.com/SenThomTillis/status/892914338603954177
