,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
899722684359213056,5.677169117668481,544,169,116,50,2018-05-06_22_04_01,1979,2017-08-21,899722684359213056,http://twitter.com/SenToddYoung/status/899722684359213056
911243676629729280,5.442479508206938,488,35,98,9,2018-05-06_22_02_34,1632,2017-09-22,911243676629729280,http://twitter.com/SenToddYoung/status/911243676629729280
912389917308850182,5.701657142855457,350,45,73,15,2018-05-06_22_01_05,1250,2017-09-25,912389917308850182,http://twitter.com/SenToddYoung/status/912389917308850182
913183937761038336,5.374851485165711,606,90,115,50,2018-05-06_21_59_46,1831,2017-09-27,913183937761038336,http://twitter.com/SenToddYoung/status/913183937761038336
913918340678033408,5.495653775334902,543,33,100,11,2018-05-06_21_58_29,1647,2017-09-29,913918340678033408,http://twitter.com/SenToddYoung/status/913918340678033408
889560664909500419,5.5908823529386655,340,15,77,5,2018-05-06_22_10_56,1103,2017-07-24,889560664909500419,http://twitter.com/SenToddYoung/status/889560664909500419
889937280420458497,5.499707317036892,1230,85,496,36,2018-05-06_22_09_30,4060,2017-07-25,889937280420458497,http://twitter.com/SenToddYoung/status/889937280420458497
896041498357182469,5.319898132456255,589,97,154,43,2018-05-06_22_08_07,2197,2017-08-11,896041498357182469,http://twitter.com/SenToddYoung/status/896041498357182469
896420914031669248,5.4804881101633445,799,212,184,65,2018-05-06_22_06_45,3093,2017-08-12,896420914031669248,http://twitter.com/SenToddYoung/status/896420914031669248
897582318013042688,5.4044961240525184,645,1288,875,383,2018-05-06_22_05_24,2623,2017-08-15,897582318013042688,http://twitter.com/SenToddYoung/status/897582318013042688
874654365499392000,5.913878406713914,477,815,133,254,2018-05-06_22_17_56,1515,2017-06-13,874654365499392000,http://twitter.com/SenToddYoung/status/874654365499392000
877226446061793280,5.436924643608136,982,20,222,11,2018-05-06_22_16_28,3498,2017-06-20,877226446061793280,http://twitter.com/SenToddYoung/status/877226446061793280
877630253027307520,5.606772727274842,440,25,85,5,2018-05-06_22_15_07,1446,2017-06-21,877630253027307520,http://twitter.com/SenToddYoung/status/877630253027307520
877990659671633923,5.365514184409105,1128,40,577,15,2018-05-06_22_13_38,3922,2017-06-22,877990659671633923,http://twitter.com/SenToddYoung/status/877990659671633923
878379642838802433,5.419720670386138,358,49,90,3,2018-05-06_22_12_19,1263,2017-06-23,878379642838802433,http://twitter.com/SenToddYoung/status/878379642838802433
849994560575086592,5.392446808507907,376,459,126,176,2018-05-06_22_24_11,1335,2017-04-05,849994560575086592,http://twitter.com/SenToddYoung/status/849994560575086592
860222820864929792,5.731345707660212,431,28,95,8,2018-05-06_22_22_43,1387,2017-05-04,860222820864929792,http://twitter.com/SenToddYoung/status/860222820864929792
862140282720198657,6.10695825051069,503,17,122,8,2018-05-06_22_21_18,1740,2017-05-09,862140282720198657,http://twitter.com/SenToddYoung/status/862140282720198657
