,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920081250563579904,5.909928229678353,418,169,97,27,2018-05-03_17_44_15,1489,2017-10-16,920081250563579904,http://twitter.com/SenToomey/status/920081250563579904
920380530251755520,5.600791527333787,897,28,185,12,2018-05-03_17_42_45,3018,2017-10-17,920380530251755520,http://twitter.com/SenToomey/status/920380530251755520
920436906923626496,5.430026041697499,768,235,171,70,2018-05-03_17_41_21,2463,2017-10-17,920436906923626496,http://twitter.com/SenToomey/status/920436906923626496
920722064121782273,5.529467640946135,958,68,219,21,2018-05-03_17_39_51,2822,2017-10-18,920722064121782273,http://twitter.com/SenToomey/status/920722064121782273
921088977603645441,5.414252427200791,515,80,100,20,2018-05-03_17_38_27,1848,2017-10-19,921088977603645441,http://twitter.com/SenToomey/status/921088977603645441
921189020981432320,5.475929861879803,941,69,275,36,2018-05-03_17_36_59,3061,2017-10-19,921189020981432320,http://twitter.com/SenToomey/status/921189020981432320
916415361330941953,5.519010989016769,455,34,85,13,2018-05-03_17_51_24,1621,2017-10-06,916415361330941953,http://twitter.com/SenToomey/status/916415361330941953
917843387000217600,5.669027355622879,329,106,91,24,2018-05-03_17_50_00,1210,2017-10-10,917843387000217600,http://twitter.com/SenToomey/status/917843387000217600
918499527241367552,5.591717557250469,262,164,308,51,2018-05-03_17_48_33,920,2017-10-12,918499527241367552,http://twitter.com/SenToomey/status/918499527241367552
919270072304259073,5.700448877803045,401,72,83,15,2018-05-03_17_47_04,1360,2017-10-14,919270072304259073,http://twitter.com/SenToomey/status/919270072304259073
919679309018730497,5.862339832865891,359,143,81,29,2018-05-03_17_45_38,1360,2017-10-15,919679309018730497,http://twitter.com/SenToomey/status/919679309018730497
915979391473090560,5.431575342483544,730,55,145,26,2018-05-03_17_57_31,2313,2017-10-05,915979391473090560,http://twitter.com/SenToomey/status/915979391473090560
915986309201657856,5.498714524224909,599,28,111,12,2018-05-03_17_56_08,1929,2017-10-05,915986309201657856,http://twitter.com/SenToomey/status/915986309201657856
916051048699219974,5.3498867924499525,265,24,101,7,2018-05-03_17_54_44,855,2017-10-05,916051048699219974,http://twitter.com/SenToomey/status/916051048699219974
916078802857615361,5.423402705542488,961,65,270,19,2018-05-03_17_53_15,3059,2017-10-05,916078802857615361,http://twitter.com/SenToomey/status/916078802857615361
913853047155101696,5.382809667690724,662,25,136,10,2018-05-03_18_02_41,2261,2017-09-29,913853047155101696,http://twitter.com/SenToomey/status/913853047155101696
913893618724868096,5.318727272733244,440,29,121,11,2018-05-03_18_01_16,1494,2017-09-29,913893618724868096,http://twitter.com/SenToomey/status/913893618724868096
914797384202407937,5.364464487074418,887,157,652,35,2018-05-03_17_59_52,2707,2017-10-02,914797384202407937,http://twitter.com/SenToomey/status/914797384202407937
913131240940883968,5.571196043187121,1112,183,301,63,2018-05-03_18_08_48,3485,2017-09-27,913131240940883968,http://twitter.com/SenToomey/status/913131240940883968
913142676559663105,5.399645933033197,1045,97,512,24,2018-05-03_18_07_21,3253,2017-09-27,913142676559663105,http://twitter.com/SenToomey/status/913142676559663105
913195903938449408,5.946159638589518,664,412,168,126,2018-05-03_18_05_56,2357,2017-09-27,913195903938449408,http://twitter.com/SenToomey/status/913195903938449408
913766086956519424,5.560948616598654,253,90,96,16,2018-05-03_18_04_06,941,2017-09-29,913766086956519424,http://twitter.com/SenToomey/status/913766086956519424
911313854155640835,5.749293563603393,637,84,166,14,2018-05-03_18_14_52,2218,2017-09-22,911313854155640835,http://twitter.com/SenToomey/status/911313854155640835
912344752191934464,5.3758639911260895,897,46,218,17,2018-05-03_18_13_26,3085,2017-09-25,912344752191934464,http://twitter.com/SenToomey/status/912344752191934464
913057467625562112,5.374896551723426,145,485,259,99,2018-05-03_18_12_06,481,2017-09-27,913057467625562112,http://twitter.com/SenToomey/status/913057467625562112
913107979439939584,5.515410557202379,682,413,474,167,2018-05-03_18_10_13,2219,2017-09-27,913107979439939584,http://twitter.com/SenToomey/status/913107979439939584
909914093003444224,5.4127441860519045,430,14,102,5,2018-05-03_18_22_19,1529,2017-09-18,909914093003444224,http://twitter.com/SenToomey/status/909914093003444224
910162123069775873,5.3723169399056205,915,61,352,40,2018-05-03_18_20_52,3345,2017-09-19,910162123069775873,http://twitter.com/SenToomey/status/910162123069775873
910296490588999680,5.304619469066724,1130,49,222,15,2018-05-03_18_19_25,3939,2017-09-19,910296490588999680,http://twitter.com/SenToomey/status/910296490588999680
910635972932653058,5.710507812507221,512,55,109,20,2018-05-03_18_17_59,1550,2017-09-20,910635972932653058,http://twitter.com/SenToomey/status/910635972932653058
910966594473545729,5.558741721853554,151,69,154,16,2018-05-03_18_16_20,562,2017-09-21,910966594473545729,http://twitter.com/SenToomey/status/910966594473545729
907775327648313344,5.554488778093117,802,203,181,52,2018-05-03_18_29_29,2676,2017-09-12,907775327648313344,http://twitter.com/SenToomey/status/907775327648313344
909139491432157184,5.880155172440682,580,101,132,9,2018-05-03_18_28_05,2062,2017-09-16,909139491432157184,http://twitter.com/SenToomey/status/909139491432157184
909454360089890816,5.828878048813376,615,101,129,27,2018-05-03_18_26_36,2096,2017-09-17,909454360089890816,http://twitter.com/SenToomey/status/909454360089890816
909829526359769088,6.556892561972108,605,15082,579,5961,2018-05-03_18_25_10,1539,2017-09-18,909829526359769088,http://twitter.com/SenToomey/status/909829526359769088
909861019731849216,5.532233676973382,291,10,68,5,2018-05-03_18_23_43,1112,2017-09-18,909861019731849216,http://twitter.com/SenToomey/status/909861019731849216
905104218612277249,5.563134479306427,989,787,713,210,2018-05-03_18_36_21,3681,2017-09-05,905104218612277249,http://twitter.com/SenToomey/status/905104218612277249
905870999119384577,5.488800931347594,859,26,187,23,2018-05-03_18_34_55,2901,2017-09-07,905870999119384577,http://twitter.com/SenToomey/status/905870999119384577
905911960990093316,5.457058823550455,476,46,112,16,2018-05-03_18_33_35,1913,2017-09-07,905911960990093316,http://twitter.com/SenToomey/status/905911960990093316
906172602858786819,5.4730084745869885,472,20,102,7,2018-05-03_18_32_11,1570,2017-09-08,906172602858786819,http://twitter.com/SenToomey/status/906172602858786819
907618570670153729,5.362321428569111,336,25,75,10,2018-05-03_18_30_53,1045,2017-09-12,907618570670153729,http://twitter.com/SenToomey/status/907618570670153729
902973267539046401,5.4199485597019885,972,170,255,62,2018-05-03_18_43_36,3190,2017-08-30,902973267539046401,http://twitter.com/SenToomey/status/902973267539046401
903305090714492929,5.626760355063577,676,22,171,21,2018-05-03_18_42_10,2562,2017-08-31,903305090714492929,http://twitter.com/SenToomey/status/903305090714492929
903390877409845249,5.554043321298163,277,20,78,11,2018-05-03_18_40_45,1098,2017-08-31,903390877409845249,http://twitter.com/SenToomey/status/903390877409845249
903415837708738564,5.493341935515339,775,39,191,11,2018-05-03_18_39_14,3270,2017-08-31,903415837708738564,http://twitter.com/SenToomey/status/903415837708738564
904753851835744256,5.877440000024053,625,84,132,9,2018-05-03_18_37_49,2112,2017-09-04,904753851835744256,http://twitter.com/SenToomey/status/904753851835744256
901546230387531780,5.657938931295417,393,118,87,18,2018-05-03_18_50_50,1370,2017-08-26,901546230387531780,http://twitter.com/SenToomey/status/901546230387531780
902182682582540288,5.557840000010755,500,33,101,19,2018-05-03_18_49_22,1729,2017-08-28,902182682582540288,http://twitter.com/SenToomey/status/902182682582540288
902237928339988481,5.377815344629905,769,144,498,54,2018-05-03_18_47_57,3082,2017-08-28,902237928339988481,http://twitter.com/SenToomey/status/902237928339988481
902569661056905216,5.928760162609509,492,79,123,11,2018-05-03_18_46_31,1725,2017-08-29,902569661056905216,http://twitter.com/SenToomey/status/902569661056905216
