,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
914669137955364864,5.279826589593669,346,489,73,409,2018-05-08_13_51_53,1089,2017-10-01,914669137955364864,http://twitter.com/SenWhitehouse/status/914669137955364864
916460972574937090,5.640499999998816,220,1118,80,551,2018-05-08_13_50_13,864,2017-10-06,916460972574937090,http://twitter.com/SenWhitehouse/status/916460972574937090
917558782908960768,5.583625592420543,422,392,108,239,2018-05-08_13_48_35,1535,2017-10-09,917558782908960768,http://twitter.com/SenWhitehouse/status/917558782908960768
917798307568775168,5.6887837837869855,370,1160,110,688,2018-05-08_13_46_56,1584,2017-10-10,917798307568775168,http://twitter.com/SenWhitehouse/status/917798307568775168
919385481137348610,5.518057971010761,345,210,92,141,2018-05-08_13_45_26,1331,2017-10-14,919385481137348610,http://twitter.com/SenWhitehouse/status/919385481137348610
919737786369966080,5.639695431482619,394,666,101,395,2018-05-08_13_43_57,1564,2017-10-15,919737786369966080,http://twitter.com/SenWhitehouse/status/919737786369966080
909856865986781187,5.370757855835133,541,1153,118,772,2018-05-08_14_00_51,1939,2017-09-18,909856865986781187,http://twitter.com/SenWhitehouse/status/909856865986781187
910586941514674177,5.442410000023665,1000,4984,613,3576,2018-05-08_13_59_01,3411,2017-09-19,910586941514674177,http://twitter.com/SenWhitehouse/status/910586941514674177
913213227802218496,5.415372124512878,739,1614,175,1328,2018-05-08_13_56_44,2554,2017-09-27,913213227802218496,http://twitter.com/SenWhitehouse/status/913213227802218496
913513015093362693,5.44053997924662,963,9547,927,4794,2018-05-08_13_55_05,3136,2017-09-27,913513015093362693,http://twitter.com/SenWhitehouse/status/913513015093362693
913868994549084160,5.647609756096736,205,1191,70,324,2018-05-08_13_53_30,882,2017-09-29,913868994549084160,http://twitter.com/SenWhitehouse/status/913868994549084160
905093452353949696,5.6968947368453895,380,879,90,436,2018-05-08_14_10_43,1371,2017-09-05,905093452353949696,http://twitter.com/SenWhitehouse/status/905093452353949696
905186528732860416,6.262346570447347,831,13053,833,5107,2018-05-08_14_09_06,2629,2017-09-05,905186528732860416,http://twitter.com/SenWhitehouse/status/905186528732860416
906268899590721539,5.995781250005576,448,5515,146,2483,2018-05-08_14_07_23,1656,2017-09-08,906268899590721539,http://twitter.com/SenWhitehouse/status/906268899590721539
906557120635473920,5.8114713896720716,1101,6806,325,1818,2018-05-08_14_05_52,3491,2017-09-09,906557120635473920,http://twitter.com/SenWhitehouse/status/906557120635473920
907340597245218817,5.902029972773372,734,4727,192,1143,2018-05-08_14_04_07,2432,2017-09-11,907340597245218817,http://twitter.com/SenWhitehouse/status/907340597245218817
907393064351739906,5.5087136929452685,241,685,74,249,2018-05-08_14_02_28,1027,2017-09-11,907393064351739906,http://twitter.com/SenWhitehouse/status/907393064351739906
897863836925136897,5.534479166679412,480,1150,149,441,2018-05-08_14_19_59,1807,2017-08-16,897863836925136897,http://twitter.com/SenWhitehouse/status/897863836925136897
898287852722827264,5.31108333334741,480,1009,202,472,2018-05-08_14_18_25,2075,2017-08-17,898287852722827264,http://twitter.com/SenWhitehouse/status/898287852722827264
898607263794909186,5.486233552635074,608,1781,387,640,2018-05-08_14_17_00,2215,2017-08-18,898607263794909186,http://twitter.com/SenWhitehouse/status/898607263794909186
899332840424439809,5.661801470586822,272,343,77,231,2018-05-08_14_15_28,996,2017-08-20,899332840424439809,http://twitter.com/SenWhitehouse/status/899332840424439809
903274858955644930,5.56951768490858,622,6198,642,3293,2018-05-08_14_13_49,2477,2017-08-31,903274858955644930,http://twitter.com/SenWhitehouse/status/903274858955644930
904853361236815872,5.318196721311423,305,3310,116,1955,2018-05-08_14_12_17,1337,2017-09-04,904853361236815872,http://twitter.com/SenWhitehouse/status/904853361236815872
894683408932245504,5.497116279068834,430,851,105,344,2018-05-08_14_27_44,1594,2017-08-07,894683408932245504,http://twitter.com/SenWhitehouse/status/894683408932245504
894699571300925441,5.4243083003931085,253,1797,69,641,2018-05-08_14_26_19,1019,2017-08-07,894699571300925441,http://twitter.com/SenWhitehouse/status/894699571300925441
894989162725724164,5.38883292384492,814,31730,608,12809,2018-05-08_14_24_40,3020,2017-08-08,894989162725724164,http://twitter.com/SenWhitehouse/status/894989162725724164
895385100564779012,5.713440453696624,529,2884,240,1462,2018-05-08_14_23_06,2111,2017-08-09,895385100564779012,http://twitter.com/SenWhitehouse/status/895385100564779012
897571352487571456,5.415325203264973,492,2471,158,807,2018-05-08_14_21_30,1969,2017-08-15,897571352487571456,http://twitter.com/SenWhitehouse/status/897571352487571456
891362029839233024,5.672943925243567,428,6004,154,1708,2018-05-08_14_34_17,1854,2017-07-29,891362029839233024,http://twitter.com/SenWhitehouse/status/891362029839233024
891473774771679232,5.12866336633477,202,2721,72,1592,2018-05-08_14_32_47,945,2017-07-29,891473774771679232,http://twitter.com/SenWhitehouse/status/891473774771679232
893136319668506624,5.636758620731668,870,98982,5.6K,30980,2018-05-08_14_31_13,3103,2017-08-03,893136319668506624,http://twitter.com/SenWhitehouse/status/893136319668506624
893592136473612290,5.654239130436316,368,2240,93,980,2018-05-08_14_29_09,1393,2017-08-04,893592136473612290,http://twitter.com/SenWhitehouse/status/893592136473612290
889930798832504832,5.518767395640298,503,1489,121,744,2018-05-08_14_41_53,1912,2017-07-25,889930798832504832,http://twitter.com/SenWhitehouse/status/889930798832504832
889984019617771522,5.668095238094107,252,1143,74,851,2018-05-08_14_40_23,890,2017-07-25,889984019617771522,http://twitter.com/SenWhitehouse/status/889984019617771522
890715142668902401,5.526983606553446,305,3824,79,1316,2018-05-08_14_38_52,1119,2017-07-27,890715142668902401,http://twitter.com/SenWhitehouse/status/890715142668902401
890776607136391168,5.771688654376239,758,12948,544,6317,2018-05-08_14_37_15,2755,2017-07-27,890776607136391168,http://twitter.com/SenWhitehouse/status/890776607136391168
890777445690953732,5.38153846153785,247,543,70,407,2018-05-08_14_35_46,921,2017-07-27,890777445690953732,http://twitter.com/SenWhitehouse/status/890777445690953732
888478753252413441,5.162976190472619,252,548,74,450,2018-05-08_14_49_43,999,2017-07-20,888478753252413441,http://twitter.com/SenWhitehouse/status/888478753252413441
889531210296434689,5.587715133545759,674,2862,343,1425,2018-05-08_14_48_13,2590,2017-07-23,889531210296434689,http://twitter.com/SenWhitehouse/status/889531210296434689
889895902873346052,5.639732057432183,1045,4843,219,2462,2018-05-08_14_46_44,3661,2017-07-25,889895902873346052,http://twitter.com/SenWhitehouse/status/889895902873346052
889896011535142914,5.647679697370355,793,1961,262,951,2018-05-08_14_45_04,2940,2017-07-25,889896011535142914,http://twitter.com/SenWhitehouse/status/889896011535142914
889896146621091840,5.585877034380335,553,802,110,424,2018-05-08_14_43_30,1838,2017-07-25,889896146621091840,http://twitter.com/SenWhitehouse/status/889896146621091840
885640142496641024,5.4899476439793835,191,225,73,81,2018-05-08_14_54_03,726,2017-07-13,885640142496641024,http://twitter.com/SenWhitehouse/status/885640142496641024
888067781236850688,5.658842105261932,190,417,76,366,2018-05-08_14_52_38,812,2017-07-20,888067781236850688,http://twitter.com/SenWhitehouse/status/888067781236850688
888102836923506693,5.588240740739877,216,764,67,535,2018-05-08_14_51_11,840,2017-07-20,888102836923506693,http://twitter.com/SenWhitehouse/status/888102836923506693
876986713826054144,5.576973180076616,261,541,73,204,2018-05-08_15_03_33,871,2017-06-19,876986713826054144,http://twitter.com/SenWhitehouse/status/876986713826054144
877654544565522433,5.273233766239676,770,6209,316,4437,2018-05-08_15_01_54,2534,2017-06-21,877654544565522433,http://twitter.com/SenWhitehouse/status/877654544565522433
880465770781831170,5.587566137592502,756,149512,20K,46398,2018-05-08_15_00_13,2857,2017-06-29,880465770781831170,http://twitter.com/SenWhitehouse/status/880465770781831170
880481316076179457,5.706123234955947,779,51791,5.7K,14622,2018-05-08_14_58_37,2972,2017-06-29,880481316076179457,http://twitter.com/SenWhitehouse/status/880481316076179457
880481487342243840,5.605430038538813,779,64189,7.8K,17418,2018-05-08_14_56_55,3167,2017-06-29,880481487342243840,http://twitter.com/SenWhitehouse/status/880481487342243840
873355364250550273,5.35026525199407,377,3619,123,2095,2018-05-08_15_11_14,1661,2017-06-09,873355364250550273,http://twitter.com/SenWhitehouse/status/873355364250550273
874379837686919168,5.651201298717773,616,93575,7.2K,36907,2018-05-08_15_09_37,2059,2017-06-12,874379837686919168,http://twitter.com/SenWhitehouse/status/874379837686919168
874637280710971392,5.4147142857110975,280,907,77,388,2018-05-08_15_08_05,1052,2017-06-12,874637280710971392,http://twitter.com/SenWhitehouse/status/874637280710971392
876282171807465472,5.681588447652187,277,1891,94,404,2018-05-08_15_06_34,1090,2017-06-17,876282171807465472,http://twitter.com/SenWhitehouse/status/876282171807465472
876969325877395457,5.637675840975598,327,1213,89,449,2018-05-08_15_05_05,1058,2017-06-19,876969325877395457,http://twitter.com/SenWhitehouse/status/876969325877395457
870684040805863424,5.883977272727213,264,341,86,347,2018-05-08_15_20_03,993,2017-06-02,870684040805863424,http://twitter.com/SenWhitehouse/status/870684040805863424
871504368838770688,5.410580720111287,861,6715,809,3906,2018-05-08_15_17_59,3098,2017-06-04,871504368838770688,http://twitter.com/SenWhitehouse/status/871504368838770688
872224201704452098,5.443559999996358,250,695,105,320,2018-05-08_15_16_24,1062,2017-06-06,872224201704452098,http://twitter.com/SenWhitehouse/status/872224201704452098
872887767071678464,5.487677165352551,254,537,74,297,2018-05-08_15_14_43,1013,2017-06-08,872887767071678464,http://twitter.com/SenWhitehouse/status/872887767071678464
873215031218974721,5.6135658914862585,903,5473,297,3531,2018-05-08_15_12_58,3407,2017-06-09,873215031218974721,http://twitter.com/SenWhitehouse/status/873215031218974721
864260986303389696,5.349568627465136,510,6693,373,3557,2018-05-08_21_03_14,2144,2017-05-15,864260986303389696,http://twitter.com/SenWhitehouse/status/864260986303389696
864557205785333760,5.6662298850688435,435,3413,207,2721,2018-05-08_21_01_48,1963,2017-05-16,864557205785333760,http://twitter.com/SenWhitehouse/status/864557205785333760
864605146638057473,5.4139534883729015,215,521,76,288,2018-05-08_21_00_20,836,2017-05-16,864605146638057473,http://twitter.com/SenWhitehouse/status/864605146638057473
