,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910101133561090049,5.519509202450784,326,158,85,21,2018-05-06_22_04_50,1105,2017-09-19,910101133561090049,http://twitter.com/Sen_JoeManchin/status/910101133561090049
914895653683245056,5.70345821325369,347,513,71,242,2018-05-06_22_03_26,1227,2017-10-02,914895653683245056,http://twitter.com/Sen_JoeManchin/status/914895653683245056
914978140413362176,5.787494692161429,471,101,159,23,2018-05-06_22_02_03,1712,2017-10-02,914978140413362176,http://twitter.com/Sen_JoeManchin/status/914978140413362176
917928093888761857,6.135980861249484,836,34427,2.3K,6129,2018-05-06_22_00_39,2458,2017-10-10,917928093888761857,http://twitter.com/Sen_JoeManchin/status/917928093888761857
919950046279471105,5.711020114975277,696,6680,456,2477,2018-05-06_21_59_11,2517,2017-10-16,919950046279471105,http://twitter.com/Sen_JoeManchin/status/919950046279471105
920037627889377281,5.556637681153713,345,478,94,143,2018-05-06_21_57_49,1284,2017-10-16,920037627889377281,http://twitter.com/Sen_JoeManchin/status/920037627889377281
896442934001840129,5.462592592611252,837,565,280,121,2018-05-06_22_13_15,3261,2017-08-12,896442934001840129,http://twitter.com/Sen_JoeManchin/status/896442934001840129
898261941042458624,5.604125269990875,463,199,99,58,2018-05-06_22_11_51,1666,2017-08-17,898261941042458624,http://twitter.com/Sen_JoeManchin/status/898261941042458624
898946411731005448,6.064421768710681,441,308,102,83,2018-05-06_22_10_28,1392,2017-08-19,898946411731005448,http://twitter.com/Sen_JoeManchin/status/898946411731005448
905051217960869889,5.804453124998447,256,140,73,18,2018-05-06_22_09_03,866,2017-09-05,905051217960869889,http://twitter.com/Sen_JoeManchin/status/905051217960869889
907763370744565760,5.571765316744921,963,670,338,178,2018-05-06_22_07_37,3159,2017-09-12,907763370744565760,http://twitter.com/Sen_JoeManchin/status/907763370744565760
907935607405641728,5.46637288135319,295,120,70,14,2018-05-06_22_06_11,1048,2017-09-13,907935607405641728,http://twitter.com/Sen_JoeManchin/status/907935607405641728
890756282378067968,5.331373801933278,626,55,175,28,2018-05-06_22_22_07,1989,2017-07-27,890756282378067968,http://twitter.com/Sen_JoeManchin/status/890756282378067968
890765684409589761,5.753096366539903,633,673,180,216,2018-05-06_22_20_37,2229,2017-07-27,890765684409589761,http://twitter.com/Sen_JoeManchin/status/890765684409589761
890817238080421889,5.847349726814549,732,229,166,55,2018-05-06_22_19_08,2438,2017-07-27,890817238080421889,http://twitter.com/Sen_JoeManchin/status/890817238080421889
893818881336324097,6.650504201679567,357,840,103,40,2018-05-06_22_17_46,954,2017-08-05,893818881336324097,http://twitter.com/Sen_JoeManchin/status/893818881336324097
893998909927903232,6.724587628863209,388,875,117,39,2018-05-06_22_16_15,1103,2017-08-05,893998909927903232,http://twitter.com/Sen_JoeManchin/status/893998909927903232
895777187219083273,5.556504559275232,987,384,226,68,2018-05-06_22_14_43,3643,2017-08-10,895777187219083273,http://twitter.com/Sen_JoeManchin/status/895777187219083273
888865125423337475,5.763853427918433,846,1580,359,433,2018-05-06_22_26_54,3190,2017-07-22,888865125423337475,http://twitter.com/Sen_JoeManchin/status/888865125423337475
889800818781822976,5.558510638296078,235,87,66,23,2018-05-06_22_24_57,958,2017-07-25,889800818781822976,http://twitter.com/Sen_JoeManchin/status/889800818781822976
889952635062804482,5.695704225378325,710,446,163,248,2018-05-06_22_23_34,2383,2017-07-25,889952635062804482,http://twitter.com/Sen_JoeManchin/status/889952635062804482
849997233995083777,5.6552051282332565,780,110,246,44,2018-05-06_22_34_39,2848,2017-04-06,849997233995083777,http://twitter.com/Sen_JoeManchin/status/849997233995083777
864527115135275008,5.488909090906699,385,256,84,104,2018-05-06_22_33_11,1396,2017-05-16,864527115135275008,http://twitter.com/Sen_JoeManchin/status/864527115135275008
870373888609271809,5.8911747573130775,1030,518,500,195,2018-05-06_22_31_39,3267,2017-06-01,870373888609271809,http://twitter.com/Sen_JoeManchin/status/870373888609271809
876894881163116544,5.626174785139457,698,262,779,88,2018-05-06_22_30_09,2800,2017-06-19,876894881163116544,http://twitter.com/Sen_JoeManchin/status/876894881163116544
879439898553405440,5.512376599653655,547,512,125,272,2018-05-06_22_28_47,1984,2017-06-26,879439898553405440,http://twitter.com/Sen_JoeManchin/status/879439898553405440
844201189050933248,5.825668202764089,217,419,84,205,2018-05-06_22_41_54,990,2017-03-21,844201189050933248,http://twitter.com/Sen_JoeManchin/status/844201189050933248
844618571720392704,5.654864864861332,333,83,80,20,2018-05-06_22_40_31,1288,2017-03-22,844618571720392704,http://twitter.com/Sen_JoeManchin/status/844618571720392704
847074621685870595,5.628599137941659,464,371,140,95,2018-05-06_22_39_07,1683,2017-03-29,847074621685870595,http://twitter.com/Sen_JoeManchin/status/847074621685870595
847542837952614401,5.651345926841072,847,8047,3.8K,3236,2018-05-06_22_37_26,3099,2017-03-30,847542837952614401,http://twitter.com/Sen_JoeManchin/status/847542837952614401
847874783832403968,5.742893081760035,318,100,82,15,2018-05-06_22_36_03,1228,2017-03-31,847874783832403968,http://twitter.com/Sen_JoeManchin/status/847874783832403968
836607673936269312,5.883287037035079,216,283,87,71,2018-05-06_22_48_57,830,2017-02-28,836607673936269312,http://twitter.com/Sen_JoeManchin/status/836607673936269312
836995424363954180,5.622144927536975,345,96,86,113,2018-05-06_22_47_32,1330,2017-03-01,836995424363954180,http://twitter.com/Sen_JoeManchin/status/836995424363954180
837333466727448576,5.781406649620532,391,194,111,34,2018-05-06_22_46_09,1418,2017-03-02,837333466727448576,http://twitter.com/Sen_JoeManchin/status/837333466727448576
837381414421204992,5.8241202672723436,449,160,119,35,2018-05-06_22_44_46,1584,2017-03-02,837381414421204992,http://twitter.com/Sen_JoeManchin/status/837381414421204992
838798083270008832,5.951164021162863,189,81,69,19,2018-05-06_22_43_18,760,2017-03-06,838798083270008832,http://twitter.com/Sen_JoeManchin/status/838798083270008832
831305711401521153,5.674784053154579,301,122,116,22,2018-05-06_22_55_55,1182,2017-02-13,831305711401521153,http://twitter.com/Sen_JoeManchin/status/831305711401521153
