,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989529283604303873,5.603650385634425,778,1213,1.8K,541,2018-05-03_16_40_25,3485,2018-04-26,989529283604303873,http://twitter.com/SenateMajLdr/status/989529283604303873
989538262384611329,5.848161434982872,669,414,294,115,2018-05-03_16_38_57,2860,2018-04-26,989538262384611329,http://twitter.com/SenateMajLdr/status/989538262384611329
989552436409860096,5.519747235408609,633,521,1.4K,186,2018-05-03_16_37_30,2538,2018-04-26,989552436409860096,http://twitter.com/SenateMajLdr/status/989552436409860096
989576382664577025,5.676015228459022,788,238,625,75,2018-05-03_16_35_59,3449,2018-04-26,989576382664577025,http://twitter.com/SenateMajLdr/status/989576382664577025
992013505099456512,5.7165227273005375,880,119,278,38,2018-05-03_16_34_29,3359,2018-05-03,992013505099456512,http://twitter.com/SenateMajLdr/status/992013505099456512
989199961731551232,5.559640644405763,807,1045,3.6K,619,2018-05-03_16_47_52,3626,2018-04-25,989199961731551232,http://twitter.com/SenateMajLdr/status/989199961731551232
989213173545873409,5.730746268689976,670,187,495,74,2018-05-03_16_46_24,2909,2018-04-25,989213173545873409,http://twitter.com/SenateMajLdr/status/989213173545873409
989256976227033088,5.57853932585956,623,438,319,192,2018-05-03_16_44_54,2826,2018-04-25,989256976227033088,http://twitter.com/SenateMajLdr/status/989256976227033088
989498424558018560,5.717168831194026,770,996,372,288,2018-05-03_16_43_25,3258,2018-04-26,989498424558018560,http://twitter.com/SenateMajLdr/status/989498424558018560
989517747070517248,5.560341726647374,556,264,509,91,2018-05-03_16_41_52,2196,2018-04-26,989517747070517248,http://twitter.com/SenateMajLdr/status/989517747070517248
