,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
898536810032144384,5.4869565217423775,345,350,84,27,2018-05-04_12_28_29,847,2017-08-18,898536810032144384,http://twitter.com/SenatorBaldwin/status/898536810032144384
901230117611077632,5.292448979589737,245,3021,83,917,2018-05-04_12_27_00,1019,2017-08-25,901230117611077632,http://twitter.com/SenatorBaldwin/status/901230117611077632
902556061563052032,5.878984674344496,522,2532,129,2982,2018-05-04_12_25_26,1812,2017-08-28,902556061563052032,http://twitter.com/SenatorBaldwin/status/902556061563052032
907638758555746305,6.1341796407603,835,8070,291,2423,2018-05-04_12_23_52,2652,2017-09-12,907638758555746305,http://twitter.com/SenatorBaldwin/status/907638758555746305
908028254245855234,5.830352504655633,1078,7260,206,1522,2018-05-04_12_22_26,3641,2017-09-12,908028254245855234,http://twitter.com/SenatorBaldwin/status/908028254245855234
910539159609233410,5.693734335841877,399,4655,109,2927,2018-05-04_12_20_59,1503,2017-09-20,910539159609233410,http://twitter.com/SenatorBaldwin/status/910539159609233410
875399400209756160,5.642765567781103,546,1259,109,2892,2018-05-04_12_37_23,1922,2017-06-14,875399400209756160,http://twitter.com/SenatorBaldwin/status/875399400209756160
876933865935339520,5.400822784823524,474,3947,133,6419,2018-05-04_12_35_49,1987,2017-06-19,876933865935339520,http://twitter.com/SenatorBaldwin/status/876933865935339520
889499808599347203,5.897822580641956,372,447,79,208,2018-05-04_12_34_17,1175,2017-07-24,889499808599347203,http://twitter.com/SenatorBaldwin/status/889499808599347203
889543998075015168,5.7343827160466185,324,567,75,246,2018-05-04_12_32_45,1137,2017-07-24,889543998075015168,http://twitter.com/SenatorBaldwin/status/889543998075015168
890015290502852608,6.081413427561111,283,1202,85,231,2018-05-04_12_31_22,654,2017-07-25,890015290502852608,http://twitter.com/SenatorBaldwin/status/890015290502852608
890745446171279360,6.110090634466965,662,3641,196,840,2018-05-04_12_29_53,1759,2017-07-27,890745446171279360,http://twitter.com/SenatorBaldwin/status/890745446171279360
842198254414618624,5.3740261865987575,611,328,316,413,2018-05-04_12_45_46,2498,2017-03-15,842198254414618624,http://twitter.com/SenatorBaldwin/status/842198254414618624
854406979070111744,5.625285714292132,420,1164,114,455,2018-05-04_12_43_38,1700,2017-04-18,854406979070111744,http://twitter.com/SenatorBaldwin/status/854406979070111744
860188132632875010,5.859079999998782,250,1276,73,387,2018-05-04_12_42_10,871,2017-05-04,860188132632875010,http://twitter.com/SenatorBaldwin/status/860188132632875010
867130520488071168,5.1159544159633095,702,1874,264,1859,2018-05-04_12_40_33,2402,2017-05-23,867130520488071168,http://twitter.com/SenatorBaldwin/status/867130520488071168
874703598579572736,5.382925925943587,810,1888,304,1534,2018-05-04_12_38_58,3128,2017-06-12,874703598579572736,http://twitter.com/SenatorBaldwin/status/874703598579572736
826619192023580672,5.686382428941567,387,243,86,133,2018-05-04_12_53_42,1390,2017-01-31,826619192023580672,http://twitter.com/SenatorBaldwin/status/826619192023580672
829010550206111744,6.1946037735856105,265,1200,72,268,2018-05-04_12_52_13,716,2017-02-07,829010550206111744,http://twitter.com/SenatorBaldwin/status/829010550206111744
829473945879461890,5.546284722220777,288,334,72,163,2018-05-04_12_50_41,983,2017-02-08,829473945879461890,http://twitter.com/SenatorBaldwin/status/829473945879461890
831539306380611585,5.626320000008391,375,1501,132,563,2018-05-04_12_49_08,1620,2017-02-14,831539306380611585,http://twitter.com/SenatorBaldwin/status/831539306380611585
832993924578938880,5.375352112674029,213,117,87,60,2018-05-04_12_47_39,856,2017-02-18,832993924578938880,http://twitter.com/SenatorBaldwin/status/832993924578938880
821506755586879488,5.568719068432145,687,8221,782,14840,2018-05-04_13_06_13,2862,2017-01-17,821506755586879488,http://twitter.com/SenatorBaldwin/status/821506755586879488
825414025873862656,5.769504310344296,464,1498,123,491,2018-05-04_13_04_42,1461,2017-01-28,825414025873862656,http://twitter.com/SenatorBaldwin/status/825414025873862656
825765075533361152,5.678734439846842,482,2578,135,853,2018-05-04_13_03_12,1692,2017-01-29,825765075533361152,http://twitter.com/SenatorBaldwin/status/825765075533361152
826143701554626560,6.482932038822695,515,2573,172,480,2018-05-04_13_01_45,1103,2017-01-30,826143701554626560,http://twitter.com/SenatorBaldwin/status/826143701554626560
826443703183147012,5.870263157927747,608,3218,307,956,2018-05-04_12_59_58,1939,2017-01-31,826443703183147012,http://twitter.com/SenatorBaldwin/status/826443703183147012
818574971077328896,5.90485540337438,657,66805,2.9K,41039,2018-05-04_13_12_01,2312,2017-01-09,818574971077328896,http://twitter.com/SenatorBaldwin/status/818574971077328896
819369956475277312,5.458565217387625,230,553,83,451,2018-05-04_13_10_26,954,2017-01-11,819369956475277312,http://twitter.com/SenatorBaldwin/status/819369956475277312
819639588192854016,5.603527777774698,360,34,74,22,2018-05-04_13_08_55,1258,2017-01-12,819639588192854016,http://twitter.com/SenatorBaldwin/status/819639588192854016
798666880840073216,5.706028622555365,559,15337,563,11729,2018-05-04_13_18_25,2384,2016-11-15,798666880840073216,http://twitter.com/SenatorBaldwin/status/798666880840073216
804804406495608834,7.381280000003548,250,3768,101,2521,2018-05-04_13_16_48,586,2016-12-02,804804406495608834,http://twitter.com/SenatorBaldwin/status/804804406495608834
