,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
915315085022777346,5.444352441629482,471,88,119,56,2018-05-06_21_24_43,1834,2017-10-03,915315085022777346,http://twitter.com/SenatorBurr/status/915315085022777346
915603042334101506,5.384083414200192,1031,58,464,29,2018-05-06_21_22_56,4048,2017-10-04,915603042334101506,http://twitter.com/SenatorBurr/status/915603042334101506
915615251894284290,5.553208791254291,910,195,469,134,2018-05-06_21_21_25,3535,2017-10-04,915615251894284290,http://twitter.com/SenatorBurr/status/915615251894284290
915937390283431936,5.753470588231987,340,95,82,27,2018-05-06_21_19_54,1352,2017-10-05,915937390283431936,http://twitter.com/SenatorBurr/status/915937390283431936
918908219057156098,5.4735586734998884,784,38,182,7,2018-05-06_21_18_25,3018,2017-10-13,918908219057156098,http://twitter.com/SenatorBurr/status/918908219057156098
910524256148164609,5.493170731704999,205,64,81,24,2018-05-06_21_31_59,846,2017-09-20,910524256148164609,http://twitter.com/SenatorBurr/status/910524256148164609
910602585790349312,5.366432926826452,328,21,88,8,2018-05-06_21_30_32,1183,2017-09-20,910602585790349312,http://twitter.com/SenatorBurr/status/910602585790349312
913151119337148417,5.410515873041986,756,33,136,9,2018-05-06_21_29_04,2399,2017-09-27,913151119337148417,http://twitter.com/SenatorBurr/status/913151119337148417
913786397047361536,5.669478260869079,345,102,83,61,2018-05-06_21_27_42,1322,2017-09-29,913786397047361536,http://twitter.com/SenatorBurr/status/913786397047361536
914940887402237953,5.45983870972266,868,56,583,13,2018-05-06_21_26_07,2862,2017-10-02,914940887402237953,http://twitter.com/SenatorBurr/status/914940887402237953
897557206882820096,5.576095238092748,315,17,87,7,2018-05-06_21_39_12,1300,2017-08-15,897557206882820096,http://twitter.com/SenatorBurr/status/897557206882820096
902949879420522497,5.802241992880899,281,125,75,24,2018-05-06_21_37_45,983,2017-08-30,902949879420522497,http://twitter.com/SenatorBurr/status/902949879420522497
905525596599529472,5.55765273311712,311,81,78,29,2018-05-06_21_36_23,1218,2017-09-06,905525596599529472,http://twitter.com/SenatorBurr/status/905525596599529472
907265112620314624,5.3992703862853535,932,1427,206,527,2018-05-06_21_34_51,2875,2017-09-11,907265112620314624,http://twitter.com/SenatorBurr/status/907265112620314624
910175184505720835,5.264680851061546,235,832,206,479,2018-05-06_21_33_24,923,2017-09-19,910175184505720835,http://twitter.com/SenatorBurr/status/910175184505720835
892475377360269313,5.759595375717279,346,197,79,23,2018-05-06_21_45_40,1304,2017-08-01,892475377360269313,http://twitter.com/SenatorBurr/status/892475377360269313
895022023159754753,5.5200352112669435,284,99,70,24,2018-05-06_21_44_14,975,2017-08-08,895022023159754753,http://twitter.com/SenatorBurr/status/895022023159754753
897186506368069632,5.210990220077692,818,47,212,23,2018-05-06_21_42_07,3245,2017-08-14,897186506368069632,http://twitter.com/SenatorBurr/status/897186506368069632
897196023180918785,5.552437810945462,201,110,93,21,2018-05-06_21_40_38,816,2017-08-14,897196023180918785,http://twitter.com/SenatorBurr/status/897196023180918785
889945780819243008,5.546722866196995,949,117,568,25,2018-05-06_21_53_15,3053,2017-07-25,889945780819243008,http://twitter.com/SenatorBurr/status/889945780819243008
890306126415364096,5.698526315806759,475,107,111,13,2018-05-06_21_51_37,1825,2017-07-26,890306126415364096,http://twitter.com/SenatorBurr/status/890306126415364096
890581204017319937,5.473887468033047,391,57,85,27,2018-05-06_21_50_05,1490,2017-07-27,890581204017319937,http://twitter.com/SenatorBurr/status/890581204017319937
890587570253570048,5.557452574520156,369,51,84,33,2018-05-06_21_48_39,1366,2017-07-27,890587570253570048,http://twitter.com/SenatorBurr/status/890587570253570048
891005544949051395,5.554988764055428,445,153,126,54,2018-05-06_21_47_07,1761,2017-07-28,891005544949051395,http://twitter.com/SenatorBurr/status/891005544949051395
