,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
915621482142760960,5.537970588232041,340,236,71,374,2018-05-06_22_07_51,1229,2017-10-04,915621482142760960,http://twitter.com/SenatorCantwell/status/915621482142760960
915656618846638081,5.43778894472968,398,645,129,777,2018-05-06_22_06_27,1519,2017-10-04,915656618846638081,http://twitter.com/SenatorCantwell/status/915656618846638081
916015993201315840,5.112628516044195,1031,22149,799,6691,2018-05-06_22_05_00,3613,2017-10-05,916015993201315840,http://twitter.com/SenatorCantwell/status/916015993201315840
917868185688444928,5.733548387097383,310,354,97,489,2018-05-06_22_03_39,1078,2017-10-10,917868185688444928,http://twitter.com/SenatorCantwell/status/917868185688444928
919053401769562113,5.495566265060319,415,401,77,138,2018-05-06_22_02_19,1502,2017-10-13,919053401769562113,http://twitter.com/SenatorCantwell/status/919053401769562113
920125463938207744,5.600508806280026,511,615,116,163,2018-05-06_22_00_54,1932,2017-10-16,920125463938207744,http://twitter.com/SenatorCantwell/status/920125463938207744
908016678142967813,5.377023622063323,635,1498,172,450,2018-05-06_22_13_47,2378,2017-09-13,908016678142967813,http://twitter.com/SenatorCantwell/status/908016678142967813
910897809293021184,5.789162011173088,179,874,123,671,2018-05-06_22_12_28,688,2017-09-20,910897809293021184,http://twitter.com/SenatorCantwell/status/910897809293021184
911075080729501696,5.616512195123106,410,795,90,309,2018-05-06_22_11_03,1477,2017-09-21,911075080729501696,http://twitter.com/SenatorCantwell/status/911075080729501696
911405509726453760,5.493297491035408,279,373,75,117,2018-05-06_22_09_42,1049,2017-09-22,911405509726453760,http://twitter.com/SenatorCantwell/status/911405509726453760
897950256587051008,5.471232604393991,503,594,110,108,2018-05-06_22_19_40,2009,2017-08-16,897950256587051008,http://twitter.com/SenatorCantwell/status/897950256587051008
898012758834388992,5.2298412698563865,504,818,149,171,2018-05-06_22_18_16,2011,2017-08-16,898012758834388992,http://twitter.com/SenatorCantwell/status/898012758834388992
898304500506574849,5.533732193730046,351,459,86,116,2018-05-06_22_16_47,1249,2017-08-17,898304500506574849,http://twitter.com/SenatorCantwell/status/898304500506574849
906362686333767680,5.590313531377396,606,424,137,143,2018-05-06_22_15_14,2306,2017-09-08,906362686333767680,http://twitter.com/SenatorCantwell/status/906362686333767680
862410422443442177,5.927171717166135,396,1043,99,325,2018-05-06_22_27_13,1330,2017-05-10,862410422443442177,http://twitter.com/SenatorCantwell/status/862410422443442177
868145960723075074,5.789824324354267,740,1950,155,453,2018-05-06_22_25_47,2521,2017-05-26,868145960723075074,http://twitter.com/SenatorCantwell/status/868145960723075074
876966832049012736,5.7574879227050575,207,794,76,311,2018-05-06_22_24_23,728,2017-06-19,876966832049012736,http://twitter.com/SenatorCantwell/status/876966832049012736
879155591297593344,5.570714285707743,364,797,89,244,2018-05-06_22_22_55,1216,2017-06-25,879155591297593344,http://twitter.com/SenatorCantwell/status/879155591297593344
890641348650512384,5.43696969696951,165,518,78,678,2018-05-06_22_21_32,584,2017-07-27,890641348650512384,http://twitter.com/SenatorCantwell/status/890641348650512384
852617392647745538,5.446766666687263,600,4096,142,5090,2018-05-06_22_34_13,2202,2017-04-13,852617392647745538,http://twitter.com/SenatorCantwell/status/852617392647745538
857398884338999296,5.837227138641876,339,1244,82,271,2018-05-06_22_32_51,1069,2017-04-26,857398884338999296,http://twitter.com/SenatorCantwell/status/857398884338999296
862107469832749056,5.873178807943429,302,870,90,333,2018-05-06_22_31_31,1159,2017-05-09,862107469832749056,http://twitter.com/SenatorCantwell/status/862107469832749056
862321608794546176,5.448620689651475,232,425,72,123,2018-05-06_22_30_03,1091,2017-05-10,862321608794546176,http://twitter.com/SenatorCantwell/status/862321608794546176
862364867075784704,5.9244155844145565,385,890,112,189,2018-05-06_22_28_42,1479,2017-05-10,862364867075784704,http://twitter.com/SenatorCantwell/status/862364867075784704
846808113307115521,5.6927574750804695,301,1360,92,716,2018-05-06_22_41_23,1122,2017-03-28,846808113307115521,http://twitter.com/SenatorCantwell/status/846808113307115521
847481951443271682,5.576442953038376,596,3933,339,3587,2018-05-06_22_39_58,2114,2017-03-30,847481951443271682,http://twitter.com/SenatorCantwell/status/847481951443271682
847519318288093185,6.222115384603825,416,792,132,255,2018-05-06_22_38_37,1180,2017-03-30,847519318288093185,http://twitter.com/SenatorCantwell/status/847519318288093185
847906849747808256,6.096857142855463,280,1699,92,714,2018-05-06_22_37_06,904,2017-03-31,847906849747808256,http://twitter.com/SenatorCantwell/status/847906849747808256
850030458243084289,5.619931034504386,580,1014,151,525,2018-05-06_22_35_40,2263,2017-04-06,850030458243084289,http://twitter.com/SenatorCantwell/status/850030458243084289
836694720453672961,5.942148437500912,256,2197,88,564,2018-05-06_22_48_16,764,2017-02-28,836694720453672961,http://twitter.com/SenatorCantwell/status/836694720453672961
837489456122716160,5.831724137927893,261,865,82,239,2018-05-06_22_46_57,919,2017-03-02,837489456122716160,http://twitter.com/SenatorCantwell/status/837489456122716160
842757422297047040,5.596673228356093,508,560,112,365,2018-05-06_22_45_30,1630,2017-03-17,842757422297047040,http://twitter.com/SenatorCantwell/status/842757422297047040
843887363046621184,5.572817869413624,291,701,101,199,2018-05-06_22_44_09,1134,2017-03-20,843887363046621184,http://twitter.com/SenatorCantwell/status/843887363046621184
843917564858130432,5.456679245280143,265,429,94,114,2018-05-06_22_42_48,1179,2017-03-20,843917564858130432,http://twitter.com/SenatorCantwell/status/843917564858130432
831940897218691078,6.0166820276484,217,1000,70,200,2018-05-06_22_55_17,696,2017-02-15,831940897218691078,http://twitter.com/SenatorCantwell/status/831940897218691078
831952474428866586,6.001423948218744,309,1235,92,244,2018-05-06_22_53_50,908,2017-02-15,831952474428866586,http://twitter.com/SenatorCantwell/status/831952474428866586
832392876281708545,5.882270916331557,251,982,84,281,2018-05-06_22_52_28,1008,2017-02-16,832392876281708545,http://twitter.com/SenatorCantwell/status/832392876281708545
832695115957219328,5.845590909087914,220,820,70,233,2018-05-06_22_51_07,732,2017-02-17,832695115957219328,http://twitter.com/SenatorCantwell/status/832695115957219328
832751162461822976,6.104820143883913,278,678,72,99,2018-05-06_22_49_38,781,2017-02-17,832751162461822976,http://twitter.com/SenatorCantwell/status/832751162461822976
828652728570114048,6.063256578948223,304,926,77,165,2018-05-06_23_02_17,787,2017-02-06,828652728570114048,http://twitter.com/SenatorCantwell/status/828652728570114048
828741311981195264,5.9848113207532645,318,482,88,101,2018-05-06_23_00_53,1040,2017-02-06,828741311981195264,http://twitter.com/SenatorCantwell/status/828741311981195264
829133650163793920,6.091256684484455,374,1762,106,486,2018-05-06_22_59_26,1042,2017-02-07,829133650163793920,http://twitter.com/SenatorCantwell/status/829133650163793920
829496295068950528,6.0957671957692945,567,1481,167,131,2018-05-06_22_58_04,1339,2017-02-08,829496295068950528,http://twitter.com/SenatorCantwell/status/829496295068950528
831663129033637888,5.532335526314858,304,622,91,487,2018-05-06_22_56_39,1150,2017-02-14,831663129033637888,http://twitter.com/SenatorCantwell/status/831663129033637888
826460132179640320,5.943832335343287,501,1341,151,320,2018-05-06_23_09_11,1575,2017-01-31,826460132179640320,http://twitter.com/SenatorCantwell/status/826460132179640320
826520604958416899,6.145635910217849,401,1080,109,209,2018-05-06_23_07_50,1009,2017-01-31,826520604958416899,http://twitter.com/SenatorCantwell/status/826520604958416899
826811004143226880,5.423111638963575,421,601,114,447,2018-05-06_23_06_29,1660,2017-02-01,826811004143226880,http://twitter.com/SenatorCantwell/status/826811004143226880
826817888518500352,5.409028037399067,535,482,131,246,2018-05-06_23_05_05,1970,2017-02-01,826817888518500352,http://twitter.com/SenatorCantwell/status/826817888518500352
826818646525804544,5.541312499998911,320,822,88,409,2018-05-06_23_03_41,1174,2017-02-01,826818646525804544,http://twitter.com/SenatorCantwell/status/826818646525804544
