,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
914888109497700352,5.0908173076916166,416,388,103,164,2018-05-08_11_06_25,1264,2017-10-02,914888109497700352,http://twitter.com/SenatorCardin/status/914888109497700352
915681262060306432,5.325643939392932,264,549,69,208,2018-05-08_11_04_58,931,2017-10-04,915681262060306432,http://twitter.com/SenatorCardin/status/915681262060306432
916354302549118976,5.6887429853955265,891,95662,1.1K,37677,2018-05-08_11_03_03,3511,2017-10-06,916354302549118976,http://twitter.com/SenatorCardin/status/916354302549118976
916355870983942144,5.682570281148138,498,992,90,471,2018-05-08_11_01_33,1798,2017-10-06,916355870983942144,http://twitter.com/SenatorCardin/status/916355870983942144
917021835128172545,5.917812500000008,64,616,79,247,2018-05-08_11_00_03,263,2017-10-08,917021835128172545,http://twitter.com/SenatorCardin/status/917021835128172545
920374742611357698,5.705333333350724,570,2622,170,1326,2018-05-08_10_58_18,2259,2017-10-17,920374742611357698,http://twitter.com/SenatorCardin/status/920374742611357698
907359279384055808,5.652866242068466,628,2331,149,858,2018-05-08_11_13_47,2284,2017-09-11,907359279384055808,http://twitter.com/SenatorCardin/status/907359279384055808
907713332001550336,5.564750499013255,501,731,119,1014,2018-05-08_11_12_19,1782,2017-09-12,907713332001550336,http://twitter.com/SenatorCardin/status/907713332001550336
908077014082605056,5.9426829268245145,328,382,74,93,2018-05-08_11_10_39,1249,2017-09-13,908077014082605056,http://twitter.com/SenatorCardin/status/908077014082605056
912780431350738944,5.720622710622287,273,1683,70,846,2018-05-08_11_09_13,1044,2017-09-26,912780431350738944,http://twitter.com/SenatorCardin/status/912780431350738944
914884402873761792,4.943436893243588,1030,2581,1.3K,1146,2018-05-08_11_07_51,3302,2017-10-02,914884402873761792,http://twitter.com/SenatorCardin/status/914884402873761792
901839225137573888,5.48668621700829,341,614,95,242,2018-05-08_11_20_57,1305,2017-08-27,901839225137573888,http://twitter.com/SenatorCardin/status/901839225137573888
903098973807890433,5.482884615383332,312,661,78,236,2018-05-08_11_19_26,1133,2017-08-30,903098973807890433,http://twitter.com/SenatorCardin/status/903098973807890433
903261329917661186,5.491772575250187,299,534,83,142,2018-05-08_11_18_02,1112,2017-08-31,903261329917661186,http://twitter.com/SenatorCardin/status/903261329917661186
904681750051348480,5.680875000000337,320,1008,84,471,2018-05-08_11_16_36,1175,2017-09-04,904681750051348480,http://twitter.com/SenatorCardin/status/904681750051348480
905557475474251777,5.472440677966636,295,337,71,128,2018-05-08_11_15_12,1165,2017-09-06,905557475474251777,http://twitter.com/SenatorCardin/status/905557475474251777
898570689048854528,5.64868898188864,717,108498,3.4K,34193,2018-05-08_11_28_37,2797,2017-08-16,898570689048854528,http://twitter.com/SenatorCardin/status/898570689048854528
898570895840563200,6.004395750372202,753,9837,425,4230,2018-05-08_11_27_00,2326,2017-08-16,898570895840563200,http://twitter.com/SenatorCardin/status/898570895840563200
898571030511337472,6.093345911997676,795,17202,492,6361,2018-05-08_11_25_25,2477,2017-08-16,898571030511337472,http://twitter.com/SenatorCardin/status/898571030511337472
898650640611659777,5.518184615380876,325,691,86,159,2018-05-08_11_23_51,1361,2017-08-18,898650640611659777,http://twitter.com/SenatorCardin/status/898650640611659777
