,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910862185026506752,5.414967907580488,779,5781,214,8928,2018-05-06_22_04_09,2877,2017-09-20,910862185026506752,http://twitter.com/SenatorCarper/status/910862185026506752
910988801681625088,5.818778735652895,696,2904,241,4478,2018-05-06_22_02_35,2409,2017-09-21,910988801681625088,http://twitter.com/SenatorCarper/status/910988801681625088
912382791882608640,5.395090634454192,662,2692,209,2408,2018-05-06_22_01_10,2434,2017-09-25,912382791882608640,http://twitter.com/SenatorCarper/status/912382791882608640
914280644670296064,5.429283387618837,307,978,105,294,2018-05-06_21_59_43,1251,2017-09-30,914280644670296064,http://twitter.com/SenatorCarper/status/914280644670296064
915207849646739456,5.757379912669562,458,1234,116,574,2018-05-06_21_58_18,1501,2017-09-28,915207849646739456,http://twitter.com/SenatorCarper/status/915207849646739456
918528257431146498,5.7471068548605215,992,16659,965,7496,2018-05-06_21_56_55,3910,2017-10-12,918528257431146498,http://twitter.com/SenatorCarper/status/918528257431146498
909818654740615168,5.526450116011459,431,2805,122,2336,2018-05-06_22_11_25,1516,2017-09-18,909818654740615168,http://twitter.com/SenatorCarper/status/909818654740615168
909881203498651648,5.54201646090204,243,569,76,375,2018-05-06_22_10_01,982,2017-09-18,909881203498651648,http://twitter.com/SenatorCarper/status/909881203498651648
910171546001510400,5.382772413801475,725,1291,164,1592,2018-05-06_22_08_32,2632,2017-09-19,910171546001510400,http://twitter.com/SenatorCarper/status/910171546001510400
910347053242503168,5.427935034810262,862,2802,334,1186,2018-05-06_22_07_03,2843,2017-09-19,910347053242503168,http://twitter.com/SenatorCarper/status/910347053242503168
910689825329696770,5.473386666660733,375,1577,89,987,2018-05-06_22_05_39,1317,2017-09-20,910689825329696770,http://twitter.com/SenatorCarper/status/910689825329696770
890782932213694464,5.665895953756846,173,2291,73,2323,2018-05-06_22_17_03,716,2017-07-27,890782932213694464,http://twitter.com/SenatorCarper/status/890782932213694464
893121265669689344,5.771332007965782,503,903,124,134,2018-05-06_22_15_42,1615,2017-08-02,893121265669689344,http://twitter.com/SenatorCarper/status/893121265669689344
901249287132241920,5.749390354910414,1099,148459,2.0K,54970,2018-05-06_22_14_12,3769,2017-08-24,901249287132241920,http://twitter.com/SenatorCarper/status/901249287132241920
903695855177396224,5.7253773584990215,742,48247,1.1K,86049,2018-05-06_22_12_49,3017,2017-09-01,903695855177396224,http://twitter.com/SenatorCarper/status/903695855177396224
870324051868307457,5.853560830859099,337,3579,117,2206,2018-05-06_22_24_41,1305,2017-05-31,870324051868307457,http://twitter.com/SenatorCarper/status/870324051868307457
874666431702589440,5.716680555589021,720,18304,487,8617,2018-05-06_22_23_16,2873,2017-06-13,874666431702589440,http://twitter.com/SenatorCarper/status/874666431702589440
878022123008208896,5.720296442727284,1012,443184,25K,130465,2018-05-06_22_21_50,3200,2017-06-22,878022123008208896,http://twitter.com/SenatorCarper/status/878022123008208896
887368675476504576,5.963939393974685,759,8399,543,3615,2018-05-06_22_20_27,2595,2017-07-18,887368675476504576,http://twitter.com/SenatorCarper/status/887368675476504576
887865578148515841,5.8290495867904975,484,2080126,29K,409952,2018-05-06_22_18_59,1640,2017-07-19,887865578148515841,http://twitter.com/SenatorCarper/status/887865578148515841
847507929481662464,5.6913030303196885,660,1770,100,1329,2018-05-06_22_31_57,2089,2017-03-30,847507929481662464,http://twitter.com/SenatorCarper/status/847507929481662464
855873041833889792,5.664581560289612,705,4352,255,2734,2018-05-06_22_30_31,2552,2017-04-22,855873041833889792,http://twitter.com/SenatorCarper/status/855873041833889792
857641644992196608,5.509741550708228,503,1843,102,645,2018-05-06_22_29_04,1665,2017-04-27,857641644992196608,http://twitter.com/SenatorCarper/status/857641644992196608
861596500597538816,5.446103575848942,811,34599,507,20703,2018-05-06_22_27_34,2954,2017-05-07,861596500597538816,http://twitter.com/SenatorCarper/status/861596500597538816
862032965957799937,5.581436464084451,362,1064,86,545,2018-05-06_22_26_05,1225,2017-05-09,862032965957799937,http://twitter.com/SenatorCarper/status/862032965957799937
839162154653728769,5.7600913242151215,438,4492,151,5790,2018-05-06_22_37_18,1920,2017-03-07,839162154653728769,http://twitter.com/SenatorCarper/status/839162154653728769
839515028919308288,5.6048054474853775,514,5191,146,5142,2018-05-06_22_35_48,1899,2017-03-08,839515028919308288,http://twitter.com/SenatorCarper/status/839515028919308288
845347262054191105,5.8370608108071425,296,4772,107,1930,2018-05-06_22_33_24,1288,2017-03-24,845347262054191105,http://twitter.com/SenatorCarper/status/845347262054191105
827227310705217538,5.837916666702615,768,7035,404,3267,2018-05-06_22_44_32,2381,2017-02-01,827227310705217538,http://twitter.com/SenatorCarper/status/827227310705217538
828778331667566596,5.903253012056206,498,2047,111,923,2018-05-06_22_43_03,1701,2017-02-06,828778331667566596,http://twitter.com/SenatorCarper/status/828778331667566596
829343680540581888,5.75922829583878,622,35553,1.5K,19672,2018-05-06_22_41_37,2210,2017-02-07,829343680540581888,http://twitter.com/SenatorCarper/status/829343680540581888
831987472573820929,5.756974595852318,433,1316,143,608,2018-05-06_22_40_12,1697,2017-02-15,831987472573820929,http://twitter.com/SenatorCarper/status/831987472573820929
832266615437873153,5.629384615382099,260,938,71,553,2018-05-06_22_38_42,878,2017-02-16,832266615437873153,http://twitter.com/SenatorCarper/status/832266615437873153
825779110203027456,6.135206185566652,194,1090,81,354,2018-05-06_22_51_40,604,2017-01-29,825779110203027456,http://twitter.com/SenatorCarper/status/825779110203027456
826075688075661312,5.809467680606298,263,2054,96,624,2018-05-06_22_50_11,1008,2017-01-29,826075688075661312,http://twitter.com/SenatorCarper/status/826075688075661312
826183317846265856,5.843767705377887,353,1813,130,717,2018-05-06_22_48_50,1180,2017-01-30,826183317846265856,http://twitter.com/SenatorCarper/status/826183317846265856
826193627554643968,5.5155445544714246,505,1458,189,589,2018-05-06_22_47_22,1761,2017-01-30,826193627554643968,http://twitter.com/SenatorCarper/status/826193627554643968
826220998064209925,5.818068669528574,233,1176,100,447,2018-05-06_22_45_58,834,2017-01-30,826220998064209925,http://twitter.com/SenatorCarper/status/826220998064209925
738434758372425728,5.275763546839234,1015,41605,4.1K,17791,2018-05-06_22_58_53,3124,2016-06-02,738434758372425728,http://twitter.com/SenatorCarper/status/738434758372425728
743191554597265408,5.3699116162007705,792,7150,356,2598,2018-05-06_22_57_26,2579,2016-06-15,743191554597265408,http://twitter.com/SenatorCarper/status/743191554597265408
745014602904244224,5.672853025931821,347,1225,98,388,2018-05-06_22_56_03,1129,2016-06-20,745014602904244224,http://twitter.com/SenatorCarper/status/745014602904244224
808728013768720384,5.601985714308531,700,2632,198,1466,2018-05-06_22_54_29,2748,2016-12-13,808728013768720384,http://twitter.com/SenatorCarper/status/808728013768720384
825452001114873856,6.077017543860433,342,858,105,318,2018-05-06_22_53_06,828,2017-01-28,825452001114873856,http://twitter.com/SenatorCarper/status/825452001114873856
564923676282593281,5.740637065662052,518,1522,458,626,2018-05-06_23_05_57,2271,2015-02-09,564923676282593281,http://twitter.com/SenatorCarper/status/564923676282593281
590941249751883776,5.7695890410954815,365,919,100,1202,2018-05-06_23_04_39,1355,2015-04-22,590941249751883776,http://twitter.com/SenatorCarper/status/590941249751883776
601401962396033024,5.674108527148454,645,1232,216,970,2018-05-06_23_03_10,2569,2015-05-21,601401962396033024,http://twitter.com/SenatorCarper/status/601401962396033024
675807333361020928,5.8659763313844575,676,20715,2.1K,11560,2018-05-06_23_01_45,2261,2015-12-12,675807333361020928,http://twitter.com/SenatorCarper/status/675807333361020928
