,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
919590377073659906,5.716078431386457,459,291,107,71,2018-05-03_10_51_12,1684,2017-10-15,919590377073659906,http://twitter.com/SenatorCollins/status/919590377073659906
919597101759295488,5.685418875967785,943,674,300,121,2018-05-03_10_49_48,3261,2017-10-15,919597101759295488,http://twitter.com/SenatorCollins/status/919597101759295488
919677228614635521,5.919630681814192,352,371,88,58,2018-05-03_10_48_23,1185,2017-10-15,919677228614635521,http://twitter.com/SenatorCollins/status/919677228614635521
919721942118215680,6.166406249999355,128,976,133,115,2018-05-03_10_47_00,419,2017-10-15,919721942118215680,http://twitter.com/SenatorCollins/status/919721942118215680
919885667404079104,5.845436409017568,802,481,167,40,2018-05-03_10_45_27,2810,2017-10-16,919885667404079104,http://twitter.com/SenatorCollins/status/919885667404079104
920335359678001153,5.90036402570746,467,2436,101,266,2018-05-03_10_44_06,1575,2017-10-17,920335359678001153,http://twitter.com/SenatorCollins/status/920335359678001153
913829645996494848,5.805907335905743,259,270,73,31,2018-05-03_10_59_45,934,2017-09-29,913829645996494848,http://twitter.com/SenatorCollins/status/913829645996494848
914897123480662017,5.255100401604586,249,1884,367,255,2018-05-03_10_58_26,780,2017-10-02,914897123480662017,http://twitter.com/SenatorCollins/status/914897123480662017
917148739965538304,6.1643055555541695,288,596,79,44,2018-05-03_10_57_01,857,2017-10-08,917148739965538304,http://twitter.com/SenatorCollins/status/917148739965538304
918817683428331521,6.2068565401465765,948,1264,521,254,2018-05-03_10_55_20,2934,2017-10-13,918817683428331521,http://twitter.com/SenatorCollins/status/918817683428331521
919251332804104192,6.005811623255215,499,777,96,61,2018-05-03_10_54_03,1492,2017-10-14,919251332804104192,http://twitter.com/SenatorCollins/status/919251332804104192
919543469571485696,5.812053872094826,891,671,187,91,2018-05-03_10_52_34,3019,2017-10-15,919543469571485696,http://twitter.com/SenatorCollins/status/919543469571485696
912070246395252739,5.684010152327359,985,2391,843,456,2018-05-03_11_08_26,3014,2017-09-24,912070246395252739,http://twitter.com/SenatorCollins/status/912070246395252739
912094730837725185,5.817945998138242,1037,1287,929,274,2018-05-03_11_07_01,3147,2017-09-24,912094730837725185,http://twitter.com/SenatorCollins/status/912094730837725185
912440489013542912,6.294813953548825,860,27988,7.1K,7127,2018-05-03_11_05_30,2146,2017-09-25,912440489013542912,http://twitter.com/SenatorCollins/status/912440489013542912
912762740850200576,6.08264496446005,983,2256,701,484,2018-05-03_11_04_08,2945,2017-09-26,912762740850200576,http://twitter.com/SenatorCollins/status/912762740850200576
913003543702929408,5.738677379501579,809,7504,471,2400,2018-05-03_11_02_41,2979,2017-09-27,913003543702929408,http://twitter.com/SenatorCollins/status/913003543702929408
913168604836790272,6.1717589577052125,921,2436,224,415,2018-05-03_11_01_19,2766,2017-09-27,913168604836790272,http://twitter.com/SenatorCollins/status/913168604836790272
910215550139236354,5.606533980627196,1030,359,508,101,2018-05-03_11_17_10,3212,2017-09-19,910215550139236354,http://twitter.com/SenatorCollins/status/910215550139236354
910487234838765568,5.5595622435252166,731,854,584,142,2018-05-03_11_15_24,2246,2017-09-20,910487234838765568,http://twitter.com/SenatorCollins/status/910487234838765568
911245044539101185,5.670319327778128,1190,2130,1.1K,275,2018-05-03_11_14_02,3406,2017-09-22,911245044539101185,http://twitter.com/SenatorCollins/status/911245044539101185
911668732803633152,5.713056768558017,229,966,379,104,2018-05-03_11_12_43,638,2017-09-23,911668732803633152,http://twitter.com/SenatorCollins/status/911668732803633152
911920967064129536,5.6425129266235485,967,730,364,100,2018-05-03_11_11_21,2895,2017-09-24,911920967064129536,http://twitter.com/SenatorCollins/status/911920967064129536
911921276775788545,5.743980099501308,201,378,435,80,2018-05-03_11_10_00,623,2017-09-24,911921276775788545,http://twitter.com/SenatorCollins/status/911921276775788545
906675662257377281,5.991461716938255,431,5015,173,530,2018-05-03_11_24_33,1339,2017-09-09,906675662257377281,http://twitter.com/SenatorCollins/status/906675662257377281
908007157777526784,5.57105263157729,323,236,73,33,2018-05-03_11_23_09,1007,2017-09-13,908007157777526784,http://twitter.com/SenatorCollins/status/908007157777526784
908048335029903366,5.39927990710626,861,323,171,44,2018-05-03_11_21_39,2797,2017-09-13,908048335029903366,http://twitter.com/SenatorCollins/status/908048335029903366
908091625682952192,5.355212038328432,731,493,150,57,2018-05-03_11_20_10,2296,2017-09-13,908091625682952192,http://twitter.com/SenatorCollins/status/908091625682952192
909777172805689345,5.474077471991631,981,439,274,65,2018-05-03_11_18_41,3058,2017-09-18,909777172805689345,http://twitter.com/SenatorCollins/status/909777172805689345
903351086077095936,6.114524714854344,789,1942,204,92,2018-05-03_11_30_24,2445,2017-08-31,903351086077095936,http://twitter.com/SenatorCollins/status/903351086077095936
904455142065524741,6.07659685863679,382,762,122,82,2018-05-03_11_29_06,1110,2017-09-03,904455142065524741,http://twitter.com/SenatorCollins/status/904455142065524741
905134345178025984,5.821585220534235,839,4953,444,1132,2018-05-03_11_27_40,2917,2017-09-05,905134345178025984,http://twitter.com/SenatorCollins/status/905134345178025984
905798008696168448,5.571193693695529,444,209,96,43,2018-05-03_11_25_54,1411,2017-09-07,905798008696168448,http://twitter.com/SenatorCollins/status/905798008696168448
898666560004411392,5.513757700221702,487,1053,107,97,2018-05-03_11_36_36,1751,2017-08-18,898666560004411392,http://twitter.com/SenatorCollins/status/898666560004411392
899733678741483520,5.730822857173089,875,676,272,114,2018-05-03_11_35_08,2873,2017-08-21,899733678741483520,http://twitter.com/SenatorCollins/status/899733678741483520
900025454651953152,5.4166666666729215,444,787,116,97,2018-05-03_11_33_45,1528,2017-08-22,900025454651953152,http://twitter.com/SenatorCollins/status/900025454651953152
901176743846924288,5.875927835050409,194,123,72,15,2018-05-03_11_32_18,762,2017-08-25,901176743846924288,http://twitter.com/SenatorCollins/status/901176743846924288
896047053167403008,5.631260306272602,849,1371,734,248,2018-05-03_11_43_40,2990,2017-08-11,896047053167403008,http://twitter.com/SenatorCollins/status/896047053167403008
896751295918473217,5.6317226277701415,685,13812,731,3847,2018-05-03_11_42_12,2674,2017-08-13,896751295918473217,http://twitter.com/SenatorCollins/status/896751295918473217
897598349548900353,5.548020527890452,682,15475,1.8K,3659,2018-05-03_11_40_47,2726,2017-08-15,897598349548900353,http://twitter.com/SenatorCollins/status/897598349548900353
898152001065955329,5.514081920938093,708,3157,337,515,2018-05-03_11_39_23,2700,2017-08-17,898152001065955329,http://twitter.com/SenatorCollins/status/898152001065955329
898351475881103360,5.880145348832572,344,673,93,54,2018-05-03_11_38_00,1171,2017-08-17,898351475881103360,http://twitter.com/SenatorCollins/status/898351475881103360
893505052249382912,5.7944923076900325,325,561,82,128,2018-05-03_11_48_45,1007,2017-08-04,893505052249382912,http://twitter.com/SenatorCollins/status/893505052249382912
894582135176126464,5.694099009914704,505,1339,107,174,2018-05-03_11_46_25,1610,2017-08-07,894582135176126464,http://twitter.com/SenatorCollins/status/894582135176126464
894931615180361733,5.7111212121203305,330,305,81,49,2018-05-03_11_45_04,1052,2017-08-08,894931615180361733,http://twitter.com/SenatorCollins/status/894931615180361733
891731853681590272,5.799089219345795,538,1733,586,184,2018-05-03_11_55_54,1805,2017-07-30,891731853681590272,http://twitter.com/SenatorCollins/status/891731853681590272
892502507225845761,5.848786692788241,1022,16242,1.1K,4344,2018-05-03_11_54_26,3360,2017-08-01,892502507225845761,http://twitter.com/SenatorCollins/status/892502507225845761
892856899502092288,5.895349999999592,200,948,150,150,2018-05-03_11_52_52,674,2017-08-02,892856899502092288,http://twitter.com/SenatorCollins/status/892856899502092288
893119754759806976,5.643567567561685,370,783,93,170,2018-05-03_11_51_32,1245,2017-08-03,893119754759806976,http://twitter.com/SenatorCollins/status/893119754759806976
893171591173074944,5.805252808982559,356,527,101,67,2018-05-03_11_50_10,1312,2017-08-03,893171591173074944,http://twitter.com/SenatorCollins/status/893171591173074944
890636975228801024,5.585757575761822,462,416,167,43,2018-05-03_12_03_30,1418,2017-07-27,890636975228801024,http://twitter.com/SenatorCollins/status/890636975228801024
890761514935877634,5.906869436221544,674,616,168,44,2018-05-03_12_02_06,1875,2017-07-27,890761514935877634,http://twitter.com/SenatorCollins/status/890761514935877634
890784225682698240,5.717121848748171,476,4394,1.5K,631,2018-05-03_12_00_45,1470,2017-07-27,890784225682698240,http://twitter.com/SenatorCollins/status/890784225682698240
890945856035332101,6.174935305071678,1082,7208,3.6K,1764,2018-05-03_11_59_17,3067,2017-07-28,890945856035332101,http://twitter.com/SenatorCollins/status/890945856035332101
891703974000197633,5.987063829830108,940,1121,334,136,2018-05-03_11_57_36,2988,2017-07-30,891703974000197633,http://twitter.com/SenatorCollins/status/891703974000197633
890210329254387714,6.023663944027867,857,1032,171,184,2018-05-03_12_06_41,2841,2017-07-26,890210329254387714,http://twitter.com/SenatorCollins/status/890210329254387714
890289366601433089,5.858212669687649,442,466,83,50,2018-05-03_12_05_18,1429,2017-07-26,890289366601433089,http://twitter.com/SenatorCollins/status/890289366601433089
889194262256132096,5.64998994978857,995,321,403,60,2018-05-03_12_14_37,3374,2017-07-23,889194262256132096,http://twitter.com/SenatorCollins/status/889194262256132096
889520206925754368,5.675175879431658,995,369,219,42,2018-05-03_12_13_18,3047,2017-07-24,889520206925754368,http://twitter.com/SenatorCollins/status/889520206925754368
889851995623968770,5.7501982379328025,908,618,576,60,2018-05-03_12_11_55,2891,2017-07-25,889851995623968770,http://twitter.com/SenatorCollins/status/889851995623968770
889961394262691841,5.7751966874066785,966,1744,460,187,2018-05-03_12_10_30,3260,2017-07-25,889961394262691841,http://twitter.com/SenatorCollins/status/889961394262691841
889964175094681603,6.0929133858906175,1016,21847,3.6K,5048,2018-05-03_12_09_02,2870,2017-07-25,889964175094681603,http://twitter.com/SenatorCollins/status/889964175094681603
887366679658942464,5.7558997722185525,439,217,119,22,2018-05-03_12_21_55,1499,2017-07-18,887366679658942464,http://twitter.com/SenatorCollins/status/887366679658942464
887714116307124224,5.944383561641335,219,1750,120,265,2018-05-03_12_20_31,749,2017-07-19,887714116307124224,http://twitter.com/SenatorCollins/status/887714116307124224
888143076816039937,6.150373333330699,375,888,91,91,2018-05-03_12_18_52,1237,2017-07-20,888143076816039937,http://twitter.com/SenatorCollins/status/888143076816039937
888566458007121920,5.775666666674696,480,494,119,55,2018-05-03_12_17_27,1572,2017-07-21,888566458007121920,http://twitter.com/SenatorCollins/status/888566458007121920
889123121252401153,5.911007194268388,556,208,138,30,2018-05-03_12_16_04,1804,2017-07-23,889123121252401153,http://twitter.com/SenatorCollins/status/889123121252401153
886687566967316482,5.83416184973487,692,255,147,46,2018-05-03_12_28_57,2128,2017-07-16,886687566967316482,http://twitter.com/SenatorCollins/status/886687566967316482
886732124052750336,5.7877196446748025,1013,710,353,137,2018-05-03_12_27_28,3314,2017-07-16,886732124052750336,http://twitter.com/SenatorCollins/status/886732124052750336
886990600733642752,6.130718562869122,334,398,84,31,2018-05-03_12_26_07,1145,2017-07-17,886990600733642752,http://twitter.com/SenatorCollins/status/886990600733642752
887299111472562176,5.8923271889429545,434,547,87,57,2018-05-03_12_24_47,1383,2017-07-18,887299111472562176,http://twitter.com/SenatorCollins/status/887299111472562176
887342935179759616,6.042474226866268,970,6349,2.4K,1343,2018-05-03_12_23_17,2982,2017-07-18,887342935179759616,http://twitter.com/SenatorCollins/status/887342935179759616
885504787281833984,5.74538033397731,539,424,149,43,2018-05-03_12_35_45,1991,2017-07-13,885504787281833984,http://twitter.com/SenatorCollins/status/885504787281833984
885550308134408192,6.023429203595468,904,57050,6.6K,17267,2018-05-03_12_34_23,2701,2017-07-13,885550308134408192,http://twitter.com/SenatorCollins/status/885550308134408192
886035528809938944,5.915138121542128,362,886,92,151,2018-05-03_12_33_07,1215,2017-07-14,886035528809938944,http://twitter.com/SenatorCollins/status/886035528809938944
