,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920405817475690497,5.503877917429931,557,981,159,638,2018-05-08_14_20_38,1893,2017-10-17,920405817475690497,http://twitter.com/SenatorDurbin/status/920405817475690497
920654437269557249,5.2989749999996825,400,787,79,530,2018-05-08_14_19_12,1347,2017-10-18,920654437269557249,http://twitter.com/SenatorDurbin/status/920654437269557249
920671715281293313,5.480134589516863,743,5872,336,4303,2018-05-08_14_17_33,2870,2017-10-18,920671715281293313,http://twitter.com/SenatorDurbin/status/920671715281293313
920700294140497921,5.283962264175402,583,519,145,343,2018-05-08_14_16_01,2354,2017-10-18,920700294140497921,http://twitter.com/SenatorDurbin/status/920700294140497921
921066700954578944,5.341372950831534,488,863,129,905,2018-05-08_14_14_28,1731,2017-10-19,921066700954578944,http://twitter.com/SenatorDurbin/status/921066700954578944
921127858772348928,5.320273684218361,475,957,115,905,2018-05-08_14_12_46,1559,2017-10-19,921127858772348928,http://twitter.com/SenatorDurbin/status/921127858772348928
918854936615669760,5.636803594369867,779,2495,179,1030,2018-05-08_14_28_30,2753,2017-10-13,918854936615669760,http://twitter.com/SenatorDurbin/status/918854936615669760
918952532231229442,5.530740157500095,635,1342,167,666,2018-05-08_14_26_48,2456,2017-10-13,918952532231229442,http://twitter.com/SenatorDurbin/status/918952532231229442
919230835836014593,5.445687645688364,429,2123,109,816,2018-05-08_14_25_16,1666,2017-10-14,919230835836014593,http://twitter.com/SenatorDurbin/status/919230835836014593
919342975372746752,5.443685714282247,350,637,84,308,2018-05-08_14_23_49,1376,2017-10-14,919342975372746752,http://twitter.com/SenatorDurbin/status/919342975372746752
919962280300826626,5.493933823529227,272,1185,74,588,2018-05-08_14_22_01,985,2017-10-16,919962280300826626,http://twitter.com/SenatorDurbin/status/919962280300826626
918124003994361856,5.472560646919451,742,5163,243,3590,2018-05-08_14_35_57,2860,2017-10-11,918124003994361856,http://twitter.com/SenatorDurbin/status/918124003994361856
918527130476130305,5.518694638700986,429,844,99,508,2018-05-08_14_34_26,1567,2017-10-12,918527130476130305,http://twitter.com/SenatorDurbin/status/918527130476130305
918582282541248512,5.345153583614629,293,929,73,513,2018-05-08_14_32_59,1156,2017-10-12,918582282541248512,http://twitter.com/SenatorDurbin/status/918582282541248512
918599675615350784,5.380724299069703,428,1294,100,647,2018-05-08_14_31_35,1554,2017-10-12,918599675615350784,http://twitter.com/SenatorDurbin/status/918599675615350784
918652321491505152,5.3046255506755235,681,3484,404,3232,2018-05-08_14_29_59,2817,2017-10-12,918652321491505152,http://twitter.com/SenatorDurbin/status/918652321491505152
917415653107216385,5.592664526486627,623,4001,280,2171,2018-05-08_14_43_51,2492,2017-10-09,917415653107216385,http://twitter.com/SenatorDurbin/status/917415653107216385
917473115143393281,5.866650124070665,403,1380,97,666,2018-05-08_14_42_21,1415,2017-10-09,917473115143393281,http://twitter.com/SenatorDurbin/status/917473115143393281
917535791768674304,5.608316831690796,707,1520,155,395,2018-05-08_14_40_44,2632,2017-10-09,917535791768674304,http://twitter.com/SenatorDurbin/status/917535791768674304
917763893434478592,5.610168918917668,296,889,74,389,2018-05-08_14_39_14,1074,2017-10-10,917763893434478592,http://twitter.com/SenatorDurbin/status/917763893434478592
917871904555458561,5.771999999999621,375,400,89,186,2018-05-08_14_37_41,1294,2017-10-10,917871904555458561,http://twitter.com/SenatorDurbin/status/917871904555458561
916035462178975747,5.825175718848497,313,604,79,206,2018-05-08_14_51_41,1110,2017-10-03,916035462178975747,http://twitter.com/SenatorDurbin/status/916035462178975747
916046752171651073,5.13771978021547,364,945,121,332,2018-05-08_14_50_12,1309,2017-10-05,916046752171651073,http://twitter.com/SenatorDurbin/status/916046752171651073
916336198817341440,5.669836309542919,672,2530,182,1021,2018-05-08_14_48_36,2418,2017-10-06,916336198817341440,http://twitter.com/SenatorDurbin/status/916336198817341440
