,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
890953495595155456,5.460539956814996,463,12,98,5,2018-05-05_16_19_48,1578,2017-07-28,890953495595155456,http://twitter.com/SenatorEnzi/status/890953495595155456
902547783231696898,5.882035573137287,506,2532,129,2981,2018-05-05_16_18_20,1763,2017-08-28,902547783231696898,http://twitter.com/SenatorEnzi/status/902547783231696898
921189195049242624,5.5816944801233115,779,1139,320,436,2018-05-05_16_16_23,2857,2017-10-19,921189195049242624,http://twitter.com/SenatorEnzi/status/921189195049242624
921196833820610560,5.557477797530897,563,635,308,253,2018-05-05_16_15_01,1935,2017-10-19,921196833820610560,http://twitter.com/SenatorEnzi/status/921196833820610560
870379425317003264,5.683160919538099,348,36,101,10,2018-05-05_16_26_53,1100,2017-06-01,870379425317003264,http://twitter.com/SenatorEnzi/status/870379425317003264
890688249739452416,5.161142857141671,315,37,82,26,2018-05-05_16_25_33,1086,2017-07-27,890688249739452416,http://twitter.com/SenatorEnzi/status/890688249739452416
890690783430311936,5.506849148441473,822,36,184,19,2018-05-05_16_24_04,2803,2017-07-27,890690783430311936,http://twitter.com/SenatorEnzi/status/890690783430311936
890693036954468352,5.458011527397739,694,86,730,38,2018-05-05_16_22_37,2228,2017-07-27,890693036954468352,http://twitter.com/SenatorEnzi/status/890693036954468352
890724748619022336,5.519703989715676,777,78,341,32,2018-05-05_16_21_11,2511,2017-07-27,890724748619022336,http://twitter.com/SenatorEnzi/status/890724748619022336
816362573457190913,5.726181818177367,275,35,69,54,2018-05-05_16_33_56,1037,2017-01-03,816362573457190913,http://twitter.com/SenatorEnzi/status/816362573457190913
826551886039834624,5.808578553618156,401,17,80,8,2018-05-05_16_32_34,1207,2017-01-31,826551886039834624,http://twitter.com/SenatorEnzi/status/826551886039834624
827652640288956416,5.819859154944706,639,2606,249,779,2018-05-05_16_31_04,2322,2017-02-03,827652640288956416,http://twitter.com/SenatorEnzi/status/827652640288956416
839948190640136193,5.962492211855742,642,18829,2.1K,3709,2018-05-05_16_29_37,2054,2017-03-09,839948190640136193,http://twitter.com/SenatorEnzi/status/839948190640136193
870374079383130112,5.765263157898171,456,2700,164,688,2018-05-05_16_28_13,1402,2017-06-01,870374079383130112,http://twitter.com/SenatorEnzi/status/870374079383130112
743523452527730688,5.27422764227676,369,112,183,174,2018-05-05_16_39_30,1410,2016-06-16,743523452527730688,http://twitter.com/SenatorEnzi/status/743523452527730688
743537612833587200,5.184397163122224,282,174,100,268,2018-05-05_16_38_10,1169,2016-06-16,743537612833587200,http://twitter.com/SenatorEnzi/status/743537612833587200
804760836870914048,5.9264672897392146,535,1672,275,877,2018-05-05_16_36_46,1917,2016-12-02,804760836870914048,http://twitter.com/SenatorEnzi/status/804760836870914048
814552822997913601,5.934838709675176,310,22,77,16,2018-05-05_16_35_20,1009,2016-12-29,814552822997913601,http://twitter.com/SenatorEnzi/status/814552822997913601
