,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
877246186020843521,5.6137837837963165,481,948,97,165,2018-05-05_16_22_00,1542,2017-06-20,877246186020843521,http://twitter.com/SenatorFischer/status/877246186020843521
887747787022106626,5.700059523806107,336,42,82,3,2018-05-05_16_20_38,1205,2017-07-19,887747787022106626,http://twitter.com/SenatorFischer/status/887747787022106626
889956931309371393,5.653896396413912,888,69,174,14,2018-05-05_16_19_08,2955,2017-07-25,889956931309371393,http://twitter.com/SenatorFischer/status/889956931309371393
890817943054934016,5.625584291227814,1044,93,181,23,2018-05-05_16_17_38,3716,2017-07-27,890817943054934016,http://twitter.com/SenatorFischer/status/890817943054934016
896461325001519106,5.646102189819229,685,194,187,55,2018-05-05_16_16_10,2546,2017-08-12,896461325001519106,http://twitter.com/SenatorFischer/status/896461325001519106
914821857710354432,5.4368058968323245,814,87,271,20,2018-05-05_16_14_43,2646,2017-10-02,914821857710354432,http://twitter.com/SenatorFischer/status/914821857710354432
827230911062278144,5.744537597242613,1157,205,2.3K,136,2018-05-05_16_30_18,3550,2017-02-02,827230911062278144,http://twitter.com/SenatorFischer/status/827230911062278144
827596804984336385,5.709740740739031,270,25,77,7,2018-05-05_16_28_50,887,2017-02-03,827596804984336385,http://twitter.com/SenatorFischer/status/827596804984336385
828652417579413506,5.477241379309219,145,81,74,18,2018-05-05_16_27_30,565,2017-02-06,828652417579413506,http://twitter.com/SenatorFischer/status/828652417579413506
828683219235115012,5.754698354684888,547,6,135,2,2018-05-05_16_26_09,1806,2017-02-06,828683219235115012,http://twitter.com/SenatorFischer/status/828683219235115012
832657902020202497,5.759271186461897,590,50,128,17,2018-05-05_16_24_47,1740,2017-02-17,832657902020202497,http://twitter.com/SenatorFischer/status/832657902020202497
877212193028177922,5.9675797872368,376,38,77,10,2018-05-05_16_23_29,1219,2017-06-20,877212193028177922,http://twitter.com/SenatorFischer/status/877212193028177922
817453176949448706,5.684516129030215,248,16,87,5,2018-05-05_16_39_09,772,2017-01-06,817453176949448706,http://twitter.com/SenatorFischer/status/817453176949448706
820298266520612864,5.702521739127928,345,23,71,10,2018-05-05_16_37_42,1074,2017-01-14,820298266520612864,http://twitter.com/SenatorFischer/status/820298266520612864
825091251561185280,5.05524064170781,374,31,100,8,2018-05-05_16_36_12,1313,2017-01-27,825091251561185280,http://twitter.com/SenatorFischer/status/825091251561185280
826549767346016260,5.672915811089323,487,63,105,62,2018-05-05_16_34_40,1434,2017-01-31,826549767346016260,http://twitter.com/SenatorFischer/status/826549767346016260
826599575276380160,5.761199999999409,375,37,98,13,2018-05-05_16_33_11,1426,2017-01-31,826599575276380160,http://twitter.com/SenatorFischer/status/826599575276380160
827159223226212352,5.726070588293259,850,385,516,329,2018-05-05_16_31_47,2717,2017-02-02,827159223226212352,http://twitter.com/SenatorFischer/status/827159223226212352
502095715917897728,6.44627450978821,510,1392,118,1540,2018-05-05_16_46_38,1683,2014-08-20,502095715917897728,http://twitter.com/SenatorFischer/status/502095715917897728
580072750846443520,6.693359374995929,256,4330,98,968,2018-05-05_16_44_45,1008,2015-03-21,580072750846443520,http://twitter.com/SenatorFischer/status/580072750846443520
672183540776353792,5.537298636951033,807,10,231,11,2018-05-05_16_43_18,2592,2015-12-02,672183540776353792,http://twitter.com/SenatorFischer/status/672183540776353792
690894770047057920,6.043766519832554,454,320,159,352,2018-05-05_16_41_55,1731,2016-01-22,690894770047057920,http://twitter.com/SenatorFischer/status/690894770047057920
784111400683728901,5.753247232470683,271,8,81,5,2018-05-05_16_40_31,1041,2016-10-06,784111400683728901,http://twitter.com/SenatorFischer/status/784111400683728901
