,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
914212735877107713,5.75196467991702,453,1234,116,574,2018-05-05_16_22_56,1483,2017-09-28,914212735877107713,http://twitter.com/SenatorHassan/status/914212735877107713
918294875199721472,5.650947630943175,802,5540,281,2261,2018-05-05_16_21_25,3316,2017-10-11,918294875199721472,http://twitter.com/SenatorHassan/status/918294875199721472
918504790572916739,5.565398886852637,539,1215,126,695,2018-05-05_16_20_00,2036,2017-10-12,918504790572916739,http://twitter.com/SenatorHassan/status/918504790572916739
918798491815686149,5.5605172413872905,464,295,76,155,2018-05-05_16_18_38,1766,2017-10-13,918798491815686149,http://twitter.com/SenatorHassan/status/918798491815686149
920283413994704896,5.492964601769527,226,745,77,337,2018-05-05_16_17_09,1058,2017-10-17,920283413994704896,http://twitter.com/SenatorHassan/status/920283413994704896
921112068937453568,5.504724540914425,599,556,117,584,2018-05-05_16_15_47,2020,2017-10-19,921112068937453568,http://twitter.com/SenatorHassan/status/921112068937453568
893163689758650368,5.3592570281282335,498,315,114,60,2018-05-05_16_30_02,1782,2017-08-03,893163689758650368,http://twitter.com/SenatorHassan/status/893163689758650368
897564378962079744,5.322388059718267,536,4232,733,1480,2018-05-05_16_28_34,2137,2017-08-15,897564378962079744,http://twitter.com/SenatorHassan/status/897564378962079744
909434129246191617,5.47339690108963,839,6727,213,6276,2018-05-05_16_27_10,2919,2017-09-17,909434129246191617,http://twitter.com/SenatorHassan/status/909434129246191617
910255819576496133,5.604875886543662,564,2354,88,1079,2018-05-05_16_25_45,1894,2017-09-19,910255819576496133,http://twitter.com/SenatorHassan/status/910255819576496133
913880513248743424,5.586219512192995,246,803,70,294,2018-05-05_16_24_20,1056,2017-09-29,913880513248743424,http://twitter.com/SenatorHassan/status/913880513248743424
846829634155171841,5.831213991789726,486,1355,154,529,2018-05-05_16_38_10,1722,2017-03-28,846829634155171841,http://twitter.com/SenatorHassan/status/846829634155171841
874685366455980032,5.362316176468362,272,389,76,329,2018-05-05_16_36_49,1142,2017-06-13,874685366455980032,http://twitter.com/SenatorHassan/status/874685366455980032
875343604612554752,5.525308219193495,584,2328,160,617,2018-05-05_16_35_28,2200,2017-06-15,875343604612554752,http://twitter.com/SenatorHassan/status/875343604612554752
880955246792642560,5.302197802209991,455,654,103,284,2018-05-05_16_34_01,1757,2017-06-30,880955246792642560,http://twitter.com/SenatorHassan/status/880955246792642560
893103693444386817,5.244407327613957,928,11061,731,4115,2018-05-05_16_32_31,3513,2017-08-03,893103693444386817,http://twitter.com/SenatorHassan/status/893103693444386817
828459450478559232,5.837278225819883,496,22738,735,22646,2018-05-05_16_46_33,1893,2017-02-05,828459450478559232,http://twitter.com/SenatorHassan/status/828459450478559232
828801415669743616,6.111657355687679,537,2898,127,1089,2018-05-05_16_45_10,1524,2017-02-06,828801415669743616,http://twitter.com/SenatorHassan/status/828801415669743616
829142436324728833,5.53273476113946,607,11529,407,7297,2018-05-05_16_43_45,2426,2017-02-07,829142436324728833,http://twitter.com/SenatorHassan/status/829142436324728833
829283682833858560,5.83665369649678,257,1167,94,245,2018-05-05_16_42_23,852,2017-02-08,829283682833858560,http://twitter.com/SenatorHassan/status/829283682833858560
829303224096157696,5.6613821138174965,246,1333,92,411,2018-05-05_16_41_00,891,2017-02-08,829303224096157696,http://twitter.com/SenatorHassan/status/829303224096157696
829304121039663107,5.530845070421335,284,812,83,388,2018-05-05_16_39_35,923,2017-02-08,829304121039663107,http://twitter.com/SenatorHassan/status/829304121039663107
825559761190019072,5.740858208952828,268,1234,84,814,2018-05-05_16_53_28,1145,2017-01-28,825559761190019072,http://twitter.com/SenatorHassan/status/825559761190019072
826479569049882626,6.479455128206793,312,1507,99,388,2018-05-05_16_52_08,747,2017-01-31,826479569049882626,http://twitter.com/SenatorHassan/status/826479569049882626
826884974712324099,5.903146417442813,321,884,134,115,2018-05-05_16_50_48,970,2017-02-01,826884974712324099,http://twitter.com/SenatorHassan/status/826884974712324099
826904399201042437,5.951632653080575,588,2845,158,1534,2018-05-05_16_49_22,1955,2017-02-01,826904399201042437,http://twitter.com/SenatorHassan/status/826904399201042437
827551336854126592,5.935075075071047,333,2004,83,1001,2018-05-05_16_47_55,1058,2017-02-03,827551336854126592,http://twitter.com/SenatorHassan/status/827551336854126592
