,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
887786642840453120,5.483903966612403,958,3029,398,3731,2018-05-05_16_32_19,3542,2017-07-19,887786642840453120,http://twitter.com/SenatorHeitkamp/status/887786642840453120
890779104106164230,5.544324324335925,888,6137,418,6586,2018-05-05_16_30_50,3297,2017-07-27,890779104106164230,http://twitter.com/SenatorHeitkamp/status/890779104106164230
890792510506717185,5.665895953756846,173,2292,73,2324,2018-05-05_16_29_28,716,2017-07-27,890792510506717185,http://twitter.com/SenatorHeitkamp/status/890792510506717185
890819792243970048,5.916216216212843,333,697,82,151,2018-05-05_16_28_07,1022,2017-07-27,890819792243970048,http://twitter.com/SenatorHeitkamp/status/890819792243970048
897588797839486979,5.228619631901617,326,773,109,233,2018-05-05_16_26_40,1310,2017-08-15,897588797839486979,http://twitter.com/SenatorHeitkamp/status/897588797839486979
912375228482846721,5.46992546585482,805,42357,855,31942,2018-05-05_16_25_15,3133,2017-09-21,912375228482846721,http://twitter.com/SenatorHeitkamp/status/912375228482846721
832669777634025472,5.5909728183369,699,37,840,12,2018-05-05_16_39_55,2309,2017-02-17,832669777634025472,http://twitter.com/SenatorHeitkamp/status/832669777634025472
834438110113062915,5.829076923073639,325,789,123,335,2018-05-05_16_38_29,1307,2017-02-22,834438110113062915,http://twitter.com/SenatorHeitkamp/status/834438110113062915
847551868792340480,5.675433789975537,1095,6164,4.0K,2427,2018-05-05_16_37_01,3774,2017-03-30,847551868792340480,http://twitter.com/SenatorHeitkamp/status/847551868792340480
879434781179641856,5.454814385173652,862,7913,529,10448,2018-05-05_16_35_09,3276,2017-06-26,879434781179641856,http://twitter.com/SenatorHeitkamp/status/879434781179641856
885155575415406596,5.566593059934701,317,1039,85,602,2018-05-05_16_33_46,1079,2017-07-12,885155575415406596,http://twitter.com/SenatorHeitkamp/status/885155575415406596
828803820582957056,6.041619047616421,315,1493,91,536,2018-05-05_16_45_11,957,2017-02-06,828803820582957056,http://twitter.com/SenatorHeitkamp/status/828803820582957056
829368241600479233,6.11440514469288,311,501,98,149,2018-05-05_16_43_47,908,2017-02-08,829368241600479233,http://twitter.com/SenatorHeitkamp/status/829368241600479233
832360162358800384,5.77604677062149,898,33,267,18,2018-05-05_16_41_55,2476,2017-02-16,832360162358800384,http://twitter.com/SenatorHeitkamp/status/832360162358800384
821844624192966656,6.038123667382553,469,502,115,154,2018-05-05_16_53_06,1415,2017-01-18,821844624192966656,http://twitter.com/SenatorHeitkamp/status/821844624192966656
825724494585163776,6.260080862578601,742,1820,222,575,2018-05-05_16_51_41,2106,2017-01-29,825724494585163776,http://twitter.com/SenatorHeitkamp/status/825724494585163776
826096003375910912,6.347183098583307,426,1297,119,479,2018-05-05_16_50_18,1183,2017-01-30,826096003375910912,http://twitter.com/SenatorHeitkamp/status/826096003375910912
826807502021001216,5.547403100773874,258,5,83,3,2018-05-05_16_48_51,913,2017-02-01,826807502021001216,http://twitter.com/SenatorHeitkamp/status/826807502021001216
826915278583906307,5.577336448603238,428,24,107,5,2018-05-05_16_47_29,1416,2017-02-01,826915278583906307,http://twitter.com/SenatorHeitkamp/status/826915278583906307
