,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910197246301523969,5.659622641509067,318,46,75,7,2018-05-06_22_04_17,1229,2017-09-19,910197246301523969,http://twitter.com/SenatorIsakson/status/910197246301523969
913130245208793088,5.305583596212513,317,63,77,19,2018-05-06_22_02_55,1014,2017-09-27,913130245208793088,http://twitter.com/SenatorIsakson/status/913130245208793088
913475268211339264,5.490949367092979,474,50,80,7,2018-05-06_22_01_28,1426,2017-09-28,913475268211339264,http://twitter.com/SenatorIsakson/status/913475268211339264
914807210831699968,5.561944444463665,720,182,381,35,2018-05-06_22_00_05,2253,2017-10-02,914807210831699968,http://twitter.com/SenatorIsakson/status/914807210831699968
918230241738477568,5.4605797101434765,345,42,65,8,2018-05-06_21_58_38,1085,2017-10-11,918230241738477568,http://twitter.com/SenatorIsakson/status/918230241738477568
921073037264457728,5.96799180328627,488,196,100,40,2018-05-06_21_57_13,1451,2017-10-19,921073037264457728,http://twitter.com/SenatorIsakson/status/921073037264457728
889929634619502593,5.560843585262679,1138,71,291,16,2018-05-06_22_12_53,3740,2017-07-25,889929634619502593,http://twitter.com/SenatorIsakson/status/889929634619502593
892409575110053888,5.745712290525187,716,502,362,147,2018-05-06_22_11_25,2344,2017-08-01,892409575110053888,http://twitter.com/SenatorIsakson/status/892409575110053888
894660808436846592,5.5654444444440045,360,64,77,17,2018-05-06_22_10_08,1182,2017-08-07,894660808436846592,http://twitter.com/SenatorIsakson/status/894660808436846592
896441010645061634,5.3779225806735065,775,681,300,178,2018-05-06_22_08_35,3038,2017-08-12,896441010645061634,http://twitter.com/SenatorIsakson/status/896441010645061634
897888546299793408,5.885593220348394,413,65,76,19,2018-05-06_22_07_12,1510,2017-08-16,897888546299793408,http://twitter.com/SenatorIsakson/status/897888546299793408
905204925239619585,5.960565843652666,972,482,262,165,2018-05-06_22_05_43,3273,2017-09-05,905204925239619585,http://twitter.com/SenatorIsakson/status/905204925239619585
867367383421378562,5.421713665950742,461,44,87,16,2018-05-06_22_19_55,1530,2017-05-24,867367383421378562,http://twitter.com/SenatorIsakson/status/867367383421378562
871782681696243712,5.768899521528528,209,19,69,7,2018-05-06_22_18_32,988,2017-06-05,871782681696243712,http://twitter.com/SenatorIsakson/status/871782681696243712
872438005151272963,5.609937499997454,320,253,83,52,2018-05-06_22_17_08,1187,2017-06-07,872438005151272963,http://twitter.com/SenatorIsakson/status/872438005151272963
872888207838515202,5.4839108910857535,404,26,91,3,2018-05-06_22_15_48,1381,2017-06-08,872888207838515202,http://twitter.com/SenatorIsakson/status/872888207838515202
884921387483365376,5.541889168768517,397,60,89,7,2018-05-06_22_14_17,1499,2017-07-11,884921387483365376,http://twitter.com/SenatorIsakson/status/884921387483365376
850385040638869505,5.41375350140043,357,85,69,22,2018-05-06_22_27_04,1172,2017-04-07,850385040638869505,http://twitter.com/SenatorIsakson/status/850385040638869505
857969541393108996,5.932968750003679,384,1856,157,444,2018-05-06_22_25_38,1480,2017-04-28,857969541393108996,http://twitter.com/SenatorIsakson/status/857969541393108996
860116125853638656,5.7366370106928,562,68,112,9,2018-05-06_22_24_10,1631,2017-05-04,860116125853638656,http://twitter.com/SenatorIsakson/status/860116125853638656
860553387754086400,5.5567021276591415,94,12,78,4,2018-05-06_22_22_42,375,2017-05-05,860553387754086400,http://twitter.com/SenatorIsakson/status/860553387754086400
867108130957787137,5.526392785582627,499,28,100,12,2018-05-06_22_21_19,1684,2017-05-23,867108130957787137,http://twitter.com/SenatorIsakson/status/867108130957787137
846401426582622208,5.754077669902565,412,61,94,19,2018-05-06_22_34_15,1540,2017-03-27,846401426582622208,http://twitter.com/SenatorIsakson/status/846401426582622208
846821263490387970,5.8705417814831335,1089,90,208,15,2018-05-06_22_32_48,3193,2017-03-28,846821263490387970,http://twitter.com/SenatorIsakson/status/846821263490387970
849261753968013312,5.416453201981182,406,66,115,21,2018-05-06_22_31_24,1698,2017-04-04,849261753968013312,http://twitter.com/SenatorIsakson/status/849261753968013312
850009959064637440,5.236117103270203,649,62,197,18,2018-05-06_22_29_57,2662,2017-04-06,850009959064637440,http://twitter.com/SenatorIsakson/status/850009959064637440
850186228989399040,5.5782051282029785,234,131,70,53,2018-05-06_22_28_29,861,2017-04-06,850186228989399040,http://twitter.com/SenatorIsakson/status/850186228989399040
836776784037359617,5.6549350649337,308,78,82,7,2018-05-06_22_41_09,1103,2017-02-28,836776784037359617,http://twitter.com/SenatorIsakson/status/836776784037359617
836791033300193281,5.746234413967732,401,2550,128,503,2018-05-06_22_39_47,1408,2017-02-28,836791033300193281,http://twitter.com/SenatorIsakson/status/836791033300193281
838831835593510914,5.264544117663588,680,101,154,32,2018-05-06_22_38_21,2264,2017-03-06,838831835593510914,http://twitter.com/SenatorIsakson/status/838831835593510914
842447282607915008,5.6159825327569175,458,22,80,8,2018-05-06_22_37_02,1466,2017-03-16,842447282607915008,http://twitter.com/SenatorIsakson/status/842447282607915008
844667092284649473,5.500624999996673,400,38,79,5,2018-05-06_22_35_42,1396,2017-03-22,844667092284649473,http://twitter.com/SenatorIsakson/status/844667092284649473
834095454119923713,5.707320872272563,321,23,89,3,2018-05-06_22_48_10,1386,2017-02-21,834095454119923713,http://twitter.com/SenatorIsakson/status/834095454119923713
834407817545129984,5.473253373332771,667,36,143,5,2018-05-06_22_46_43,2388,2017-02-22,834407817545129984,http://twitter.com/SenatorIsakson/status/834407817545129984
834441136366301184,5.481994609161953,371,64,83,23,2018-05-06_22_45_18,1331,2017-02-22,834441136366301184,http://twitter.com/SenatorIsakson/status/834441136366301184
834847689284153348,6.040490566052908,530,129,108,12,2018-05-06_22_43_53,1590,2017-02-23,834847689284153348,http://twitter.com/SenatorIsakson/status/834847689284153348
836386410189975552,5.904945454542951,275,94,83,21,2018-05-06_22_42_32,1101,2017-02-27,836386410189975552,http://twitter.com/SenatorIsakson/status/836386410189975552
830170698136031232,5.668214285723709,420,20,103,1,2018-05-06_22_55_20,1509,2017-02-10,830170698136031232,http://twitter.com/SenatorIsakson/status/830170698136031232
831313555425263616,5.642748344368786,302,24,78,10,2018-05-06_22_53_53,1129,2017-02-13,831313555425263616,http://twitter.com/SenatorIsakson/status/831313555425263616
