,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
913472225411510272,5.835688888887339,225,309,72,79,2018-05-08_12_46_39,826,2017-09-28,913472225411510272,http://twitter.com/SenatorLankford/status/913472225411510272
914845625375756289,5.370445468527392,651,322,667,59,2018-05-08_12_44_58,2239,2017-10-02,914845625375756289,http://twitter.com/SenatorLankford/status/914845625375756289
915341018089869313,5.68282913168115,1071,2820,398,1041,2018-05-08_12_43_18,3557,2017-10-03,915341018089869313,http://twitter.com/SenatorLankford/status/915341018089869313
916007055156068352,5.540735849072782,530,725,105,275,2018-05-08_12_41_47,1706,2017-10-05,916007055156068352,http://twitter.com/SenatorLankford/status/916007055156068352
916387535210844161,5.701368653435012,453,144,87,33,2018-05-08_12_40_16,1574,2017-10-06,916387535210844161,http://twitter.com/SenatorLankford/status/916387535210844161
918572137224564736,5.518927492474952,662,98,130,15,2018-05-08_12_38_44,2327,2017-10-12,918572137224564736,http://twitter.com/SenatorLankford/status/918572137224564736
912416882711556096,5.471764705906137,884,188,213,95,2018-05-08_12_55_35,3132,2017-09-25,912416882711556096,http://twitter.com/SenatorLankford/status/912416882711556096
912676990167154688,5.543783783794855,444,85,83,22,2018-05-08_12_53_54,1727,2017-09-26,912676990167154688,http://twitter.com/SenatorLankford/status/912676990167154688
912736132588298240,5.672986111143705,576,488,111,189,2018-05-08_12_52_24,1880,2017-09-26,912736132588298240,http://twitter.com/SenatorLankford/status/912736132588298240
913152001839697928,5.548644264224907,863,613,570,384,2018-05-08_12_49_52,3256,2017-09-27,913152001839697928,http://twitter.com/SenatorLankford/status/913152001839697928
913436258705313793,5.518535825542587,321,17,88,9,2018-05-08_12_48_18,1194,2017-09-28,913436258705313793,http://twitter.com/SenatorLankford/status/913436258705313793
910287387669999621,5.430540915415486,721,1071,208,421,2018-05-08_13_05_40,3224,2017-09-19,910287387669999621,http://twitter.com/SenatorLankford/status/910287387669999621
910987511484346368,5.481609195398367,348,171,69,24,2018-05-08_13_04_11,1346,2017-09-21,910987511484346368,http://twitter.com/SenatorLankford/status/910987511484346368
911237784261840897,5.793715469641586,724,270,133,109,2018-05-08_13_02_39,2360,2017-09-22,911237784261840897,http://twitter.com/SenatorLankford/status/911237784261840897
911396085356273665,5.7215723270452585,318,101,81,21,2018-05-08_13_01_05,1303,2017-09-22,911396085356273665,http://twitter.com/SenatorLankford/status/911396085356273665
911948211211964416,5.306350877189773,285,83,75,21,2018-05-08_12_58_58,1017,2017-09-24,911948211211964416,http://twitter.com/SenatorLankford/status/911948211211964416
912355140052684802,5.577470760256958,684,67,159,49,2018-05-08_12_57_25,2302,2017-09-25,912355140052684802,http://twitter.com/SenatorLankford/status/912355140052684802
907379809071878145,5.3941768292956525,656,138,131,80,2018-05-08_13_14_20,2297,2017-09-11,907379809071878145,http://twitter.com/SenatorLankford/status/907379809071878145
908446248658722817,5.576173633463509,622,194,118,79,2018-05-08_13_12_28,2295,2017-09-14,908446248658722817,http://twitter.com/SenatorLankford/status/908446248658722817
909155068808716289,5.3721220159128915,377,304,90,120,2018-05-08_13_10_51,1277,2017-09-16,909155068808716289,http://twitter.com/SenatorLankford/status/909155068808716289
909957409560555520,5.488797468352077,316,174,73,46,2018-05-08_13_09_11,1099,2017-09-18,909957409560555520,http://twitter.com/SenatorLankford/status/909957409560555520
910176035639107584,5.332018561491002,431,125,82,27,2018-05-08_13_07_24,1438,2017-09-19,910176035639107584,http://twitter.com/SenatorLankford/status/910176035639107584
