,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920337794920271872,5.552765685043705,781,3480,1.6K,5313,2018-05-03_12_06_21,3048,2017-10-16,920337794920271872,http://twitter.com/SenatorLeahy/status/920337794920271872
920679676506451969,5.130999999998508,170,247,155,160,2018-05-03_12_04_57,778,2017-10-18,920679676506451969,http://twitter.com/SenatorLeahy/status/920679676506451969
920695137591873536,5.404440298507227,268,1393,91,797,2018-05-03_12_03_34,1140,2017-10-18,920695137591873536,http://twitter.com/SenatorLeahy/status/920695137591873536
920754356001103872,5.109443631049979,683,6272,781,4352,2018-05-03_12_02_06,3029,2017-10-18,920754356001103872,http://twitter.com/SenatorLeahy/status/920754356001103872
920795399085895680,5.4705982906243715,468,3357,138,1134,2018-05-03_12_00_38,2024,2017-10-18,920795399085895680,http://twitter.com/SenatorLeahy/status/920795399085895680
920795467243438081,5.480134589516863,743,5880,336,4302,2018-05-03_11_59_06,2870,2017-10-18,920795467243438081,http://twitter.com/SenatorLeahy/status/920795467243438081
915891756880863232,5.729258849585736,904,45543,999,50227,2018-05-03_12_13_33,3612,2017-10-04,915891756880863232,http://twitter.com/SenatorLeahy/status/915891756880863232
918656978305601536,5.711888111887535,286,699,91,291,2018-05-03_12_12_08,1067,2017-10-12,918656978305601536,http://twitter.com/SenatorLeahy/status/918656978305601536
918821065547239425,5.3410344827577765,174,1021,87,1043,2018-05-03_12_10_43,786,2017-10-13,918821065547239425,http://twitter.com/SenatorLeahy/status/918821065547239425
920116938113679367,5.979396067435489,712,674507,19K,91534,2018-05-03_12_09_10,2142,2017-10-16,920116938113679367,http://twitter.com/SenatorLeahy/status/920116938113679367
920291228465487877,5.787449392711776,247,2855,78,1724,2018-05-03_12_07_47,994,2017-10-16,920291228465487877,http://twitter.com/SenatorLeahy/status/920291228465487877
