,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
914281218711212033,5.3415279879189885,661,666,4.0K,326,2018-05-08_11_03_45,2318,2017-09-30,914281218711212033,http://twitter.com/SenatorMenendez/status/914281218711212033
914922778222108672,5.036654676255932,278,723,76,246,2018-05-08_11_02_15,935,2017-10-02,914922778222108672,http://twitter.com/SenatorMenendez/status/914922778222108672
916783153536290816,5.285458612984868,447,256,163,81,2018-05-08_11_00_08,1610,2017-10-07,916783153536290816,http://twitter.com/SenatorMenendez/status/916783153536290816
913776921686740992,5.474073506906158,653,25989,887,20279,2018-05-08_11_12_54,2496,2017-09-29,913776921686740992,http://twitter.com/SenatorMenendez/status/913776921686740992
913886936561053697,5.211821366045885,571,317,391,192,2018-05-08_11_11_23,1853,2017-09-29,913886936561053697,http://twitter.com/SenatorMenendez/status/913886936561053697
913925650817445889,5.5936986301336065,292,488,97,391,2018-05-08_11_09_51,1033,2017-09-29,913925650817445889,http://twitter.com/SenatorMenendez/status/913925650817445889
914197075641950209,5.296671270738768,724,1075,1.5K,526,2018-05-08_11_08_27,2483,2017-09-30,914197075641950209,http://twitter.com/SenatorMenendez/status/914197075641950209
914204180138643456,5.497071960300258,403,503,128,167,2018-05-08_11_06_52,1425,2017-09-30,914204180138643456,http://twitter.com/SenatorMenendez/status/914204180138643456
914209534587101184,5.289750000026887,560,1596,313,897,2018-05-08_11_05_27,1956,2017-09-30,914209534587101184,http://twitter.com/SenatorMenendez/status/914209534587101184
905883203361267712,5.3714030261608805,727,385,515,111,2018-05-08_11_21_41,2664,2017-09-07,905883203361267712,http://twitter.com/SenatorMenendez/status/905883203361267712
910562369511751680,5.5894202898519305,345,631,74,541,2018-05-08_11_20_17,1184,2017-09-20,910562369511751680,http://twitter.com/SenatorMenendez/status/910562369511751680
913101917890519040,5.56080536912499,298,252,80,168,2018-05-08_11_18_51,1156,2017-09-27,913101917890519040,http://twitter.com/SenatorMenendez/status/913101917890519040
913153434072813569,5.49596078432918,510,119,149,52,2018-05-08_11_17_24,1650,2017-09-27,913153434072813569,http://twitter.com/SenatorMenendez/status/913153434072813569
913423368254304256,5.346917808228398,438,286,126,152,2018-05-08_11_16_02,1640,2017-09-28,913423368254304256,http://twitter.com/SenatorMenendez/status/913423368254304256
913536110181089280,5.088887195146581,656,477,204,210,2018-05-08_11_14_26,2597,2017-09-28,913536110181089280,http://twitter.com/SenatorMenendez/status/913536110181089280
905142993216294913,5.586820512841125,780,16347,339,27161,2018-05-08_11_25_06,3008,2017-09-05,905142993216294913,http://twitter.com/SenatorMenendez/status/905142993216294913
905405478007693312,5.378518518516562,243,86,80,29,2018-05-08_11_23_38,876,2017-09-06,905405478007693312,http://twitter.com/SenatorMenendez/status/905405478007693312
904556411568443392,5.8018869936229205,938,154669,6.1K,54951,2018-05-08_11_30_18,3389,2017-09-03,904556411568443392,http://twitter.com/SenatorMenendez/status/904556411568443392
904568294304337920,5.5916589327196204,862,4705,229,4437,2018-05-08_11_27_41,3154,2017-09-03,904568294304337920,http://twitter.com/SenatorMenendez/status/904568294304337920
904509307525484545,5.329820788528656,279,523,91,303,2018-05-08_11_35_45,1129,2017-09-03,904509307525484545,http://twitter.com/SenatorMenendez/status/904509307525484545
904555584091033600,5.761997084484906,1372,16009,1.9K,10076,2018-05-08_11_33_29,4324,2017-09-02,904555584091033600,http://twitter.com/SenatorMenendez/status/904555584091033600
896561818705043456,5.1887401574776915,254,1482,83,443,2018-05-08_11_43_07,955,2017-08-12,896561818705043456,http://twitter.com/SenatorMenendez/status/896561818705043456
897563118599098369,5.384295081989819,610,2150,229,897,2018-05-08_11_41_35,2281,2017-08-15,897563118599098369,http://twitter.com/SenatorMenendez/status/897563118599098369
900189421236047872,5.419023746702628,379,964,105,312,2018-05-08_11_40_10,1465,2017-08-22,900189421236047872,http://twitter.com/SenatorMenendez/status/900189421236047872
903319130421506048,5.396430446190804,381,1239,118,817,2018-05-08_11_38_45,1300,2017-08-31,903319130421506048,http://twitter.com/SenatorMenendez/status/903319130421506048
903340738267795456,5.653097949892337,439,1352,124,499,2018-05-08_11_37_11,1488,2017-08-31,903340738267795456,http://twitter.com/SenatorMenendez/status/903340738267795456
860163828482539520,5.47674603174065,378,1767,118,749,2018-05-08_11_50_50,1401,2017-05-04,860163828482539520,http://twitter.com/SenatorMenendez/status/860163828482539520
876882074946469889,5.364329501914535,261,1077,78,771,2018-05-08_11_49_12,1167,2017-06-19,876882074946469889,http://twitter.com/SenatorMenendez/status/876882074946469889
876928114403704832,5.5691528545331295,543,2958,175,1672,2018-05-08_11_47_35,2182,2017-06-19,876928114403704832,http://twitter.com/SenatorMenendez/status/876928114403704832
887039606620921856,5.4011330049272495,406,1191,100,477,2018-05-08_11_46_03,1482,2017-07-17,887039606620921856,http://twitter.com/SenatorMenendez/status/887039606620921856
890791792605515780,6.365625806488807,775,21245,402,7608,2018-05-08_11_44_35,2137,2017-07-27,890791792605515780,http://twitter.com/SenatorMenendez/status/890791792605515780
847453930720157703,5.6954545454866565,792,10976,1.3K,6021,2018-05-08_11_57_36,3186,2017-03-30,847453930720157703,http://twitter.com/SenatorMenendez/status/847453930720157703
849043344349171714,6.198548387094008,434,526,136,127,2018-05-08_11_55_44,1323,2017-04-03,849043344349171714,http://twitter.com/SenatorMenendez/status/849043344349171714
851843997035376640,5.519749999999923,280,306,78,163,2018-05-08_11_54_04,1059,2017-04-11,851843997035376640,http://twitter.com/SenatorMenendez/status/851843997035376640
857700813753520129,7.102586872586333,518,1603,161,251,2018-05-08_11_52_21,1171,2017-04-27,857700813753520129,http://twitter.com/SenatorMenendez/status/857700813753520129
