,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
872957043858165760,5.622295081963832,305,30,80,17,2018-05-05_15_24_07,1029,2017-06-08,872957043858165760,http://twitter.com/SenatorRisch/status/872957043858165760
872983775138938880,5.665113230068518,839,121,406,45,2018-05-05_15_22_45,3288,2017-06-08,872983775138938880,http://twitter.com/SenatorRisch/status/872983775138938880
895049144733233152,5.413702579683171,659,312,161,211,2018-05-05_15_21_22,2603,2017-08-08,895049144733233152,http://twitter.com/SenatorRisch/status/895049144733233152
895261769001816065,5.329826338637694,691,397,403,227,2018-05-05_15_19_58,2578,2017-08-08,895261769001816065,http://twitter.com/SenatorRisch/status/895261769001816065
896397847112929280,5.375663430420735,309,104,101,45,2018-05-05_15_18_32,1116,2017-08-11,896397847112929280,http://twitter.com/SenatorRisch/status/896397847112929280
864586844981387265,5.6758378378606675,740,24,441,6,2018-05-05_15_32_24,2684,2017-05-16,864586844981387265,http://twitter.com/SenatorRisch/status/864586844981387265
864616381756706818,5.688293650820789,756,50,365,17,2018-05-05_15_30_56,2730,2017-05-16,864616381756706818,http://twitter.com/SenatorRisch/status/864616381756706818
872821561715290116,5.750651465821482,921,170,524,54,2018-05-05_15_29_25,3296,2017-06-07,872821561715290116,http://twitter.com/SenatorRisch/status/872821561715290116
872828648985939969,5.494637964791237,511,1030,184,551,2018-05-05_15_28_00,2073,2017-06-08,872828648985939969,http://twitter.com/SenatorRisch/status/872828648985939969
872829957986242563,5.73412087911649,364,25,90,13,2018-05-05_15_26_42,1280,2017-06-08,872829957986242563,http://twitter.com/SenatorRisch/status/872829957986242563
872939892820541442,5.502389937122175,477,15,130,10,2018-05-05_15_25_24,1766,2017-06-08,872939892820541442,http://twitter.com/SenatorRisch/status/872939892820541442
383349585034215424,6.086936758905613,506,99,141,235,2018-05-05_15_40_55,1662,2013-09-26,383349585034215424,http://twitter.com/SenatorRisch/status/383349585034215424
825032832447762432,5.8314264706188474,680,169,149,38,2018-05-05_15_39_28,2124,2017-01-27,825032832447762432,http://twitter.com/SenatorRisch/status/825032832447762432
829013022706393090,5.428598949239102,571,992,1.8K,810,2018-05-05_15_38_02,2433,2017-02-07,829013022706393090,http://twitter.com/SenatorRisch/status/829013022706393090
832024484509007872,5.6171947194685075,303,390,131,177,2018-05-05_15_36_38,1304,2017-02-15,832024484509007872,http://twitter.com/SenatorRisch/status/832024484509007872
834544385048076289,5.7987817258899685,394,5529,149,908,2018-05-05_15_35_12,1432,2017-02-22,834544385048076289,http://twitter.com/SenatorRisch/status/834544385048076289
862667924653441024,5.566044444457331,450,9,143,13,2018-05-05_15_33_51,1760,2017-05-11,862667924653441024,http://twitter.com/SenatorRisch/status/862667924653441024
