,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910965374262407168,5.598860435349778,781,27919,617,18520,2018-05-06_22_03_18,3364,2017-09-21,910965374262407168,http://twitter.com/SenatorShaheen/status/910965374262407168
912800426478784513,6.046527012179617,907,41046,3.0K,9703,2018-05-06_22_01_51,2830,2017-09-26,912800426478784513,http://twitter.com/SenatorShaheen/status/912800426478784513
914519846498553856,5.764076923074305,260,1382,80,418,2018-05-06_22_00_27,1067,2017-10-01,914519846498553856,http://twitter.com/SenatorShaheen/status/914519846498553856
914855416961609728,5.949139240534103,790,59080,332,74572,2018-05-06_21_58_58,2522,2017-10-02,914855416961609728,http://twitter.com/SenatorShaheen/status/914855416961609728
916378713444569088,5.673009307112872,967,95705,1.1K,37683,2018-05-06_21_57_33,3744,2017-10-06,916378713444569088,http://twitter.com/SenatorShaheen/status/916378713444569088
917857177519513600,6.291197183116982,852,1160101,11K,351684,2018-05-06_21_56_09,2241,2017-10-09,917857177519513600,http://twitter.com/SenatorShaheen/status/917857177519513600
907971995966607360,6.116894502262388,673,5655,299,1035,2018-05-06_22_10_26,1959,2017-09-13,907971995966607360,http://twitter.com/SenatorShaheen/status/907971995966607360
908011895868858371,6.043116279072168,430,2431,99,537,2018-05-06_22_08_58,1375,2017-09-13,908011895868858371,http://twitter.com/SenatorShaheen/status/908011895868858371
908329215388471296,5.792131147557442,610,5027,136,2548,2018-05-06_22_07_33,2088,2017-09-13,908329215388471296,http://twitter.com/SenatorShaheen/status/908329215388471296
910498124459802625,5.779873896609466,793,404,167,150,2018-05-06_22_06_07,2935,2017-09-20,910498124459802625,http://twitter.com/SenatorShaheen/status/910498124459802625
910534339296944133,5.453254344397839,633,3055,145,4570,2018-05-06_22_04_46,2423,2017-09-20,910534339296944133,http://twitter.com/SenatorShaheen/status/910534339296944133
880951933531455489,5.302197802209991,455,654,103,284,2018-05-06_22_17_31,1757,2017-06-30,880951933531455489,http://twitter.com/SenatorShaheen/status/880951933531455489
893111675460702208,5.380713101189759,603,1190,123,495,2018-05-06_22_16_08,2239,2017-08-03,893111675460702208,http://twitter.com/SenatorShaheen/status/893111675460702208
893112086561214464,5.370945736461092,645,995,161,385,2018-05-06_22_14_37,2409,2017-08-03,893112086561214464,http://twitter.com/SenatorShaheen/status/893112086561214464
893171411824541696,5.882647058821133,272,1930,78,430,2018-05-06_22_13_17,965,2017-08-01,893171411824541696,http://twitter.com/SenatorShaheen/status/893171411824541696
906146863199305729,5.133116883118476,231,600,72,348,2018-05-06_22_11_54,1211,2017-09-08,906146863199305729,http://twitter.com/SenatorShaheen/status/906146863199305729
865245162229903360,5.697145539924136,1065,6528,407,3004,2018-05-06_22_24_41,3699,2017-05-17,865245162229903360,http://twitter.com/SenatorShaheen/status/865245162229903360
874668341532794882,5.758999999999813,250,765,76,491,2018-05-06_22_23_14,985,2017-06-13,874668341532794882,http://twitter.com/SenatorShaheen/status/874668341532794882
874976227894976512,5.377750258029405,969,8634,568,4398,2018-05-06_22_21_47,3292,2017-06-14,874976227894976512,http://twitter.com/SenatorShaheen/status/874976227894976512
875751078192721920,5.683208556148872,374,1988,98,1598,2018-05-06_22_20_23,1307,2017-06-16,875751078192721920,http://twitter.com/SenatorShaheen/status/875751078192721920
880433274228748289,5.61126081584987,809,149583,20K,46405,2018-05-06_22_18_58,3083,2017-06-29,880433274228748289,http://twitter.com/SenatorShaheen/status/880433274228748289
850035475465351170,5.49425587467262,383,404,109,192,2018-05-06_22_31_56,1465,2017-04-06,850035475465351170,http://twitter.com/SenatorShaheen/status/850035475465351170
859487068057214976,5.766587500016147,800,504289,8.4K,129245,2018-05-06_22_30_28,2635,2017-05-02,859487068057214976,http://twitter.com/SenatorShaheen/status/859487068057214976
860203326931128320,5.6459745762720335,236,1110,70,485,2018-05-06_22_29_01,755,2017-05-04,860203326931128320,http://twitter.com/SenatorShaheen/status/860203326931128320
860240890778054657,5.593659003842333,522,1968,146,1463,2018-05-06_22_27_40,1543,2017-05-04,860240890778054657,http://twitter.com/SenatorShaheen/status/860240890778054657
862095206476386304,5.8035093167730345,322,872,94,589,2018-05-06_22_26_10,1140,2017-05-09,862095206476386304,http://twitter.com/SenatorShaheen/status/862095206476386304
837147290842333184,5.565438596489292,171,554,69,219,2018-05-06_22_38_50,820,2017-03-01,837147290842333184,http://twitter.com/SenatorShaheen/status/837147290842333184
842046814320766976,5.73762711864316,177,343,75,81,2018-05-06_22_37_27,470,2017-03-15,842046814320766976,http://twitter.com/SenatorShaheen/status/842046814320766976
845023568597602304,5.604291907547988,692,11114,604,10064,2018-05-06_22_36_03,2495,2017-03-23,845023568597602304,http://twitter.com/SenatorShaheen/status/845023568597602304
846812112240480257,6.036421568620103,408,1390,127,579,2018-05-06_22_34_40,1250,2017-03-28,846812112240480257,http://twitter.com/SenatorShaheen/status/846812112240480257
849315797256331266,5.3010380622832685,289,217,75,124,2018-05-06_22_33_19,1108,2017-04-04,849315797256331266,http://twitter.com/SenatorShaheen/status/849315797256331266
825159357788803072,5.620429447867588,652,891,151,397,2018-05-06_22_46_06,2227,2017-01-27,825159357788803072,http://twitter.com/SenatorShaheen/status/825159357788803072
825403417967329287,5.724831932772241,238,1329,90,724,2018-05-06_22_44_39,983,2017-01-28,825403417967329287,http://twitter.com/SenatorShaheen/status/825403417967329287
827200934077927424,6.22630769230706,260,1117,88,236,2018-05-06_22_43_12,699,2017-02-02,827200934077927424,http://twitter.com/SenatorShaheen/status/827200934077927424
828442194826641413,6.434953271028321,107,8459,80,4373,2018-05-06_22_41_49,360,2017-02-05,828442194826641413,http://twitter.com/SenatorShaheen/status/828442194826641413
830813316498989060,5.337704918052677,732,5046,231,2294,2018-05-06_22_40_19,3058,2017-02-12,830813316498989060,http://twitter.com/SenatorShaheen/status/830813316498989060
809439161606348800,5.758664383584954,876,7978,549,4995,2018-05-06_22_53_19,3278,2016-12-14,809439161606348800,http://twitter.com/SenatorShaheen/status/809439161606348800
809439260189331456,5.847308132909777,873,37048,2.0K,17759,2018-05-06_22_51_48,3229,2016-12-14,809439260189331456,http://twitter.com/SenatorShaheen/status/809439260189331456
817124581668483072,5.521024844719287,322,1806,96,913,2018-05-06_22_50_17,1261,2017-01-05,817124581668483072,http://twitter.com/SenatorShaheen/status/817124581668483072
823581271788027904,6.226611253238508,782,3910,219,1679,2018-05-06_22_48_56,2038,2017-01-23,823581271788027904,http://twitter.com/SenatorShaheen/status/823581271788027904
823669831216074752,6.111133720927751,344,687,94,156,2018-05-06_22_47_30,936,2017-01-23,823669831216074752,http://twitter.com/SenatorShaheen/status/823669831216074752
667464368884424704,5.758720930231774,258,565,105,228,2018-05-06_23_00_21,988,2015-11-19,667464368884424704,http://twitter.com/SenatorShaheen/status/667464368884424704
725373080793657344,5.610241758261262,455,1075,136,933,2018-05-06_22_58_56,2157,2016-04-27,725373080793657344,http://twitter.com/SenatorShaheen/status/725373080793657344
804370505478377474,5.521212814653902,437,593,135,496,2018-05-06_22_57_31,1746,2016-12-01,804370505478377474,http://twitter.com/SenatorShaheen/status/804370505478377474
809103659690786817,5.652325581395448,344,6408,85,2850,2018-05-06_22_56_13,1114,2016-12-14,809103659690786817,http://twitter.com/SenatorShaheen/status/809103659690786817
809106256304676864,5.589351032446016,339,4033,96,1717,2018-05-06_22_54_49,1100,2016-12-14,809106256304676864,http://twitter.com/SenatorShaheen/status/809106256304676864
562085202869362690,6.664200000009839,550,26591,1.4K,41341,2018-05-06_23_07_30,1951,2015-02-01,562085202869362690,http://twitter.com/SenatorShaheen/status/562085202869362690
588359932799541248,6.1100636942656275,157,1735,88,2452,2018-05-06_23_06_06,556,2015-04-15,588359932799541248,http://twitter.com/SenatorShaheen/status/588359932799541248
611364888359890944,5.9514240506333635,316,152,104,290,2018-05-06_23_04_40,1469,2015-06-17,611364888359890944,http://twitter.com/SenatorShaheen/status/611364888359890944
639442117077680128,5.292138364789301,636,4503,519,9468,2018-05-06_23_03_17,2825,2015-09-03,639442117077680128,http://twitter.com/SenatorShaheen/status/639442117077680128
658711647037575168,5.819385245901571,244,567,71,431,2018-05-06_23_01_43,889,2015-10-26,658711647037575168,http://twitter.com/SenatorShaheen/status/658711647037575168
507261604590022656,5.296313993169892,293,33,88,72,2018-05-06_23_14_51,1288,2014-09-03,507261604590022656,http://twitter.com/SenatorShaheen/status/507261604590022656
554022848873123840,6.0818181818187425,77,2514,120,2673,2018-05-06_23_13_30,747,2015-01-10,554022848873123840,http://twitter.com/SenatorShaheen/status/554022848873123840
554081730769207297,6.639379562049434,548,8824,426,14554,2018-05-06_23_11_55,2365,2015-01-10,554081730769207297,http://twitter.com/SenatorShaheen/status/554081730769207297
557010768940789760,6.415555555544736,450,10816,507,16647,2018-05-06_23_10_24,2165,2015-01-18,557010768940789760,http://twitter.com/SenatorShaheen/status/557010768940789760
562029087532015617,6.213052631580971,95,2884,107,3652,2018-05-06_23_08_59,552,2015-02-01,562029087532015617,http://twitter.com/SenatorShaheen/status/562029087532015617
