,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
881168521614458880,5.6031451613050525,496,2156,123,319,2018-05-05_15_24_26,1639,2017-07-01,881168521614458880,http://twitter.com/SenatorStrange/status/881168521614458880
883347132689854464,5.739999999998827,289,199,69,66,2018-05-05_15_23_02,1039,2017-07-06,883347132689854464,http://twitter.com/SenatorStrange/status/883347132689854464
884457974323974145,5.780699588475732,243,1818,98,975,2018-05-05_15_21_42,1065,2017-07-10,884457974323974145,http://twitter.com/SenatorStrange/status/884457974323974145
889937362368811009,5.536444906469396,481,41,142,16,2018-05-05_15_20_21,2120,2017-07-25,889937362368811009,http://twitter.com/SenatorStrange/status/889937362368811009
894993753466957824,5.810060120248586,499,40674,9.1K,12916,2018-05-05_15_18_52,1947,2017-08-06,894993753466957824,http://twitter.com/SenatorStrange/status/894993753466957824
896464461602578432,5.488682795694244,372,99,99,33,2018-05-05_15_17_29,1375,2017-08-12,896464461602578432,http://twitter.com/SenatorStrange/status/896464461602578432
864941641353887745,5.425799648520641,569,909,276,261,2018-05-05_15_32_45,2474,2017-05-17,864941641353887745,http://twitter.com/SenatorStrange/status/864941641353887745
866749933071863808,5.914043993250228,591,64593,7.6K,13029,2018-05-05_15_31_25,2016,2017-05-22,866749933071863808,http://twitter.com/SenatorStrange/status/866749933071863808
868489729330819072,5.929289617505896,549,5716,561,1217,2018-05-05_15_30_01,1800,2017-05-27,868489729330819072,http://twitter.com/SenatorStrange/status/868489729330819072
871430472320110594,5.530450204658389,733,3411,381,1122,2018-05-05_15_28_37,2687,2017-06-04,871430472320110594,http://twitter.com/SenatorStrange/status/871430472320110594
873225335998992384,5.753780160876279,746,6810,949,2051,2018-05-05_15_27_11,2768,2017-06-09,873225335998992384,http://twitter.com/SenatorStrange/status/873225335998992384
877656181656895488,5.6289261744944685,298,693,94,264,2018-05-05_15_25_50,1161,2017-06-21,877656181656895488,http://twitter.com/SenatorStrange/status/877656181656895488
836775530477326337,5.880742240234329,741,51121,3.7K,10448,2018-05-05_15_39_41,2165,2017-02-28,836775530477326337,http://twitter.com/SenatorStrange/status/836775530477326337
843849751934226432,5.350514705880878,136,74,81,20,2018-05-05_15_38_18,555,2017-03-20,843849751934226432,http://twitter.com/SenatorStrange/status/843849751934226432
845019787071754240,5.263501006055094,497,425,428,158,2018-05-05_15_36_57,1829,2017-03-23,845019787071754240,http://twitter.com/SenatorStrange/status/845019787071754240
855528759621017602,6.167406914918287,752,73015,7.1K,18717,2018-05-05_15_35_31,2266,2017-04-21,855528759621017602,http://twitter.com/SenatorStrange/status/855528759621017602
856980857390850049,5.891721311474403,244,1873,99,552,2018-05-05_15_34_08,816,2017-04-25,856980857390850049,http://twitter.com/SenatorStrange/status/856980857390850049
