,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920727597323079680,5.502842465751133,292,454,80,97,2018-05-08_13_51_37,915,2017-10-18,920727597323079680,http://twitter.com/SenatorTimScott/status/920727597323079680
920741436072562689,5.4999224806374265,645,714,119,253,2018-05-08_13_49_56,1998,2017-10-18,920741436072562689,http://twitter.com/SenatorTimScott/status/920741436072562689
920985086832599040,5.502842465751133,292,454,80,97,2018-05-08_13_48_18,915,2017-10-18,920985086832599040,http://twitter.com/SenatorTimScott/status/920985086832599040
921019664137965568,5.4999224806374265,645,714,119,253,2018-05-08_13_46_36,1998,2017-10-18,921019664137965568,http://twitter.com/SenatorTimScott/status/921019664137965568
921123329796444164,5.584055201704126,471,639,100,185,2018-05-08_13_45_03,1464,2017-10-19,921123329796444164,http://twitter.com/SenatorTimScott/status/921123329796444164
916019438788468738,5.667987013008889,770,223,189,66,2018-05-08_13_59_27,2222,2017-10-05,916019438788468738,http://twitter.com/SenatorTimScott/status/916019438788468738
918216957522046976,5.571974683540093,395,282,94,79,2018-05-08_13_57_54,1258,2017-10-11,918216957522046976,http://twitter.com/SenatorTimScott/status/918216957522046976
918224775176249345,5.556558603487459,401,282,94,79,2018-05-08_13_56_25,1284,2017-10-11,918224775176249345,http://twitter.com/SenatorTimScott/status/918224775176249345
918595379121225733,5.65043927651253,774,490,126,123,2018-05-08_13_54_31,2432,2017-10-12,918595379121225733,http://twitter.com/SenatorTimScott/status/918595379121225733
920041501433921541,5.5569077306716,401,226,75,59,2018-05-08_13_53_07,1061,2017-10-16,920041501433921541,http://twitter.com/SenatorTimScott/status/920041501433921541
913200835059965953,5.47617314932989,797,869,1.5K,421,2018-05-08_14_07_36,2759,2017-09-27,913200835059965953,http://twitter.com/SenatorTimScott/status/913200835059965953
913461346292953090,5.546735668816466,628,547,143,144,2018-05-08_14_06_09,1943,2017-09-28,913461346292953090,http://twitter.com/SenatorTimScott/status/913461346292953090
913511988776636419,5.543307839403104,523,470,107,125,2018-05-08_14_04_31,1665,2017-09-28,913511988776636419,http://twitter.com/SenatorTimScott/status/913511988776636419
914833737820590080,5.507796352599564,658,1256,324,240,2018-05-08_14_02_45,2324,2017-10-02,914833737820590080,http://twitter.com/SenatorTimScott/status/914833737820590080
915333756214497280,5.336901840488495,326,197,75,56,2018-05-08_14_01_10,996,2017-10-03,915333756214497280,http://twitter.com/SenatorTimScott/status/915333756214497280
913123985507921920,5.6094640338721655,709,239,143,52,2018-05-08_14_16_18,2215,2017-09-27,913123985507921920,http://twitter.com/SenatorTimScott/status/913123985507921920
913126563662766080,5.6094640338721655,709,239,143,52,2018-05-08_14_14_34,2215,2017-09-27,913126563662766080,http://twitter.com/SenatorTimScott/status/913126563662766080
913138284750131200,5.777577464786364,355,257,83,75,2018-05-08_14_12_55,1089,2017-09-27,913138284750131200,http://twitter.com/SenatorTimScott/status/913138284750131200
913138691874451456,5.635382165606173,314,295,74,89,2018-05-08_14_11_20,1080,2017-09-27,913138691874451456,http://twitter.com/SenatorTimScott/status/913138691874451456
913138926432477186,5.73005390835275,371,390,88,133,2018-05-08_14_09_32,1163,2017-09-27,913138926432477186,http://twitter.com/SenatorTimScott/status/913138926432477186
910184763830538242,5.4499197860949655,374,576,70,191,2018-05-08_14_23_31,1184,2017-09-19,910184763830538242,http://twitter.com/SenatorTimScott/status/910184763830538242
910257749237301248,5.4499197860949655,374,576,70,191,2018-05-08_14_21_16,1184,2017-09-19,910257749237301248,http://twitter.com/SenatorTimScott/status/910257749237301248
910313850188259328,6.890643431641575,373,988,109,56,2018-05-08_14_19_48,793,2017-09-19,910313850188259328,http://twitter.com/SenatorTimScott/status/910313850188259328
910617289057296386,5.423431174108149,988,731,759,257,2018-05-08_14_18_05,3274,2017-09-20,910617289057296386,http://twitter.com/SenatorTimScott/status/910617289057296386
899348640870879233,5.493327102823478,535,86,107,37,2018-05-08_14_31_20,1901,2017-08-20,899348640870879233,http://twitter.com/SenatorTimScott/status/899348640870879233
899811083027968000,5.540263929617595,341,545,78,145,2018-05-08_14_29_51,1237,2017-08-21,899811083027968000,http://twitter.com/SenatorTimScott/status/899811083027968000
903001055549689858,5.609856321856944,696,969,128,183,2018-05-08_14_28_16,2266,2017-08-30,903001055549689858,http://twitter.com/SenatorTimScott/status/903001055549689858
908078008346574848,5.578333333338459,414,197,89,40,2018-05-08_14_26_39,1549,2017-09-13,908078008346574848,http://twitter.com/SenatorTimScott/status/908078008346574848
908428535353810944,5.376222455428294,953,2009,527,806,2018-05-08_14_25_02,3789,2017-09-14,908428535353810944,http://twitter.com/SenatorTimScott/status/908428535353810944
897943642702086144,5.6643668122501385,916,1288,193,341,2018-05-08_14_39_05,3256,2017-08-16,897943642702086144,http://twitter.com/SenatorTimScott/status/897943642702086144
898310684412223488,5.700061224505327,490,269,107,65,2018-05-08_14_37_33,1722,2017-08-17,898310684412223488,http://twitter.com/SenatorTimScott/status/898310684412223488
898569238952239105,5.5886117136737,461,230,91,75,2018-05-08_14_35_58,1656,2017-08-18,898569238952239105,http://twitter.com/SenatorTimScott/status/898569238952239105
898578009958920193,5.771608247438692,970,901,271,365,2018-05-08_14_34_13,3564,2017-08-18,898578009958920193,http://twitter.com/SenatorTimScott/status/898578009958920193
898912764630052865,5.3541106719542695,506,84,96,45,2018-05-08_14_32_46,1953,2017-08-18,898912764630052865,http://twitter.com/SenatorTimScott/status/898912764630052865
897576953850548224,5.4896000000160265,500,614,109,152,2018-05-08_14_47_51,1799,2017-08-15,897576953850548224,http://twitter.com/SenatorTimScott/status/897576953850548224
897577481921859585,5.5784749034855965,518,602,157,212,2018-05-08_14_46_22,1885,2017-08-15,897577481921859585,http://twitter.com/SenatorTimScott/status/897577481921859585
897634784184238081,5.759113475200769,846,1898,204,476,2018-05-08_14_44_40,3318,2017-08-15,897634784184238081,http://twitter.com/SenatorTimScott/status/897634784184238081
896495557111418880,5.39103492887687,773,3999,200,1134,2018-05-08_14_54_10,2953,2017-08-12,896495557111418880,http://twitter.com/SenatorTimScott/status/896495557111418880
897200925571469312,5.593154961007109,897,1659,274,495,2018-05-08_14_52_07,3511,2017-08-14,897200925571469312,http://twitter.com/SenatorTimScott/status/897200925571469312
897462505429233664,5.641378882008244,805,1454,158,510,2018-05-08_14_50_37,2768,2017-08-15,897462505429233664,http://twitter.com/SenatorTimScott/status/897462505429233664
897484533259481088,5.641378882008243,805,1454,158,510,2018-05-08_14_49_12,2768,2017-08-15,897484533259481088,http://twitter.com/SenatorTimScott/status/897484533259481088
892153794112479232,5.64690909091004,385,530,90,101,2018-05-08_15_02_35,1255,2017-07-31,892153794112479232,http://twitter.com/SenatorTimScott/status/892153794112479232
893158332487409664,5.403108108106856,296,369,71,88,2018-05-08_15_01_06,1044,2017-08-03,893158332487409664,http://twitter.com/SenatorTimScott/status/893158332487409664
893173368970727425,5.403108108106856,296,369,71,88,2018-05-08_14_59_01,1044,2017-08-03,893173368970727425,http://twitter.com/SenatorTimScott/status/893173368970727425
893593750274007040,5.742507042249957,355,796,121,159,2018-05-08_14_57_30,1429,2017-08-04,893593750274007040,http://twitter.com/SenatorTimScott/status/893593750274007040
896476545539289089,5.626666666684447,573,2307,141,722,2018-05-08_14_55_55,2058,2017-08-12,896476545539289089,http://twitter.com/SenatorTimScott/status/896476545539289089
