,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
907323087812808705,5.693600508920016,786,79754,6.5K,18433,2018-05-04_17_13_37,2492,2017-09-11,907323087812808705,http://twitter.com/SenatorWicker/status/907323087812808705
912437924565798913,5.924318181833326,660,3422,237,687,2018-05-04_17_12_04,2166,2017-09-25,912437924565798913,http://twitter.com/SenatorWicker/status/912437924565798913
913118640563728384,5.484279475980995,229,162,71,27,2018-05-04_17_10_31,690,2017-09-27,913118640563728384,http://twitter.com/SenatorWicker/status/913118640563728384
913177341463007233,5.456216577559945,748,3170,430,999,2018-05-04_17_08_43,2217,2017-09-27,913177341463007233,http://twitter.com/SenatorWicker/status/913177341463007233
914881337865179137,5.363958333361438,768,22,200,12,2018-05-04_17_07_00,2425,2017-10-02,914881337865179137,http://twitter.com/SenatorWicker/status/914881337865179137
918262506652659712,5.831851851852063,81,55181,11K,11849,2018-05-04_17_05_32,246,2017-10-11,918262506652659712,http://twitter.com/SenatorWicker/status/918262506652659712
865237049544232960,5.7468016194726825,741,51,258,20,2018-05-04_17_23_32,2408,2017-05-18,865237049544232960,http://twitter.com/SenatorWicker/status/865237049544232960
870407473592758272,5.792391799555262,439,38,103,16,2018-05-04_17_21_53,1485,2017-06-01,870407473592758272,http://twitter.com/SenatorWicker/status/870407473592758272
884453412103798784,5.524212121206835,330,9,92,3,2018-05-04_17_20_08,1257,2017-07-10,884453412103798784,http://twitter.com/SenatorWicker/status/884453412103798784
884751775911292928,5.63747572815375,206,33,103,17,2018-05-04_17_18_37,760,2017-07-11,884751775911292928,http://twitter.com/SenatorWicker/status/884751775911292928
889944662118682628,5.912074688808593,482,38,80,11,2018-05-04_17_16_59,1546,2017-07-25,889944662118682628,http://twitter.com/SenatorWicker/status/889944662118682628
890764981016440832,5.374123711351175,485,39,110,9,2018-05-04_17_15_15,1612,2017-07-27,890764981016440832,http://twitter.com/SenatorWicker/status/890764981016440832
831332084153200641,5.484719827602227,464,385,280,84,2018-05-04_17_34_50,1758,2017-02-13,831332084153200641,http://twitter.com/SenatorWicker/status/831332084153200641
831950043129188352,5.975084087983979,773,14662,775,3607,2018-05-04_17_32_47,2585,2017-02-15,831950043129188352,http://twitter.com/SenatorWicker/status/831950043129188352
836786590731096064,5.751001430629822,699,24531,930,4031,2018-05-04_17_30_53,2431,2017-02-28,836786590731096064,http://twitter.com/SenatorWicker/status/836786590731096064
836958365670572032,5.817142857142265,245,2385,113,447,2018-05-04_17_29_10,849,2017-02-28,836958365670572032,http://twitter.com/SenatorWicker/status/836958365670572032
848968212431736832,5.385094339621017,159,34,69,9,2018-05-04_17_27_35,605,2017-04-03,848968212431736832,http://twitter.com/SenatorWicker/status/848968212431736832
864859537110597632,5.587451327461375,565,233,224,62,2018-05-04_17_25_30,2183,2017-05-17,864859537110597632,http://twitter.com/SenatorWicker/status/864859537110597632
747812847783153664,5.343754385965818,285,464,93,632,2018-05-04_17_45_02,1202,2016-06-28,747812847783153664,http://twitter.com/SenatorWicker/status/747812847783153664
784390859873714176,5.456649484534045,194,533,88,421,2018-05-04_17_43_05,1021,2016-10-07,784390859873714176,http://twitter.com/SenatorWicker/status/784390859873714176
793471955982749696,5.471416309013802,233,20,71,22,2018-05-04_17_41_34,865,2016-10-31,793471955982749696,http://twitter.com/SenatorWicker/status/793471955982749696
829061882925502464,5.4216869565492285,575,991,1.8K,810,2018-05-04_17_39_45,2449,2017-02-07,829061882925502464,http://twitter.com/SenatorWicker/status/829061882925502464
829066710921658368,5.733436123348429,454,41,101,7,2018-05-04_17_38_00,1279,2017-02-07,829066710921658368,http://twitter.com/SenatorWicker/status/829066710921658368
830210165400027136,5.542151260518259,595,800,275,218,2018-05-04_17_36_21,2382,2017-02-10,830210165400027136,http://twitter.com/SenatorWicker/status/830210165400027136
383645326252703745,5.483235908167959,479,5,95,11,2018-05-04_17_53_27,1754,2013-09-27,383645326252703745,http://twitter.com/SenatorWicker/status/383645326252703745
405827063766323200,5.476935483887452,434,16,90,52,2018-05-04_17_51_51,1757,2013-11-27,405827063766323200,http://twitter.com/SenatorWicker/status/405827063766323200
411253351314391040,5.837924528344088,477,81,96,475,2018-05-04_17_50_13,1682,2013-12-12,411253351314391040,http://twitter.com/SenatorWicker/status/411253351314391040
570604044739338241,5.8040909090861925,286,25,69,62,2018-05-04_17_48_38,1313,2015-02-24,570604044739338241,http://twitter.com/SenatorWicker/status/570604044739338241
674046238778593284,5.6139603960326365,707,7,465,22,2018-05-04_17_46_43,2580,2015-12-07,674046238778593284,http://twitter.com/SenatorWicker/status/674046238778593284
286134476231299072,5.273373860199242,658,14,133,122,2018-05-04_18_00_53,2497,2013-01-01,286134476231299072,http://twitter.com/SenatorWicker/status/286134476231299072
324644884210393088,5.264842219843814,919,80,281,436,2018-05-04_17_59_28,2855,2013-04-17,324644884210393088,http://twitter.com/SenatorWicker/status/324644884210393088
324666000077361152,5.213059125962371,389,6,82,10,2018-05-04_17_58_01,1223,2013-04-17,324666000077361152,http://twitter.com/SenatorWicker/status/324666000077361152
349946036145496065,5.717389162558374,406,72,116,204,2018-05-04_17_56_29,1341,2013-06-26,349946036145496065,http://twitter.com/SenatorWicker/status/349946036145496065
381080689321336832,6.007894736838233,323,56,81,111,2018-05-04_17_55_05,1246,2013-09-20,381080689321336832,http://twitter.com/SenatorWicker/status/381080689321336832
