,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989872582215323648,6.110256410256152,78,214,21,46,2018-05-01_10_48_00,210,2018-04-26,989872582215323648,http://twitter.com/ShaniaTwain/status/989872582215323648
989915940367290368,6.1144036697222965,218,1463,58,181,2018-05-01_10_46_35,592,2018-04-27,989915940367290368,http://twitter.com/ShaniaTwain/status/989915940367290368
989942260631420928,5.95716517857718,448,991,105,199,2018-05-01_10_45_02,1306,2018-04-27,989942260631420928,http://twitter.com/ShaniaTwain/status/989942260631420928
990225370409504768,6.071137026237407,343,997,80,160,2018-05-01_10_43_31,985,2018-04-28,990225370409504768,http://twitter.com/ShaniaTwain/status/990225370409504768
990266893482180608,6.1775708502025415,247,1007,70,147,2018-05-01_10_42_08,732,2018-04-28,990266893482180608,http://twitter.com/ShaniaTwain/status/990266893482180608
990621736289746945,6.39463203463404,462,1871,108,257,2018-05-01_10_40_40,1231,2018-04-29,990621736289746945,http://twitter.com/ShaniaTwain/status/990621736289746945
990885816133177346,6.273448275861617,261,1815,74,183,2018-05-01_10_39_11,711,2018-04-30,990885816133177346,http://twitter.com/ShaniaTwain/status/990885816133177346
990887328393650176,6.542222222222124,81,618,14,64,2018-05-01_10_37_46,218,2018-04-30,990887328393650176,http://twitter.com/ShaniaTwain/status/990887328393650176
990929337498193921,6.424051522242905,427,1503,103,211,2018-05-01_10_36_26,1158,2018-04-30,990929337498193921,http://twitter.com/ShaniaTwain/status/990929337498193921
990988938792898563,6.40329588014897,267,721,56,145,2018-05-01_10_35_06,747,2018-04-30,990988938792898563,http://twitter.com/ShaniaTwain/status/990988938792898563
987695814222012417,5.992963988915763,361,1822,107,213,2018-05-01_10_59_42,1154,2018-04-21,987695814222012417,http://twitter.com/ShaniaTwain/status/987695814222012417
988069924240175104,5.802000000014592,1015,4332,582,737,2018-05-01_10_58_13,3262,2018-04-22,988069924240175104,http://twitter.com/ShaniaTwain/status/988069924240175104
