,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
914979817690472449,5.9909463722667065,634,396,145,105,2018-05-06_22_02_10,1996,2017-10-02,914979817690472449,http://twitter.com/SteveDaines/status/914979817690472449
917450304760590336,5.755942028986191,345,34,71,26,2018-05-06_22_00_48,1094,2017-10-09,917450304760590336,http://twitter.com/SteveDaines/status/917450304760590336
918972219526696960,5.87680597014608,335,281,97,61,2018-05-06_21_58_57,1198,2017-10-13,918972219526696960,http://twitter.com/SteveDaines/status/918972219526696960
919380481589858305,5.699883177577068,856,708,223,47,2018-05-06_21_57_29,2392,2017-10-14,919380481589858305,http://twitter.com/SteveDaines/status/919380481589858305
911191553460379648,5.7666666666648245,51,340,205,84,2018-05-06_22_09_18,461,2017-09-22,911191553460379648,http://twitter.com/SteveDaines/status/911191553460379648
911655492807745537,5.883265306122503,343,44,66,11,2018-05-06_22_07_50,1090,2017-09-23,911655492807745537,http://twitter.com/SteveDaines/status/911655492807745537
912485817683243010,5.686508875735372,338,38,70,13,2018-05-06_22_06_27,1216,2017-09-25,912485817683243010,http://twitter.com/SteveDaines/status/912485817683243010
912705949768540162,5.379608610568793,511,362,77,97,2018-05-06_22_05_05,1818,2017-09-26,912705949768540162,http://twitter.com/SteveDaines/status/912705949768540162
914818523196686337,5.3997852028627324,419,74,85,24,2018-05-06_22_03_38,1328,2017-10-02,914818523196686337,http://twitter.com/SteveDaines/status/914818523196686337
896405233785614336,5.572680652711881,858,4681,216,1407,2018-05-06_22_16_45,3253,2017-08-12,896405233785614336,http://twitter.com/SteveDaines/status/896405233785614336
896405434285903872,5.4402183406327245,687,532,379,197,2018-05-06_22_15_26,2934,2017-08-12,896405434285903872,http://twitter.com/SteveDaines/status/896405434285903872
896410060859080705,5.286473317895337,862,1339,630,518,2018-05-06_22_13_51,3215,2017-08-12,896410060859080705,http://twitter.com/SteveDaines/status/896410060859080705
903240875496570882,6.012754946746816,657,296926,1.7K,168980,2018-05-06_22_12_16,2414,2017-08-30,903240875496570882,http://twitter.com/SteveDaines/status/903240875496570882
907248297622032384,5.645411877421367,1044,2812,727,735,2018-05-06_22_10_45,3488,2017-09-11,907248297622032384,http://twitter.com/SteveDaines/status/907248297622032384
887719729447698432,5.645978260884543,460,50,106,10,2018-05-06_22_23_59,1696,2017-07-19,887719729447698432,http://twitter.com/SteveDaines/status/887719729447698432
889914136909537280,5.6189202454253655,815,84,170,17,2018-05-06_22_22_32,2525,2017-07-25,889914136909537280,http://twitter.com/SteveDaines/status/889914136909537280
890010058435809281,5.592297570885953,988,52,183,10,2018-05-06_22_21_00,3440,2017-07-25,890010058435809281,http://twitter.com/SteveDaines/status/890010058435809281
890349859537997824,5.9407637231501145,419,151,92,67,2018-05-06_22_19_35,1325,2017-07-26,890349859537997824,http://twitter.com/SteveDaines/status/890349859537997824
890650271470301184,5.674934673407076,995,177,250,104,2018-05-06_22_18_09,3332,2017-07-27,890650271470301184,http://twitter.com/SteveDaines/status/890650271470301184
867776315742703618,5.1790740740839265,594,1974,679,515,2018-05-06_22_31_05,2819,2017-05-25,867776315742703618,http://twitter.com/SteveDaines/status/867776315742703618
873130580355035136,6.142526315788658,190,1392,72,469,2018-05-06_22_29_43,585,2017-06-08,873130580355035136,http://twitter.com/SteveDaines/status/873130580355035136
878683992324788224,5.465134168185707,559,574,675,85,2018-05-06_22_28_18,2069,2017-06-24,878683992324788224,http://twitter.com/SteveDaines/status/878683992324788224
878950122880729088,5.492636203892489,569,12,110,2,2018-05-06_22_26_49,1904,2017-06-25,878950122880729088,http://twitter.com/SteveDaines/status/878950122880729088
880033156182798337,5.465581081101064,740,89,265,25,2018-05-06_22_25_24,2629,2017-06-28,880033156182798337,http://twitter.com/SteveDaines/status/880033156182798337
863180474092371968,6.0607988587859465,701,7374,440,1565,2018-05-06_22_36_44,2397,2017-05-12,863180474092371968,http://twitter.com/SteveDaines/status/863180474092371968
863495792169963520,5.784820766405346,809,14804,1.7K,2676,2018-05-06_22_35_18,2786,2017-05-12,863495792169963520,http://twitter.com/SteveDaines/status/863495792169963520
867449647576608774,5.645922619045581,336,47,121,29,2018-05-06_22_33_56,1362,2017-05-24,867449647576608774,http://twitter.com/SteveDaines/status/867449647576608774
867752083021340673,5.401827242546681,602,258,361,134,2018-05-06_22_32_31,2313,2017-05-25,867752083021340673,http://twitter.com/SteveDaines/status/867752083021340673
862352353533603842,5.858305084755133,413,40,101,10,2018-05-06_22_44_27,1552,2017-05-10,862352353533603842,http://twitter.com/SteveDaines/status/862352353533603842
862493165697347584,5.549198113205635,212,365,74,146,2018-05-06_22_43_01,868,2017-05-10,862493165697347584,http://twitter.com/SteveDaines/status/862493165697347584
862665647427289088,5.4920664206969,813,4272,1.8K,1874,2018-05-06_22_41_29,3334,2017-05-11,862665647427289088,http://twitter.com/SteveDaines/status/862665647427289088
862892316792586240,5.480541455181919,591,3196,198,596,2018-05-06_22_40_03,2049,2017-05-11,862892316792586240,http://twitter.com/SteveDaines/status/862892316792586240
863067222197063683,5.867370441479821,521,2803,255,471,2018-05-06_22_38_38,1788,2017-05-12,863067222197063683,http://twitter.com/SteveDaines/status/863067222197063683
856537548352606209,5.418968749994223,320,830,76,197,2018-05-06_22_51_16,1247,2017-04-24,856537548352606209,http://twitter.com/SteveDaines/status/856537548352606209
857425532602003456,5.51086206896505,348,485,80,173,2018-05-06_22_49_59,1397,2017-04-26,857425532602003456,http://twitter.com/SteveDaines/status/857425532602003456
857630708952686593,5.880601092891703,366,20,92,6,2018-05-06_22_48_37,1322,2017-04-27,857630708952686593,http://twitter.com/SteveDaines/status/857630708952686593
859955786881134592,5.714667949976929,1039,4304,757,839,2018-05-06_22_47_11,2979,2017-05-03,859955786881134592,http://twitter.com/SteveDaines/status/859955786881134592
859955816673226753,5.828894830679972,561,2898,343,517,2018-05-06_22_45_52,1861,2017-05-03,859955816673226753,http://twitter.com/SteveDaines/status/859955816673226753
849270412496207872,5.7716605166025285,271,1319,83,331,2018-05-06_22_58_19,1088,2017-04-04,849270412496207872,http://twitter.com/SteveDaines/status/849270412496207872
850009846514634759,5.474475703331328,391,245,133,94,2018-05-06_22_56_53,1560,2017-04-06,850009846514634759,http://twitter.com/SteveDaines/status/850009846514634759
855611673314549761,5.815934959358912,615,5766,302,2168,2018-05-06_22_55_27,2087,2017-04-21,855611673314549761,http://twitter.com/SteveDaines/status/855611673314549761
855929455675682816,6.151893732979341,734,4964,386,554,2018-05-06_22_54_04,2129,2017-04-22,855929455675682816,http://twitter.com/SteveDaines/status/855929455675682816
856308165998018560,5.91956262426748,503,1698,180,265,2018-05-06_22_52_39,1698,2017-04-23,856308165998018560,http://twitter.com/SteveDaines/status/856308165998018560
838754495647604736,5.541092436985603,476,24,78,16,2018-05-06_23_04_07,1682,2017-03-06,838754495647604736,http://twitter.com/SteveDaines/status/838754495647604736
838790418175246337,5.5410924369856085,476,24,78,16,2018-05-06_23_02_35,1682,2017-03-06,838790418175246337,http://twitter.com/SteveDaines/status/838790418175246337
844734402617856001,5.850157819243232,697,9831,945,2419,2018-05-06_23_01_12,2276,2017-03-21,844734402617856001,http://twitter.com/SteveDaines/status/844734402617856001
845001389604507652,6.1054337899718165,657,16626,567,5884,2018-05-06_22_59_44,2195,2017-03-23,845001389604507652,http://twitter.com/SteveDaines/status/845001389604507652
831282808719020032,5.650040485829142,247,163,97,107,2018-05-06_23_11_48,988,2017-02-13,831282808719020032,http://twitter.com/SteveDaines/status/831282808719020032
832444302450106368,6.009667431223781,872,37692,1.6K,7938,2018-05-06_23_10_17,2843,2017-02-16,832444302450106368,http://twitter.com/SteveDaines/status/832444302450106368
835142836500623360,5.74338888888605,360,17,75,7,2018-05-06_23_08_55,1307,2017-02-24,835142836500623360,http://twitter.com/SteveDaines/status/835142836500623360
836814336534450176,6.4347914317791215,887,56490,1.6K,18461,2018-05-06_23_07_27,2455,2017-02-28,836814336534450176,http://twitter.com/SteveDaines/status/836814336534450176
837100753311277056,6.0299025974030185,308,565,73,182,2018-05-06_23_06_04,875,2017-03-01,837100753311277056,http://twitter.com/SteveDaines/status/837100753311277056
829535698000683008,5.852239130444278,460,157152,25K,31045,2018-05-06_23_18_45,1584,2017-02-08,829535698000683008,http://twitter.com/SteveDaines/status/829535698000683008
829681062959792128,5.792152466366397,223,86,71,13,2018-05-06_23_17_30,790,2017-02-09,829681062959792128,http://twitter.com/SteveDaines/status/829681062959792128
829692247683764224,5.628486055791893,502,821,162,270,2018-05-06_23_16_06,2149,2017-02-09,829692247683764224,http://twitter.com/SteveDaines/status/829692247683764224
829768071824957440,5.899820936658051,726,34546,3.0K,6776,2018-05-06_23_14_43,2313,2017-02-09,829768071824957440,http://twitter.com/SteveDaines/status/829768071824957440
830108575217352706,5.6370231729360425,561,253,290,103,2018-05-06_23_13_13,2259,2017-02-10,830108575217352706,http://twitter.com/SteveDaines/status/830108575217352706
825828957694078977,5.3512556054015645,669,119,183,62,2018-05-06_23_24_45,2413,2017-01-29,825828957694078977,http://twitter.com/SteveDaines/status/825828957694078977
