,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
978793801761267712,6.061400359085313,557,42257,422,9085,2018-04-29_16_22_11,1702,2018-03-27,978793801761267712,http://twitter.com/TheTweetOfGod/status/978793801761267712
979063889642967040,5.9106258890612935,703,21707,365,4733,2018-04-29_16_20_47,2310,2018-03-28,979063889642967040,http://twitter.com/TheTweetOfGod/status/979063889642967040
979551443190349829,6.036770334944086,836,16146,350,3239,2018-04-29_16_19_24,2421,2018-03-29,979551443190349829,http://twitter.com/TheTweetOfGod/status/979551443190349829
979771598738632704,5.692806841056657,994,41529,1.0K,9905,2018-04-29_16_17_59,3182,2018-03-30,979771598738632704,http://twitter.com/TheTweetOfGod/status/979771598738632704
980124871597309953,6.024115308155098,1006,14670,420,3676,2018-04-29_16_16_32,3183,2018-03-31,980124871597309953,http://twitter.com/TheTweetOfGod/status/980124871597309953
980290944309248001,6.052843029650713,911,21338,588,3987,2018-04-29_16_15_08,2901,2018-03-31,980290944309248001,http://twitter.com/TheTweetOfGod/status/980290944309248001
980449473577889792,5.928634538160143,498,20395,334,2828,2018-04-29_16_13_44,1540,2018-04-01,980449473577889792,http://twitter.com/TheTweetOfGod/status/980449473577889792
980911437420769280,6.067409090918693,440,32247,293,6844,2018-04-29_16_12_23,1532,2018-04-02,980911437420769280,http://twitter.com/TheTweetOfGod/status/980911437420769280
980923790254198784,6.233462321798732,491,20199,251,5072,2018-04-29_16_10_55,1817,2018-04-02,980923790254198784,http://twitter.com/TheTweetOfGod/status/980923790254198784
981564460924940293,6.035365853669716,451,13822,125,3351,2018-04-29_16_09_32,1464,2018-04-04,981564460924940293,http://twitter.com/TheTweetOfGod/status/981564460924940293
981941991654043648,6.302519379852222,516,23959,526,6972,2018-04-29_16_08_14,1626,2018-04-05,981941991654043648,http://twitter.com/TheTweetOfGod/status/981941991654043648
982125696741814272,5.946627906995251,602,13346,525,1858,2018-04-29_16_06_50,2394,2018-04-05,982125696741814272,http://twitter.com/TheTweetOfGod/status/982125696741814272
983411273495855104,5.784294117665384,680,23612,430,3889,2018-04-29_16_05_27,2235,2018-04-09,983411273495855104,http://twitter.com/TheTweetOfGod/status/983411273495855104
984197167408541697,5.949059233485923,861,18864,287,3555,2018-04-29_16_03_59,2629,2018-04-11,984197167408541697,http://twitter.com/TheTweetOfGod/status/984197167408541697
984265095441088513,5.797479270331025,603,22846,469,6128,2018-04-29_16_02_38,2007,2018-04-11,984265095441088513,http://twitter.com/TheTweetOfGod/status/984265095441088513
984863529386655744,5.8677626193865775,733,13613,542,2358,2018-04-29_16_01_18,2281,2018-04-13,984863529386655744,http://twitter.com/TheTweetOfGod/status/984863529386655744
984965219469312000,5.6239393939539575,792,21054,285,6828,2018-04-29_15_59_53,2792,2018-04-13,984965219469312000,http://twitter.com/TheTweetOfGod/status/984965219469312000
985916963321884672,5.9912222222412455,630,35273,478,8162,2018-04-29_15_58_29,1958,2018-04-16,985916963321884672,http://twitter.com/TheTweetOfGod/status/985916963321884672
986608931660185605,5.877578125024685,768,35181,1.1K,5485,2018-04-29_15_57_08,2300,2018-04-18,986608931660185605,http://twitter.com/TheTweetOfGod/status/986608931660185605
988116172846514177,6.036320885214381,723,41734,383,13867,2018-04-29_15_55_45,2281,2018-04-22,988116172846514177,http://twitter.com/TheTweetOfGod/status/988116172846514177
988503796518080514,5.636926994914041,589,11591,221,1879,2018-04-29_15_54_22,2036,2018-04-23,988503796518080514,http://twitter.com/TheTweetOfGod/status/988503796518080514
988807646319861760,5.960659133714283,531,11182,178,2567,2018-04-29_15_52_59,1649,2018-04-24,988807646319861760,http://twitter.com/TheTweetOfGod/status/988807646319861760
988982788526292993,5.833028673856044,558,11988,373,6215,2018-04-29_15_51_35,1798,2018-04-24,988982788526292993,http://twitter.com/TheTweetOfGod/status/988982788526292993
989231079201558529,5.9848619957644456,471,13087,364,2564,2018-04-29_15_50_17,1676,2018-04-25,989231079201558529,http://twitter.com/TheTweetOfGod/status/989231079201558529
974370934332129280,6.1498787879151235,660,25805,581,3768,2018-04-29_17_20_13,2026,2018-03-15,974370934332129280,http://twitter.com/TheTweetOfGod/status/974370934332129280
974447682696634368,6.162329411774997,425,31330,554,5191,2018-04-29_17_18_49,1433,2018-03-15,974447682696634368,http://twitter.com/TheTweetOfGod/status/974447682696634368
974665705328005121,5.9213972602759,365,11788,150,2730,2018-04-29_17_17_29,1253,2018-03-16,974665705328005121,http://twitter.com/TheTweetOfGod/status/974665705328005121
974713843166269441,6.082653485958742,961,48473,621,10810,2018-04-29_17_16_06,3372,2018-03-16,974713843166269441,http://twitter.com/TheTweetOfGod/status/974713843166269441
974816867553439744,5.719568874881375,951,38801,507,9619,2018-04-29_17_14_40,3176,2018-03-16,974816867553439744,http://twitter.com/TheTweetOfGod/status/974816867553439744
975360001148530688,6.023267045472647,704,29989,647,4745,2018-04-29_17_13_14,2348,2018-03-18,975360001148530688,http://twitter.com/TheTweetOfGod/status/975360001148530688
