,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
992054364071219206,5.957844559607363,965,10237,1.5K,2827,2018-05-03_15_03_12,3176,2018-05-03,992054364071219206,http://twitter.com/VP/status/992054364071219206
992060505287249925,5.937636103171878,698,1735,347,393,2018-05-03_15_01_50,2321,2018-05-03,992060505287249925,http://twitter.com/VP/status/992060505287249925
992069566623711232,5.938813247483736,1087,4990,793,1256,2018-05-03_15_00_21,3429,2018-05-03,992069566623711232,http://twitter.com/VP/status/992069566623711232
992107457970360320,6.087694994203638,859,12174,3.1K,3294,2018-05-03_14_58_43,2821,2018-05-03,992107457970360320,http://twitter.com/VP/status/992107457970360320
991744760497963013,5.790904872404799,862,55711,4.9K,12457,2018-05-03_15_08_55,3313,2018-05-02,991744760497963013,http://twitter.com/VP/status/991744760497963013
991770555098501120,5.6463636363707455,374,1162,143,252,2018-05-03_15_07_28,1521,2018-05-02,991770555098501120,http://twitter.com/VP/status/991770555098501120
991801862927024128,5.878690851751263,634,4955,191,1137,2018-05-03_15_05_59,2050,2018-05-02,991801862927024128,http://twitter.com/VP/status/991801862927024128
991816383536271360,5.600375757598921,825,2956,252,598,2018-05-03_15_04_35,3111,2018-05-02,991816383536271360,http://twitter.com/VP/status/991816383536271360
991463751743307776,5.877922912223163,467,2068,120,310,2018-05-03_15_15_42,1669,2018-05-01,991463751743307776,http://twitter.com/VP/status/991463751743307776
991489739042840579,5.533199129507039,919,2549,277,447,2018-05-03_15_14_20,3470,2018-05-01,991489739042840579,http://twitter.com/VP/status/991489739042840579
991716023874318341,5.890913242033743,657,2253,134,530,2018-05-03_15_12_27,2293,2018-05-02,991716023874318341,http://twitter.com/VP/status/991716023874318341
991718164361773057,5.813321718963783,861,7246,565,1176,2018-05-03_15_10_56,3059,2018-05-02,991718164361773057,http://twitter.com/VP/status/991718164361773057
991461495706923008,5.644464285714152,280,1903,118,378,2018-05-03_15_22_48,1060,2018-05-01,991461495706923008,http://twitter.com/VP/status/991461495706923008
991462192590589952,5.825615942045102,828,10880,1.3K,2290,2018-05-03_15_21_21,2844,2018-05-01,991462192590589952,http://twitter.com/VP/status/991462192590589952
991462695122726918,5.685123094986558,853,7221,409,1446,2018-05-03_15_19_51,3232,2018-05-01,991462695122726918,http://twitter.com/VP/status/991462695122726918
