,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
917221924689858560,5.853339483404985,542,3881,160,782,2018-05-08_12_19_26,2381,2017-10-08,917221924689858560,http://twitter.com/amyklobuchar/status/917221924689858560
917573214452310016,5.7225868055661255,576,2615,179,1207,2018-05-08_12_17_42,2263,2017-10-09,917573214452310016,http://twitter.com/amyklobuchar/status/917573214452310016
918488811751002113,5.483837209303937,344,399,71,194,2018-05-08_12_16_10,1353,2017-10-12,918488811751002113,http://twitter.com/amyklobuchar/status/918488811751002113
918660824532701184,5.407076923094358,715,1475,169,331,2018-05-08_12_14_44,2838,2017-10-12,918660824532701184,http://twitter.com/amyklobuchar/status/918660824532701184
920698127446892545,5.8640691489422005,376,874,82,160,2018-05-08_12_13_17,1570,2017-10-18,920698127446892545,http://twitter.com/amyklobuchar/status/920698127446892545
920792398589870080,5.996233183855558,223,3891,71,853,2018-05-08_12_11_49,786,2017-10-18,920792398589870080,http://twitter.com/amyklobuchar/status/920792398589870080
911353107203985408,5.944215116275156,344,1694,121,623,2018-05-08_12_28_16,1345,2017-09-22,911353107203985408,http://twitter.com/amyklobuchar/status/911353107203985408
912443498258997248,5.89301388890268,720,3485,157,1086,2018-05-08_12_26_20,2353,2017-09-25,912443498258997248,http://twitter.com/amyklobuchar/status/912443498258997248
912506419139813376,6.2441932367801005,1035,3430,336,662,2018-05-08_12_24_27,3179,2017-09-25,912506419139813376,http://twitter.com/amyklobuchar/status/912506419139813376
912746870073675776,5.603257287733908,789,6164,658,1363,2018-05-08_12_22_41,3084,2017-09-26,912746870073675776,http://twitter.com/amyklobuchar/status/912746870073675776
914835929860329472,5.348025477706234,314,1146,71,129,2018-05-08_12_21_08,996,2017-10-02,914835929860329472,http://twitter.com/amyklobuchar/status/914835929860329472
