,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
990578925087744001,5.5902280130252775,307,152,95,47,2018-04-29_21_59_01,1308,2018-04-29,990578925087744001,http://twitter.com/cnnbrk/status/990578925087744001
990580512254283778,5.769186440676867,295,204,62,60,2018-04-29_21_57_38,1305,2018-04-29,990580512254283778,http://twitter.com/cnnbrk/status/990580512254283778
990581008163590144,5.671605633804039,355,186,128,44,2018-04-29_21_56_11,1444,2018-04-29,990581008163590144,http://twitter.com/cnnbrk/status/990581008163590144
990581997390192640,5.607988505746079,174,807,145,174,2018-04-29_21_54_51,633,2018-04-29,990581997390192640,http://twitter.com/cnnbrk/status/990581997390192640
990583469406392321,5.736969696990659,561,393,157,91,2018-04-29_21_53_25,2111,2018-04-29,990583469406392321,http://twitter.com/cnnbrk/status/990583469406392321
990591317402181632,5.4305131964923214,682,1264,400,368,2018-04-29_21_51_37,3117,2018-04-29,990591317402181632,http://twitter.com/cnnbrk/status/990591317402181632
990631176707637252,5.775741525433504,472,1023,117,787,2018-04-29_21_50_12,1713,2018-04-29,990631176707637252,http://twitter.com/cnnbrk/status/990631176707637252
990648638387957762,5.7140532241843385,977,422,189,140,2018-04-29_21_48_43,3605,2018-04-29,990648638387957762,http://twitter.com/cnnbrk/status/990648638387957762
990664061850406913,5.478991416325497,466,651,141,157,2018-04-29_21_47_17,2056,2018-04-29,990664061850406913,http://twitter.com/cnnbrk/status/990664061850406913
990107939116642305,5.58514326649541,698,438,152,185,2018-04-29_22_12_54,2877,2018-04-27,990107939116642305,http://twitter.com/cnnbrk/status/990107939116642305
990306004087853058,5.024315068497013,438,515,140,154,2018-04-29_22_11_29,1587,2018-04-28,990306004087853058,http://twitter.com/cnnbrk/status/990306004087853058
990308024429490177,5.2644356955392375,381,1546,89,815,2018-04-29_22_10_01,1484,2018-04-28,990308024429490177,http://twitter.com/cnnbrk/status/990308024429490177
990370300146708480,5.633623445838554,563,191,232,41,2018-04-29_22_08_36,2193,2018-04-28,990370300146708480,http://twitter.com/cnnbrk/status/990370300146708480
990372618359406594,5.4580645161290295,62,346,22,171,2018-04-29_22_07_14,188,2018-04-28,990372618359406594,http://twitter.com/cnnbrk/status/990372618359406594
990377183628709891,5.513419354838495,310,277,72,94,2018-04-29_22_05_50,1089,2018-04-28,990377183628709891,http://twitter.com/cnnbrk/status/990377183628709891
990384949978128385,5.8866115702559245,363,308,117,99,2018-04-29_22_04_28,1613,2018-04-28,990384949978128385,http://twitter.com/cnnbrk/status/990384949978128385
990396476072349696,5.639468479622429,809,464,476,161,2018-04-29_22_03_04,3119,2018-04-28,990396476072349696,http://twitter.com/cnnbrk/status/990396476072349696
990408905548288005,5.691792763173928,608,374,202,81,2018-04-29_22_01_46,2424,2018-04-28,990408905548288005,http://twitter.com/cnnbrk/status/990408905548288005
990435344549142537,5.921227336137125,717,4880,445,1287,2018-04-29_22_00_21,2797,2018-04-28,990435344549142537,http://twitter.com/cnnbrk/status/990435344549142537
989879356599209985,5.964725274725147,91,207,33,44,2018-04-29_22_26_56,417,2018-04-27,989879356599209985,http://twitter.com/cnnbrk/status/989879356599209985
989886317642309634,5.448000000000092,35,211,21,133,2018-04-29_22_25_30,160,2018-04-27,989886317642309634,http://twitter.com/cnnbrk/status/989886317642309634
989913185271648257,5.586200873362272,229,942,86,210,2018-04-29_22_24_07,869,2018-04-27,989913185271648257,http://twitter.com/cnnbrk/status/989913185271648257
989933357730582528,5.4721666666692625,600,1312,265,517,2018-04-29_22_22_42,2514,2018-04-27,989933357730582528,http://twitter.com/cnnbrk/status/989933357730582528
989948927918202880,4.90299303946788,862,417,177,434,2018-04-29_22_21_20,2912,2018-04-27,989948927918202880,http://twitter.com/cnnbrk/status/989948927918202880
989976259047419905,5.483890909090013,275,447,87,263,2018-04-29_22_19_58,1205,2018-04-27,989976259047419905,http://twitter.com/cnnbrk/status/989976259047419905
989979226148306944,5.460000000000255,62,199,33,96,2018-04-29_22_18_32,255,2018-04-27,989979226148306944,http://twitter.com/cnnbrk/status/989979226148306944
989984199213043713,5.75222914073463,803,301,197,125,2018-04-29_22_17_07,3145,2018-04-27,989984199213043713,http://twitter.com/cnnbrk/status/989984199213043713
990053217454215173,5.112821473175365,801,394,190,392,2018-04-29_22_15_44,3307,2018-04-27,990053217454215173,http://twitter.com/cnnbrk/status/990053217454215173
990072719466168320,6.0733297414574015,928,2326,169,1271,2018-04-29_22_14_18,3410,2018-04-27,990072719466168320,http://twitter.com/cnnbrk/status/990072719466168320
989706493913071616,5.5538513513510885,148,105,69,81,2018-04-29_22_40_35,620,2018-04-26,989706493913071616,http://twitter.com/cnnbrk/status/989706493913071616
989754694493913090,5.709722222221807,144,426,29,113,2018-04-29_22_39_14,546,2018-04-26,989754694493913090,http://twitter.com/cnnbrk/status/989754694493913090
989793261278715904,5.952873563230883,957,9426,339,4517,2018-04-29_22_37_51,3636,2018-04-27,989793261278715904,http://twitter.com/cnnbrk/status/989793261278715904
989810359300214784,6.222921348311324,267,1037,106,197,2018-04-29_22_36_32,956,2018-04-27,989810359300214784,http://twitter.com/cnnbrk/status/989810359300214784
989825199989252096,5.8924999999980745,168,121,54,51,2018-04-29_22_35_12,699,2018-04-27,989825199989252096,http://twitter.com/cnnbrk/status/989825199989252096
