,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
992016975395217410,6.346559999999855,125,4115,44,847,2018-05-03_12_55_33,348,2018-05-03,992016975395217410,http://twitter.com/iamcardib/status/992016975395217410
992017170602315776,6.396874999999963,32,1591,23,308,2018-05-03_12_54_15,117,2018-05-03,992017170602315776,http://twitter.com/iamcardib/status/992017170602315776
992017309958131712,5.844099722987328,361,18945,153,4694,2018-05-03_12_52_51,1155,2018-05-03,992017309958131712,http://twitter.com/iamcardib/status/992017309958131712
991414563764662272,5.8864016736499565,478,29532,297,6768,2018-05-03_13_02_42,1399,2018-05-01,991414563764662272,http://twitter.com/iamcardib/status/991414563764662272
991489835708944385,6.6335000000000575,40,1191,12,74,2018-05-03_13_01_20,133,2018-05-01,991489835708944385,http://twitter.com/iamcardib/status/991489835708944385
991489962695589888,6.0498039215689365,102,2902,44,156,2018-05-03_12_59_52,345,2018-05-01,991489962695589888,http://twitter.com/iamcardib/status/991489962695589888
991784058114990081,5.979664293002927,983,46678,1.4K,5443,2018-05-03_12_58_26,3099,2018-05-02,991784058114990081,http://twitter.com/iamcardib/status/991784058114990081
991243893571313664,6.2789007782294775,1028,133729,872,20707,2018-05-03_13_09_52,2914,2018-05-01,991243893571313664,http://twitter.com/iamcardib/status/991243893571313664
991259455294763008,6.1542857142857335,28,2551,13,355,2018-05-03_13_08_24,84,2018-05-01,991259455294763008,http://twitter.com/iamcardib/status/991259455294763008
991259795788390400,6.132972972972945,111,3486,39,360,2018-05-03_13_06_59,356,2018-05-01,991259795788390400,http://twitter.com/iamcardib/status/991259795788390400
991270354248192001,6.006398104264081,211,5682,54,1139,2018-05-03_13_05_33,620,2018-05-01,991270354248192001,http://twitter.com/iamcardib/status/991270354248192001
991410915085037568,6.468341880359298,585,16346,148,1008,2018-05-03_13_04_06,1546,2018-05-01,991410915085037568,http://twitter.com/iamcardib/status/991410915085037568
990990079484219392,6.281088435372834,147,1797,74,373,2018-05-03_13_15_16,554,2018-04-30,990990079484219392,http://twitter.com/iamcardib/status/990990079484219392
991237540756803584,5.945454545454482,33,1053,17,114,2018-05-03_13_12_53,105,2018-05-01,991237540756803584,http://twitter.com/iamcardib/status/991237540756803584
991240896464252930,6.102245250454091,579,21384,236,2761,2018-05-03_13_11_23,1789,2018-05-01,991240896464252930,http://twitter.com/iamcardib/status/991240896464252930
990681825835212801,6.0275460122684885,163,4235,73,245,2018-05-03_13_21_30,518,2018-04-29,990681825835212801,http://twitter.com/iamcardib/status/990681825835212801
990689082895405057,6.43081818181625,220,19784,122,3331,2018-05-03_13_20_06,734,2018-04-29,990689082895405057,http://twitter.com/iamcardib/status/990689082895405057
990754378545029126,5.731706586867117,1002,176031,1.3K,31246,2018-05-03_13_18_04,3830,2018-04-29,990754378545029126,http://twitter.com/iamcardib/status/990754378545029126
990983399237091329,6.117676767677194,99,3058,56,372,2018-05-03_13_16_42,283,2018-04-30,990983399237091329,http://twitter.com/iamcardib/status/990983399237091329
990036056316694528,6.533333333333353,51,2202,33,379,2018-05-03_13_28_41,182,2018-04-27,990036056316694528,http://twitter.com/iamcardib/status/990036056316694528
990036087199358977,6.155000000000162,44,1910,19,347,2018-05-03_13_27_21,146,2018-04-27,990036087199358977,http://twitter.com/iamcardib/status/990036087199358977
990371308151214081,5.9882588235422025,425,89711,625,18490,2018-05-03_13_25_53,1475,2018-04-28,990371308151214081,http://twitter.com/iamcardib/status/990371308151214081
990680707533033472,5.949625935168856,802,23964,395,2652,2018-05-03_13_24_19,2744,2018-04-29,990680707533033472,http://twitter.com/iamcardib/status/990680707533033472
990681686437433349,5.612711111110052,225,1489,56,89,2018-05-03_13_22_54,805,2018-04-29,990681686437433349,http://twitter.com/iamcardib/status/990681686437433349
989717540363354113,5.937701863352839,161,8837,65,1922,2018-05-03_13_35_41,667,2018-04-26,989717540363354113,http://twitter.com/iamcardib/status/989717540363354113
989717995260862464,6.484117647058787,34,4120,14,505,2018-05-03_13_34_22,97,2018-04-26,989717995260862464,http://twitter.com/iamcardib/status/989717995260862464
989718018073640961,6.225263157894722,19,1562,10,120,2018-05-03_13_32_56,59,2018-04-26,989718018073640961,http://twitter.com/iamcardib/status/989718018073640961
989789214467211265,6.262307692307751,26,1635,12,237,2018-05-03_13_31_30,140,2018-04-27,989789214467211265,http://twitter.com/iamcardib/status/989789214467211265
989795162900516864,6.198421052631612,38,1644,11,177,2018-05-03_13_30_04,144,2018-04-27,989795162900516864,http://twitter.com/iamcardib/status/989795162900516864
989215129744105473,6.386666666664728,264,26240,170,6072,2018-05-03_13_42_41,911,2018-04-25,989215129744105473,http://twitter.com/iamcardib/status/989215129744105473
989455547933102080,6.1909194313082345,1055,73546,1.1K,5836,2018-05-03_13_41_12,3140,2018-04-26,989455547933102080,http://twitter.com/iamcardib/status/989455547933102080
989461845042855937,6.195693215334921,339,15824,324,1319,2018-05-03_13_39_45,1131,2018-04-26,989461845042855937,http://twitter.com/iamcardib/status/989461845042855937
989606523780268032,6.3703947368378175,228,8181,118,1346,2018-05-03_13_38_25,776,2018-04-26,989606523780268032,http://twitter.com/iamcardib/status/989606523780268032
989638737876287488,6.184166666666704,60,2492,21,379,2018-05-03_13_37_03,171,2018-04-26,989638737876287488,http://twitter.com/iamcardib/status/989638737876287488
989195543359426561,6.240851063829823,47,12231,23,3999,2018-05-03_13_48_48,170,2018-04-25,989195543359426561,http://twitter.com/iamcardib/status/989195543359426561
989205826786209794,6.02563636363617,110,22819,54,5549,2018-05-03_13_46_59,342,2018-04-25,989205826786209794,http://twitter.com/iamcardib/status/989205826786209794
989209446634188800,6.421385281395309,462,6789,173,845,2018-05-03_13_45_28,1444,2018-04-25,989209446634188800,http://twitter.com/iamcardib/status/989209446634188800
989209953675116544,6.356554054053046,148,8696,61,667,2018-05-03_13_44_07,499,2018-04-25,989209953675116544,http://twitter.com/iamcardib/status/989209953675116544
988651367840432129,6.344201680665138,357,85779,692,3787,2018-05-03_13_54_55,1152,2018-04-23,988651367840432129,http://twitter.com/iamcardib/status/988651367840432129
989005074230792192,5.8624999999990415,144,41601,72,13410,2018-05-03_13_53_33,547,2018-04-24,989005074230792192,http://twitter.com/iamcardib/status/989005074230792192
989005094703190016,6.042933333333362,75,3302,21,473,2018-05-03_13_52_09,208,2018-04-24,989005094703190016,http://twitter.com/iamcardib/status/989005094703190016
989195471326535680,5.963333333333304,36,4820,14,1387,2018-05-03_13_50_15,90,2018-04-25,989195471326535680,http://twitter.com/iamcardib/status/989195471326535680
985292172403486720,5.931080827077037,1064,40767,949,8962,2018-05-03_14_02_06,3646,2018-04-14,985292172403486720,http://twitter.com/iamcardib/status/985292172403486720
985293248196329472,6.134141689371448,367,76983,532,10619,2018-05-03_14_00_33,1273,2018-04-14,985293248196329472,http://twitter.com/iamcardib/status/985293248196329472
985293813001289729,6.369597315435745,149,6402,83,548,2018-05-03_13_59_07,503,2018-04-14,985293813001289729,http://twitter.com/iamcardib/status/985293813001289729
985294557175623680,6.285007751961451,645,65053,1.2K,9121,2018-05-03_13_57_44,1791,2018-04-14,985294557175623680,http://twitter.com/iamcardib/status/985294557175623680
988420678515806208,6.319736842105535,76,16004,84,5741,2018-05-03_13_56_18,296,2018-04-23,988420678515806208,http://twitter.com/iamcardib/status/988420678515806208
985244466226212864,6.237428571428717,35,4569,24,412,2018-05-03_14_09_08,156,2018-04-14,985244466226212864,http://twitter.com/iamcardib/status/985244466226212864
985244583511535616,5.816470588235467,51,8490,26,2485,2018-05-03_14_07_39,193,2018-04-14,985244583511535616,http://twitter.com/iamcardib/status/985244583511535616
985244619666472960,5.904333333333473,60,14603,38,5695,2018-05-03_14_06_13,192,2018-04-14,985244619666472960,http://twitter.com/iamcardib/status/985244619666472960
985244650658193408,6.016390532543348,169,2015,23,136,2018-05-03_14_04_53,547,2018-04-14,985244650658193408,http://twitter.com/iamcardib/status/985244650658193408
985244679141654528,5.934153846153753,65,3927,42,656,2018-05-03_14_03_33,285,2018-04-14,985244679141654528,http://twitter.com/iamcardib/status/985244679141654528
985243338814078981,6.106255605383071,446,66360,176,25016,2018-05-03_14_13_32,1335,2018-04-14,985243338814078981,http://twitter.com/iamcardib/status/985243338814078981
985244383527096320,6.041333333333322,30,2512,12,621,2018-05-03_14_11_11,110,2018-04-14,985244383527096320,http://twitter.com/iamcardib/status/985244383527096320
984898949399044096,5.943865199464098,727,132337,1.3K,52847,2018-05-03_14_19_17,2667,2018-04-13,984898949399044096,http://twitter.com/iamcardib/status/984898949399044096
985167183419293696,6.402913043487133,460,110508,837,12373,2018-05-03_14_17_45,1324,2018-04-14,985167183419293696,http://twitter.com/iamcardib/status/985167183419293696
985167460834914305,6.212785571155761,499,12364,227,993,2018-05-03_14_16_22,1556,2018-04-14,985167460834914305,http://twitter.com/iamcardib/status/985167460834914305
985171630124032000,6.21319298245206,285,66568,604,24708,2018-05-03_14_15_02,1116,2018-04-14,985171630124032000,http://twitter.com/iamcardib/status/985171630124032000
984821408260702208,6.015000000000048,40,4979,21,1391,2018-05-03_14_26_56,152,2018-04-13,984821408260702208,http://twitter.com/iamcardib/status/984821408260702208
984822022906658817,6.098487394958003,119,2183,27,321,2018-05-03_14_25_32,444,2018-04-13,984822022906658817,http://twitter.com/iamcardib/status/984822022906658817
984822055005700097,5.6905882352941,17,1809,11,279,2018-05-03_14_24_08,47,2018-04-13,984822055005700097,http://twitter.com/iamcardib/status/984822055005700097
984822331653611520,5.583428571428665,35,2439,17,408,2018-05-03_14_22_48,135,2018-04-13,984822331653611520,http://twitter.com/iamcardib/status/984822331653611520
984829655491297280,6.045720524032197,687,97138,905,18717,2018-05-03_14_21_17,2202,2018-04-13,984829655491297280,http://twitter.com/iamcardib/status/984829655491297280
984818765815627777,6.30800915332212,437,3059,458,281,2018-05-03_14_32_18,1395,2018-04-13,984818765815627777,http://twitter.com/iamcardib/status/984818765815627777
984818892391366656,6.0979661016943005,177,8983,76,824,2018-05-03_14_30_57,538,2018-04-13,984818892391366656,http://twitter.com/iamcardib/status/984818892391366656
984819014214955008,5.978604651162804,43,4188,12,982,2018-05-03_14_29_39,154,2018-04-13,984819014214955008,http://twitter.com/iamcardib/status/984819014214955008
984821171563593728,6.491612903225789,31,3368,27,362,2018-05-03_14_28_19,115,2018-04-13,984821171563593728,http://twitter.com/iamcardib/status/984821171563593728
984665833434578945,6.108888888889007,54,2862,18,634,2018-05-03_14_39_42,167,2018-04-12,984665833434578945,http://twitter.com/iamcardib/status/984665833434578945
984665911255642112,5.627837837837857,74,4561,19,767,2018-05-03_14_38_19,231,2018-04-12,984665911255642112,http://twitter.com/iamcardib/status/984665911255642112
984666059088134144,5.780776699029088,103,1603,17,137,2018-05-03_14_37_01,309,2018-04-12,984666059088134144,http://twitter.com/iamcardib/status/984666059088134144
984818428430069760,5.973550420177737,476,15870,162,3814,2018-05-03_14_35_38,1589,2018-04-13,984818428430069760,http://twitter.com/iamcardib/status/984818428430069760
984818569123786754,5.798888888888893,18,2813,20,377,2018-05-03_14_34_17,73,2018-04-13,984818569123786754,http://twitter.com/iamcardib/status/984818569123786754
984620681584246784,6.429999999999968,16,1300,10,164,2018-05-03_14_46_41,53,2018-04-12,984620681584246784,http://twitter.com/iamcardib/status/984620681584246784
984664949027815424,6.464200000000094,50,6852,29,1551,2018-05-03_14_45_21,143,2018-04-12,984664949027815424,http://twitter.com/iamcardib/status/984664949027815424
984665464407179264,6.100888888889,45,5341,25,1591,2018-05-03_14_43_59,133,2018-04-12,984665464407179264,http://twitter.com/iamcardib/status/984665464407179264
984665536746278914,5.828124999999957,32,1604,12,280,2018-05-03_14_42_33,132,2018-04-12,984665536746278914,http://twitter.com/iamcardib/status/984665536746278914
984665696603783168,5.9558823529412654,34,1083,12,113,2018-05-03_14_41_08,112,2018-04-12,984665696603783168,http://twitter.com/iamcardib/status/984665696603783168
984620276984918016,5.850344827586178,29,1027,13,103,2018-05-03_14_53_58,83,2018-04-12,984620276984918016,http://twitter.com/iamcardib/status/984620276984918016
984620320433717250,5.670508474576286,59,9438,24,2895,2018-05-03_14_52_33,173,2018-04-12,984620320433717250,http://twitter.com/iamcardib/status/984620320433717250
984620351551188992,6.3259574468086175,47,3561,14,1357,2018-05-03_14_51_06,132,2018-04-12,984620351551188992,http://twitter.com/iamcardib/status/984620351551188992
984620362473160704,5.527306629853463,724,934,163,109,2018-05-03_14_49_31,2406,2018-04-12,984620362473160704,http://twitter.com/iamcardib/status/984620362473160704
984620390172409856,6.236000000000093,45,7740,15,2986,2018-05-03_14_48_07,209,2018-04-12,984620390172409856,http://twitter.com/iamcardib/status/984620390172409856
984587142646063106,5.419230769230781,39,1753,22,659,2018-05-03_15_00_17,107,2018-04-12,984587142646063106,http://twitter.com/iamcardib/status/984587142646063106
984587167413354496,5.674117647058839,34,944,12,145,2018-05-03_14_58_24,89,2018-04-12,984587167413354496,http://twitter.com/iamcardib/status/984587167413354496
984587266193412096,6.287428571428788,35,1218,14,219,2018-05-03_14_57_00,162,2018-04-12,984587266193412096,http://twitter.com/iamcardib/status/984587266193412096
984587411727384576,6.289230769231086,78,4157,30,1067,2018-05-03_14_55_31,255,2018-04-12,984587411727384576,http://twitter.com/iamcardib/status/984587411727384576
