,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989871611812761601,6.610490196076336,204,1027,62,119,2018-05-03_10_21_42,575,2018-04-27,989871611812761601,http://twitter.com/jimmyfallon/status/989871611812761601
989888881993699328,6.3948594377511165,249,1256,59,111,2018-05-03_10_20_20,769,2018-04-27,989888881993699328,http://twitter.com/jimmyfallon/status/989888881993699328
990306941661515776,6.716818181818397,154,3483,52,138,2018-05-03_10_19_00,354,2018-04-28,990306941661515776,http://twitter.com/jimmyfallon/status/990306941661515776
990938868915625990,6.2250089766874614,557,1454,151,181,2018-05-03_10_17_39,1696,2018-04-30,990938868915625990,http://twitter.com/jimmyfallon/status/990938868915625990
990965161153384448,6.007757575755463,165,984,71,114,2018-05-03_10_16_21,576,2018-04-29,990965161153384448,http://twitter.com/jimmyfallon/status/990965161153384448
989585648641347584,6.563626943003397,193,2610,76,232,2018-05-03_10_28_34,554,2018-04-26,989585648641347584,http://twitter.com/jimmyfallon/status/989585648641347584
989691089719357440,6.304015151513772,264,2055,96,194,2018-05-03_10_27_11,782,2018-04-26,989691089719357440,http://twitter.com/jimmyfallon/status/989691089719357440
989717881200959489,6.304015151513772,264,2055,96,194,2018-05-03_10_25_52,782,2018-04-26,989717881200959489,http://twitter.com/jimmyfallon/status/989717881200959489
989827859337408512,6.7142424242428485,132,1494,45,118,2018-05-03_10_24_31,398,2018-04-27,989827859337408512,http://twitter.com/jimmyfallon/status/989827859337408512
989828366659391488,6.653333333333467,81,923,30,68,2018-05-03_10_23_03,227,2018-04-27,989828366659391488,http://twitter.com/jimmyfallon/status/989828366659391488
989476395045851136,6.1542578124987495,256,1354,106,245,2018-05-03_10_35_17,950,2018-04-26,989476395045851136,http://twitter.com/jimmyfallon/status/989476395045851136
989483990615805952,6.216171003715291,269,1471,92,118,2018-05-03_10_33_57,996,2018-04-26,989483990615805952,http://twitter.com/jimmyfallon/status/989483990615805952
989499478251106306,6.206871508378956,179,912,51,84,2018-05-03_10_32_32,483,2018-04-26,989499478251106306,http://twitter.com/jimmyfallon/status/989499478251106306
989584863169785856,6.5181818181817786,33,777,21,57,2018-05-03_10_31_10,83,2018-04-26,989584863169785856,http://twitter.com/jimmyfallon/status/989584863169785856
989585241793810432,6.443896103895978,77,765,19,69,2018-05-03_10_29_54,195,2018-04-26,989585241793810432,http://twitter.com/jimmyfallon/status/989585241793810432
989364977873154048,5.987857142857147,28,335,16,35,2018-05-03_10_42_12,137,2018-04-25,989364977873154048,http://twitter.com/jimmyfallon/status/989364977873154048
989367933146157057,6.260493827160626,81,661,40,66,2018-05-03_10_40_49,244,2018-04-25,989367933146157057,http://twitter.com/jimmyfallon/status/989367933146157057
989368526321455104,6.3398620689652345,145,987,72,92,2018-05-03_10_39_25,493,2018-04-25,989368526321455104,http://twitter.com/jimmyfallon/status/989368526321455104
989369391233077248,6.4726249999982155,160,838,49,80,2018-05-03_10_38_02,497,2018-04-25,989369391233077248,http://twitter.com/jimmyfallon/status/989369391233077248
989375899178061827,6.2947131147525965,244,1487,54,110,2018-05-03_10_36_38,755,2018-04-25,989375899178061827,http://twitter.com/jimmyfallon/status/989375899178061827
989363586735763456,5.791538461538549,26,601,23,57,2018-05-03_10_47_16,137,2018-04-25,989363586735763456,http://twitter.com/jimmyfallon/status/989363586735763456
989363763806638081,6.243214285714371,56,699,23,61,2018-05-03_10_45_56,219,2018-04-25,989363763806638081,http://twitter.com/jimmyfallon/status/989363763806638081
989363870664937473,5.803703703703843,54,717,25,58,2018-05-03_10_44_04,190,2018-04-25,989363870664937473,http://twitter.com/jimmyfallon/status/989363870664937473
989361123144159235,5.29767441860484,43,543,31,49,2018-05-03_10_54_12,240,2018-04-25,989361123144159235,http://twitter.com/jimmyfallon/status/989361123144159235
989361167213776896,5.724100719424302,139,1177,79,90,2018-05-03_10_52_47,547,2018-04-25,989361167213776896,http://twitter.com/jimmyfallon/status/989361167213776896
989361348890021889,5.7023870967709325,155,760,98,80,2018-05-03_10_51_26,672,2018-04-25,989361348890021889,http://twitter.com/jimmyfallon/status/989361348890021889
989361862813913089,5.7023870967709325,155,760,98,80,2018-05-03_10_50_04,672,2018-04-25,989361862813913089,http://twitter.com/jimmyfallon/status/989361862813913089
989362533365702656,6.474515151514133,330,1097,70,103,2018-05-03_10_48_38,809,2018-04-25,989362533365702656,http://twitter.com/jimmyfallon/status/989362533365702656
989359221367066624,5.1836363636363085,11,448,15,53,2018-05-03_11_01_01,72,2018-04-25,989359221367066624,http://twitter.com/jimmyfallon/status/989359221367066624
989359443346382849,5.5881578947366926,76,629,66,77,2018-05-03_10_59_38,273,2018-04-25,989359443346382849,http://twitter.com/jimmyfallon/status/989359443346382849
989360039889723393,5.809753086419945,81,769,60,74,2018-05-03_10_58_16,401,2018-04-25,989360039889723393,http://twitter.com/jimmyfallon/status/989360039889723393
989360348011683841,6.2384615384616975,39,681,37,81,2018-05-03_10_56_52,161,2018-04-25,989360348011683841,http://twitter.com/jimmyfallon/status/989360348011683841
989360772739461120,5.747288135593071,59,644,50,63,2018-05-03_10_55_31,254,2018-04-25,989360772739461120,http://twitter.com/jimmyfallon/status/989360772739461120
989355596855029760,6.341499999998541,160,724,69,73,2018-05-03_11_07_42,567,2018-04-25,989355596855029760,http://twitter.com/jimmyfallon/status/989355596855029760
989355837155151873,6.252333333333253,60,685,29,87,2018-05-03_11_06_22,173,2018-04-25,989355837155151873,http://twitter.com/jimmyfallon/status/989355837155151873
989356744425000960,6.067007299269807,137,939,56,120,2018-05-03_11_04_59,422,2018-04-25,989356744425000960,http://twitter.com/jimmyfallon/status/989356744425000960
989357172705374208,6.3509345794398,107,1030,64,87,2018-05-03_11_03_43,309,2018-04-25,989357172705374208,http://twitter.com/jimmyfallon/status/989357172705374208
989358295214325760,6.689230769230822,104,2669,58,915,2018-05-03_11_02_20,327,2018-04-25,989358295214325760,http://twitter.com/jimmyfallon/status/989358295214325760
989352663975432192,6.423174603174451,63,570,22,53,2018-05-03_11_13_30,175,2018-04-25,989352663975432192,http://twitter.com/jimmyfallon/status/989352663975432192
989353121192308736,6.076964285714435,56,514,27,40,2018-05-03_11_12_09,148,2018-04-25,989353121192308736,http://twitter.com/jimmyfallon/status/989353121192308736
989353398670692357,5.584242424242218,66,806,41,64,2018-05-03_11_10_54,227,2018-04-25,989353398670692357,http://twitter.com/jimmyfallon/status/989353398670692357
989354039061155840,6.4338888888893075,108,741,54,71,2018-05-03_11_09_04,336,2018-04-25,989354039061155840,http://twitter.com/jimmyfallon/status/989354039061155840
989350716681736192,6.050921985815097,141,555,55,53,2018-05-03_11_17_35,483,2018-04-25,989350716681736192,http://twitter.com/jimmyfallon/status/989350716681736192
989351048459546624,6.362888888915808,540,1837,193,128,2018-05-03_11_16_12,1558,2018-04-25,989351048459546624,http://twitter.com/jimmyfallon/status/989351048459546624
989351523904839680,6.437588652481067,141,1236,55,126,2018-05-03_11_14_53,413,2018-04-25,989351523904839680,http://twitter.com/jimmyfallon/status/989351523904839680
989348417267818496,6.374716981131978,53,994,45,88,2018-05-03_11_25_13,158,2018-04-25,989348417267818496,http://twitter.com/jimmyfallon/status/989348417267818496
989348646150922240,6.053636363636474,44,703,30,64,2018-05-03_11_23_55,167,2018-04-25,989348646150922240,http://twitter.com/jimmyfallon/status/989348646150922240
989349006546481152,6.260310559004425,161,1975,62,205,2018-05-03_11_22_34,546,2018-04-25,989349006546481152,http://twitter.com/jimmyfallon/status/989349006546481152
989349234452418565,5.969454545454456,55,3539,48,492,2018-05-03_11_21_10,216,2018-04-25,989349234452418565,http://twitter.com/jimmyfallon/status/989349234452418565
989349327540768769,6.242516556291586,151,2792,80,280,2018-05-03_11_19_49,445,2018-04-25,989349327540768769,http://twitter.com/jimmyfallon/status/989349327540768769
989343840896249856,6.504713375795577,157,546,37,52,2018-05-03_11_31_04,411,2018-04-25,989343840896249856,http://twitter.com/jimmyfallon/status/989343840896249856
989345176895344641,6.168229885067983,435,10750,203,1953,2018-05-03_11_29_43,1550,2018-04-25,989345176895344641,http://twitter.com/jimmyfallon/status/989345176895344641
989346074325340166,5.969454545454456,55,3539,48,492,2018-05-03_11_27_56,216,2018-04-25,989346074325340166,http://twitter.com/jimmyfallon/status/989346074325340166
989347748599263232,6.36829850745906,335,1581,116,121,2018-05-03_11_26_36,1015,2018-04-25,989347748599263232,http://twitter.com/jimmyfallon/status/989347748599263232
989331327102214144,6.097956989245661,186,1482,87,179,2018-05-03_11_36_57,744,2018-04-25,989331327102214144,http://twitter.com/jimmyfallon/status/989331327102214144
989333891633811456,6.145981308411407,107,828,48,135,2018-05-03_11_35_33,399,2018-04-25,989333891633811456,http://twitter.com/jimmyfallon/status/989333891633811456
989342510597263360,6.2384210526319075,95,795,42,70,2018-05-03_11_34_12,296,2018-04-25,989342510597263360,http://twitter.com/jimmyfallon/status/989342510597263360
989343029269065728,6.31155405405305,148,1141,56,105,2018-05-03_11_32_23,510,2018-04-25,989343029269065728,http://twitter.com/jimmyfallon/status/989343029269065728
989247711638687749,6.260310559004425,161,1975,62,205,2018-05-03_11_43_38,546,2018-04-25,989247711638687749,http://twitter.com/jimmyfallon/status/989247711638687749
989313785738465282,6.097956989245661,186,1482,87,179,2018-05-03_11_42_20,744,2018-04-25,989313785738465282,http://twitter.com/jimmyfallon/status/989313785738465282
989323705955299328,5.863766233766505,154,1015,39,107,2018-05-03_11_41_02,460,2018-04-25,989323705955299328,http://twitter.com/jimmyfallon/status/989323705955299328
989326018279280640,6.201923076923713,104,1788,34,124,2018-05-03_11_39_40,280,2018-04-25,989326018279280640,http://twitter.com/jimmyfallon/status/989326018279280640
989326277613096962,5.965902777777214,144,1024,58,89,2018-05-03_11_38_22,457,2018-04-25,989326277613096962,http://twitter.com/jimmyfallon/status/989326277613096962
989168846031474688,6.0225170068028016,147,3980,88,539,2018-05-03_11_49_29,419,2018-04-25,989168846031474688,http://twitter.com/jimmyfallon/status/989168846031474688
989171892702638080,6.743963963963993,111,803,38,76,2018-05-03_11_48_09,262,2018-04-25,989171892702638080,http://twitter.com/jimmyfallon/status/989171892702638080
989172664555261953,6.343859649122244,114,3585,55,274,2018-05-03_11_46_49,450,2018-04-25,989172664555261953,http://twitter.com/jimmyfallon/status/989172664555261953
989200903310856198,6.3643317972349065,217,913,51,87,2018-05-03_11_45_27,701,2018-04-25,989200903310856198,http://twitter.com/jimmyfallon/status/989200903310856198
989113083032256512,6.4028820960884225,458,29012,640,6510,2018-05-03_11_55_24,1472,2018-04-25,989113083032256512,http://twitter.com/jimmyfallon/status/989113083032256512
989123725302943744,6.262214611882516,438,23941,301,6211,2018-05-03_11_53_55,1361,2018-04-25,989123725302943744,http://twitter.com/jimmyfallon/status/989123725302943744
989151808101765120,6.563255813953763,86,1727,52,74,2018-05-03_11_52_37,260,2018-04-25,989151808101765120,http://twitter.com/jimmyfallon/status/989151808101765120
989153389530505216,6.27692307692302,26,4714,30,901,2018-05-03_11_51_16,79,2018-04-25,989153389530505216,http://twitter.com/jimmyfallon/status/989153389530505216
989102069335379968,6.084497816591764,229,1651,103,114,2018-05-03_11_56_45,792,2018-04-25,989102069335379968,http://twitter.com/jimmyfallon/status/989102069335379968
988884981643644928,6.08910979227553,1011,2771,2.1K,240,2018-05-03_12_05_56,3828,2018-04-24,988884981643644928,http://twitter.com/jimmyfallon/status/988884981643644928
988885249047384066,6.076952022557714,1063,5909,380,560,2018-05-03_12_04_22,4100,2018-04-24,988885249047384066,http://twitter.com/jimmyfallon/status/988885249047384066
988965734981230592,6.401405405403493,185,1643,61,156,2018-05-03_12_03_03,504,2018-04-24,988965734981230592,http://twitter.com/jimmyfallon/status/988965734981230592
988975323709607936,6.401405405403493,185,1643,61,156,2018-05-03_12_01_37,504,2018-04-24,988975323709607936,http://twitter.com/jimmyfallon/status/988975323709607936
988979294381756416,6.254623287669048,292,3479,120,355,2018-05-03_12_00_11,915,2018-04-24,988979294381756416,http://twitter.com/jimmyfallon/status/988979294381756416
988261128533835777,6.236594360094812,461,4869,172,284,2018-05-03_12_13_01,1346,2018-04-22,988261128533835777,http://twitter.com/jimmyfallon/status/988261128533835777
988388737628426240,6.437146464639524,396,1728,107,155,2018-05-03_12_11_40,1072,2018-04-23,988388737628426240,http://twitter.com/jimmyfallon/status/988388737628426240
988752861873037312,6.611111111111052,99,1721,40,371,2018-05-03_12_10_15,241,2018-04-24,988752861873037312,http://twitter.com/jimmyfallon/status/988752861873037312
988770029717151744,6.443066666667309,150,956,55,88,2018-05-03_12_08_49,393,2018-04-24,988770029717151744,http://twitter.com/jimmyfallon/status/988770029717151744
988775631667200000,6.582222222222223,27,327,10,37,2018-05-03_12_07_26,92,2018-04-24,988775631667200000,http://twitter.com/jimmyfallon/status/988775631667200000
