,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
988797264528228352,6.042445759,507,125110,1.2K,16169,2018-04-27_14_05_45,1979,4/24/18,988797264528228352,http://twitter.com/kanyewest/status/988797264528228352
988797967908855809,6.489104478,469,59122,259,5739,2018-04-27_14_04_12,1400,4/24/18,988797967908855809,http://twitter.com/kanyewest/status/988797967908855809
988798056798670851,5.777674731,744,147000,1.7K,51175,2018-04-27_14_02_37,2386,4/24/18,988798056798670851,http://twitter.com/kanyewest/status/988798056798670851
988813591582134272,6.0452741020000005,529,185695,1.3K,53230,2018-04-27_14_01_05,1762,4/24/18,988813591582134272,http://twitter.com/kanyewest/status/988813591582134272
988984329295441921,5.8881893,486,156078,3.7K,35971,2018-04-27_13_59_32,1906,4/24/18,988984329295441921,http://twitter.com/kanyewest/status/988984329295441921
988989883849961472,6.180960549,583,122448,1.3K,50036,2018-04-27_13_57_58,1839,4/24/18,988989883849961472,http://twitter.com/kanyewest/status/988989883849961472
989135828122152960,6.001843318,434,120498,1.3K,28293,2018-04-27_13_56_22,1677,4/25/18,989135828122152960,http://twitter.com/kanyewest/status/989135828122152960
989142253468708864,6.011782946,516,210757,3.8K,45933,2018-04-27_13_54_51,1868,4/25/18,989142253468708864,http://twitter.com/kanyewest/status/989142253468708864
989142351321874432,6.013735499,431,52103,690,7507,2018-04-27_13_53_13,1638,4/25/18,989142351321874432,http://twitter.com/kanyewest/status/989142351321874432
989150208595406849,5.936182432000001,592,26658,507,3080,2018-04-27_13_51_32,2197,4/25/18,989150208595406849,http://twitter.com/kanyewest/status/989150208595406849
989150253185052674,6.27718254,504,66784,4.5K,8559,2018-04-27_13_50_02,1861,4/25/18,989150253185052674,http://twitter.com/kanyewest/status/989150253185052674
989151098324697088,5.8861294420000005,788,82685,4.0K,16444,2018-04-27_13_48_25,2741,4/25/18,989151098324697088,http://twitter.com/kanyewest/status/989151098324697088
989151925080752129,5.978282312999999,588,52045,1.3K,7551,2018-04-27_13_46_49,2469,4/25/18,989151925080752129,http://twitter.com/kanyewest/status/989151925080752129
989151947218345987,6.129974425,391,24960,364,3492,2018-04-27_13_45_14,1623,4/25/18,989151947218345987,http://twitter.com/kanyewest/status/989151947218345987
989152533259022337,5.858211679,548,34463,1.1K,7152,2018-04-27_13_43_37,1806,4/25/18,989152533259022337,http://twitter.com/kanyewest/status/989152533259022337
989152639031001088,5.94887931,348,29568,278,5597,2018-04-27_13_42_02,1132,4/25/18,989152639031001088,http://twitter.com/kanyewest/status/989152639031001088
989153474242752515,5.903923182000001,729,46296,1.0K,8066,2018-04-27_13_40_29,2757,4/25/18,989153474242752515,http://twitter.com/kanyewest/status/989153474242752515
989153539015434241,5.969318182,484,81628,832,15546,2018-04-27_13_38_50,1828,4/25/18,989153539015434241,http://twitter.com/kanyewest/status/989153539015434241
989153701095915522,6.06829912,341,51237,545,11669,2018-04-27_13_37_13,1217,4/25/18,989153701095915522,http://twitter.com/kanyewest/status/989153701095915522
989154809398706177,5.9572267210000005,494,38044,378,6771,2018-04-27_13_35_38,1762,4/25/18,989154809398706177,http://twitter.com/kanyewest/status/989154809398706177
989154899140096000,6.1078947370000005,418,24038,531,4590,2018-04-27_13_34_02,1455,4/25/18,989154899140096000,http://twitter.com/kanyewest/status/989154899140096000
989155921048756224,6.007514793,507,95198,678,9760,2018-04-27_13_32_32,1697,4/25/18,989155921048756224,http://twitter.com/kanyewest/status/989155921048756224
989157843214286848,5.980660714,560,32313,530,6140,2018-04-27_13_30_57,2140,4/25/18,989157843214286848,http://twitter.com/kanyewest/status/989157843214286848
989158083203973120,5.842774674,537,29720,418,5827,2018-04-27_13_29_23,1903,4/25/18,989158083203973120,http://twitter.com/kanyewest/status/989158083203973120
