Unnamed: 0,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
983596407801065472,6.14501930501612,259,5201,130,636,2018-04-29_17_28_56,1020,2018-04-09,983596407801065472,http://twitter.com/katyperry/status/983596407801065472
983597143628832768,6.042214611889089,876,5307,249,709,2018-04-29_17_27_32,2885,2018-04-09,983597143628832768,http://twitter.com/katyperry/status/983597143628832768
983627056180224000,6.073302373597162,969,47929,1.4K,14946,2018-04-29_17_26_05,3133,2018-04-10,983627056180224000,http://twitter.com/katyperry/status/983627056180224000
984426237878648837,6.465981012652228,316,17194,616,3120,2018-04-29_17_24_42,1049,2018-04-12,984426237878648837,http://twitter.com/katyperry/status/984426237878648837
984508566135439360,6.364447513811027,362,11646,433,1379,2018-04-29_17_23_15,1289,2018-04-12,984508566135439360,http://twitter.com/katyperry/status/984508566135439360
985405059273035776,6.351358234317044,589,11483,486,1461,2018-04-29_17_21_49,1794,2018-04-14,985405059273035776,http://twitter.com/katyperry/status/985405059273035776
985663644200452096,6.426775510217335,490,15087,592,1710,2018-04-29_17_20_25,1449,2018-04-15,985663644200452096,http://twitter.com/katyperry/status/985663644200452096
986028650607734784,6.1627930535681426,691,10718,566,1555,2018-04-29_17_19_04,2161,2018-04-16,986028650607734784,http://twitter.com/katyperry/status/986028650607734784
986462874372472832,6.3421473684316005,475,11184,370,1509,2018-04-29_17_17_43,1350,2018-04-17,986462874372472832,http://twitter.com/katyperry/status/986462874372472832
986498789128060929,6.264293628832575,722,9340,500,1117,2018-04-29_17_16_13,2458,2018-04-17,986498789128060929,http://twitter.com/katyperry/status/986498789128060929
986634529187086337,6.3980382775143925,418,8394,510,1943,2018-04-29_17_14_17,1280,2018-04-18,986634529187086337,http://twitter.com/katyperry/status/986634529187086337
986774482575507456,6.318825688092357,545,9088,347,1099,2018-04-29_17_12_57,1840,2018-04-18,986774482575507456,http://twitter.com/katyperry/status/986774482575507456
987493497866338304,6.535638766533491,454,9914,435,1835,2018-04-29_17_11_06,1541,2018-04-20,987493497866338304,http://twitter.com/katyperry/status/987493497866338304
988200622661947393,6.361053719020277,484,24064,688,4626,2018-04-29_17_09_42,1533,2018-04-22,988200622661947393,http://twitter.com/katyperry/status/988200622661947393
988206218127659008,6.321182795710571,465,7738,288,1062,2018-04-29_17_08_16,1468,2018-04-22,988206218127659008,http://twitter.com/katyperry/status/988206218127659008
988250662033997825,6.278545454552457,440,11519,403,1450,2018-04-29_17_06_48,1353,2018-04-22,988250662033997825,http://twitter.com/katyperry/status/988250662033997825
988295211515166720,6.376033057871269,484,5550,220,745,2018-04-29_17_05_20,1602,2018-04-22,988295211515166720,http://twitter.com/katyperry/status/988295211515166720
988573905928388608,6.0108549618500255,655,9409,539,990,2018-04-29_17_03_59,2160,2018-04-23,988573905928388608,http://twitter.com/katyperry/status/988573905928388608
988581400696647681,6.042054794541112,657,7161,242,893,2018-04-29_17_02_35,1937,2018-04-23,988581400696647681,http://twitter.com/katyperry/status/988581400696647681
988668531846729728,6.130614657226639,846,13241,556,1843,2018-04-29_17_01_08,2746,2018-04-23,988668531846729728,http://twitter.com/katyperry/status/988668531846729728
989568454737903616,6.430140186921142,428,38787,1.3K,9599,2018-04-29_16_59_48,1323,2018-04-26,989568454737903616,http://twitter.com/katyperry/status/989568454737903616
989581440244314113,6.365295508284035,423,6524,324,820,2018-04-29_16_58_21,1443,2018-04-26,989581440244314113,http://twitter.com/katyperry/status/989581440244314113
989896037195173888,6.337844311391909,501,7125,327,1091,2018-04-29_16_56_56,1591,2018-04-27,989896037195173888,http://twitter.com/katyperry/status/989896037195173888
981013414708355072,6.109270516713116,329,5489,161,663,2018-04-29_18_03_36,1149,2018-04-02,981013414708355072,http://twitter.com/katyperry/status/981013414708355072
981013900115116032,6.4885430463575435,151,2825,97,386,2018-04-29_18_02_12,401,2018-04-02,981013900115116032,http://twitter.com/katyperry/status/981013900115116032
981014422175891457,6.523061224489745,49,341,27,71,2018-04-29_18_00_53,167,2018-04-02,981014422175891457,http://twitter.com/katyperry/status/981014422175891457
981017510945308672,6.067878787875438,330,4421,194,599,2018-04-29_17_59_27,1098,2018-04-02,981017510945308672,http://twitter.com/katyperry/status/981017510945308672
981018733748486144,6.2877049180323805,122,3632,85,437,2018-04-29_17_58_09,435,2018-04-02,981018733748486144,http://twitter.com/katyperry/status/981018733748486144
981018933523202048,6.249090909090941,88,2783,41,367,2018-04-29_17_56_45,249,2018-04-02,981018933523202048,http://twitter.com/katyperry/status/981018933523202048
981019025747537920,6.426548672566117,113,3308,68,448,2018-04-29_17_55_24,338,2018-04-02,981019025747537920,http://twitter.com/katyperry/status/981019025747537920
981019963711397889,6.335246913578877,162,4072,108,543,2018-04-29_17_54_00,552,2018-04-02,981019963711397889,http://twitter.com/katyperry/status/981019963711397889
981022196515532800,6.549519230769478,104,3394,74,429,2018-04-29_17_52_36,322,2018-04-02,981022196515532800,http://twitter.com/katyperry/status/981022196515532800
981023525799526407,6.225099009898603,202,3294,73,418,2018-04-29_17_51_15,618,2018-04-02,981023525799526407,http://twitter.com/katyperry/status/981023525799526407
981025372740321281,6.250735294117177,136,3376,74,423,2018-04-29_17_49_51,419,2018-04-02,981025372740321281,http://twitter.com/katyperry/status/981025372740321281
981025878724374528,6.532274143294319,321,6215,212,659,2018-04-29_17_48_26,974,2018-04-02,981025878724374528,http://twitter.com/katyperry/status/981025878724374528
981028725146832896,6.441883116883013,154,3581,86,456,2018-04-29_17_47_05,451,2018-04-02,981028725146832896,http://twitter.com/katyperry/status/981028725146832896
981031477142994944,6.396640625000117,128,3721,80,446,2018-04-29_17_45_43,400,2018-04-02,981031477142994944,http://twitter.com/katyperry/status/981031477142994944
981031673566384128,6.2350163934405884,305,4451,147,508,2018-04-29_17_44_24,950,2018-04-02,981031673566384128,http://twitter.com/katyperry/status/981031673566384128
981482218584338433,6.354807692326458,624,19224,761,2122,2018-04-29_17_43_01,1777,2018-04-04,981482218584338433,http://twitter.com/katyperry/status/981482218584338433
981686605285965824,6.494576271188342,413,10419,335,1766,2018-04-29_17_41_41,1265,2018-04-04,981686605285965824,http://twitter.com/katyperry/status/981686605285965824
982333274755223552,6.694372990348128,311,6999,259,901,2018-04-29_17_40_16,1042,2018-04-06,982333274755223552,http://twitter.com/katyperry/status/982333274755223552
982466578649198593,6.4801684210665655,475,9078,323,914,2018-04-29_17_38_53,1418,2018-04-06,982466578649198593,http://twitter.com/katyperry/status/982466578649198593
982469734187741186,6.343005893931696,509,6177,331,895,2018-04-29_17_37_27,1604,2018-04-06,982469734187741186,http://twitter.com/katyperry/status/982469734187741186
