,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989203475224346626,6.642624584716125,301,6514,145,2318,2018-05-03_10_25_42,908,2018-04-25,989203475224346626,http://twitter.com/ladygaga/status/989203475224346626
989597437856645120,6.493539682559724,630,121958,3.4K,18332,2018-05-03_10_24_21,2041,2018-04-26,989597437856645120,http://twitter.com/ladygaga/status/989597437856645120
989972164383133696,5.907401315788344,304,16208,472,3036,2018-05-03_10_22_51,885,2018-04-27,989972164383133696,http://twitter.com/ladygaga/status/989972164383133696
989975635794710528,6.444210526333599,760,12754,356,2661,2018-05-03_10_21_28,2065,2018-04-27,989975635794710528,http://twitter.com/ladygaga/status/989975635794710528
990043430653837312,6.495493372627378,679,59763,1.5K,13392,2018-05-03_10_20_02,1869,2018-04-27,990043430653837312,http://twitter.com/ladygaga/status/990043430653837312
983913140009119744,6.573327841870612,607,20910,608,4035,2018-05-03_10_31_54,1629,2018-04-10,983913140009119744,http://twitter.com/ladygaga/status/983913140009119744
984528458234523648,6.54213592235038,618,36904,959,6116,2018-05-03_10_30_30,1790,2018-04-12,984528458234523648,http://twitter.com/ladygaga/status/984528458234523648
985360308720910336,6.516814024405335,656,59231,1.4K,10639,2018-05-03_10_29_00,2208,2018-04-14,985360308720910336,http://twitter.com/ladygaga/status/985360308720910336
987907087375069186,6.3443715847180195,549,38938,1.5K,7589,2018-05-03_10_27_07,1645,2018-04-21,987907087375069186,http://twitter.com/ladygaga/status/987907087375069186
980594362613612545,6.416447230966687,957,45399,1.6K,7125,2018-05-03_10_40_00,2468,2018-04-01,980594362613612545,http://twitter.com/ladygaga/status/980594362613612545
983077080496615425,6.623136094703495,845,164040,3.2K,43568,2018-05-03_10_38_01,2351,2018-04-08,983077080496615425,http://twitter.com/ladygaga/status/983077080496615425
983238110707240960,6.5961726618892635,695,98031,2.1K,19379,2018-05-03_10_36_37,1772,2018-04-09,983238110707240960,http://twitter.com/ladygaga/status/983238110707240960
983241471556911104,6.582311475431249,610,31547,675,5919,2018-05-03_10_35_14,1596,2018-04-09,983241471556911104,http://twitter.com/ladygaga/status/983241471556911104
983891794306871296,6.147396593687639,411,77526,1.2K,17077,2018-05-03_10_33_47,1595,2018-04-10,983891794306871296,http://twitter.com/ladygaga/status/983891794306871296
978353261454409729,6.487989323898607,1124,30609,1.2K,6530,2018-05-03_10_47_00,3198,2018-03-26,978353261454409729,http://twitter.com/ladygaga/status/978353261454409729
979091957803753472,6.680450160799327,933,201693,5.8K,39374,2018-05-03_10_45_32,2454,2018-03-28,979091957803753472,http://twitter.com/ladygaga/status/979091957803753472
979093276362854400,6.859569313597665,743,28951,1.6K,7204,2018-05-03_10_44_10,1644,2018-03-28,979093276362854400,http://twitter.com/ladygaga/status/979093276362854400
979502753037803520,6.581948453656447,970,37567,1.6K,10547,2018-05-03_10_42_43,2665,2018-03-29,979502753037803520,http://twitter.com/ladygaga/status/979502753037803520
980262867818565633,6.593589743594087,507,22841,885,2803,2018-05-03_10_41_21,1344,2018-03-31,980262867818565633,http://twitter.com/ladygaga/status/980262867818565633
977570065166909443,6.576410684490389,599,12900,338,3116,2018-05-03_10_51_51,1591,2018-03-24,977570065166909443,http://twitter.com/ladygaga/status/977570065166909443
977603418293395456,5.689405204474683,538,41842,785,9245,2018-05-03_10_50_25,1714,2018-03-24,977603418293395456,http://twitter.com/ladygaga/status/977603418293395456
977644773308645376,6.250129151306897,542,13822,426,3147,2018-05-03_10_48_33,1494,2018-03-24,977644773308645376,http://twitter.com/ladygaga/status/977644773308645376
975834198387826688,6.1848656716597175,670,17957,676,3218,2018-05-03_10_56_58,1843,2018-03-19,975834198387826688,http://twitter.com/ladygaga/status/975834198387826688
976681616482316289,6.4321120689663065,464,28706,668,4581,2018-05-03_10_55_03,1264,2018-03-21,976681616482316289,http://twitter.com/ladygaga/status/976681616482316289
977383328138526720,6.1895386703061375,737,17301,468,3876,2018-05-03_10_53_41,2010,2018-03-23,977383328138526720,http://twitter.com/ladygaga/status/977383328138526720
971860362466181120,6.58206349211468,1071,95575,2.0K,24678,2018-05-03_11_04_16,2625,2018-03-08,971860362466181120,http://twitter.com/ladygaga/status/971860362466181120
972287528895004672,6.395279034716626,663,21727,884,4370,2018-05-03_11_02_55,1794,2018-03-09,972287528895004672,http://twitter.com/ladygaga/status/972287528895004672
972604133663391749,6.796266666665892,450,64012,1.3K,7767,2018-05-03_11_01_32,1064,2018-03-10,972604133663391749,http://twitter.com/ladygaga/status/972604133663391749
973967804524249088,6.393284671533822,411,6042,117,1668,2018-05-03_11_00_11,1226,2018-03-14,973967804524249088,http://twitter.com/ladygaga/status/973967804524249088
974372261007208449,6.50997695852374,434,49278,1.1K,9865,2018-05-03_10_58_46,1269,2018-03-15,974372261007208449,http://twitter.com/ladygaga/status/974372261007208449
969788413766393856,6.4703619909497645,442,30210,1.0K,4941,2018-05-03_11_07_07,1167,2018-03-02,969788413766393856,http://twitter.com/ladygaga/status/969788413766393856
970495768485289984,6.235064267345912,389,36511,1.2K,6086,2018-05-03_11_05_43,1218,2018-03-04,970495768485289984,http://twitter.com/ladygaga/status/970495768485289984
965392933343059968,6.1394736842007065,532,33902,2.1K,6862,2018-05-03_11_14_37,1219,2018-02-18,965392933343059968,http://twitter.com/ladygaga/status/965392933343059968
965665815088398338,5.9116319999601465,1250,78656,1.9K,16465,2018-05-03_11_13_06,4140,2018-02-19,965665815088398338,http://twitter.com/ladygaga/status/965665815088398338
966751283947307008,6.412813765192387,494,47414,1.6K,9493,2018-05-03_11_11_45,1313,2018-02-22,966751283947307008,http://twitter.com/ladygaga/status/966751283947307008
969044007828377600,6.385850202440473,494,29756,1.2K,6028,2018-05-03_11_09_53,1467,2018-02-28,969044007828377600,http://twitter.com/ladygaga/status/969044007828377600
961076530465165312,6.3375447840206025,949,22101,1.4K,4134,2018-05-03_11_21_31,2809,2018-02-06,961076530465165312,http://twitter.com/ladygaga/status/961076530465165312
961311135671570432,6.4255154639524825,582,27545,1.3K,6445,2018-05-03_11_20_07,1727,2018-02-07,961311135671570432,http://twitter.com/ladygaga/status/961311135671570432
961317547025969152,6.534897435889242,390,74749,1.9K,9221,2018-05-03_11_18_42,1143,2018-02-07,961317547025969152,http://twitter.com/ladygaga/status/961317547025969152
961686928117518336,6.634890510948626,137,8899,121,1481,2018-05-03_11_17_21,502,2018-02-07,961686928117518336,http://twitter.com/ladygaga/status/961686928117518336
962474538096238592,6.355106666670863,750,7255,277,1868,2018-05-03_11_16_02,2213,2018-02-10,962474538096238592,http://twitter.com/ladygaga/status/962474538096238592
959683091781464064,6.155674999921291,1600,72085,6.1K,15162,2018-05-03_11_27_32,4073,2018-02-02,959683091781464064,http://twitter.com/ladygaga/status/959683091781464064
960272208068165633,6.381610337988957,503,93278,2.6K,13457,2018-05-03_11_26_16,1466,2018-02-04,960272208068165633,http://twitter.com/ladygaga/status/960272208068165633
960555553532493824,6.148697571733778,453,116416,3.0K,25031,2018-05-03_11_24_54,1180,2018-02-05,960555553532493824,http://twitter.com/ladygaga/status/960555553532493824
961042248707096576,6.527959183690497,588,25472,627,4852,2018-05-03_11_22_58,1790,2018-02-06,961042248707096576,http://twitter.com/ladygaga/status/961042248707096576
958715795756015617,6.207255319156296,470,45838,1.5K,8566,2018-05-03_11_34_26,1416,2018-01-31,958715795756015617,http://twitter.com/ladygaga/status/958715795756015617
958726650690199554,6.657308347555118,587,41212,679,8128,2018-05-03_11_33_02,1800,2018-01-31,958726650690199554,http://twitter.com/ladygaga/status/958726650690199554
958875059791245313,6.502028301913921,636,29574,746,5135,2018-05-03_11_31_43,1600,2018-01-31,958875059791245313,http://twitter.com/ladygaga/status/958875059791245313
959141442621923328,6.479487179489862,429,7917,126,2412,2018-05-03_11_30_19,1328,2018-01-30,959141442621923328,http://twitter.com/ladygaga/status/959141442621923328
959151508611837953,6.265324909771265,554,27328,976,6323,2018-05-03_11_28_54,1650,2018-02-01,959151508611837953,http://twitter.com/ladygaga/status/959151508611837953
957706631793598466,6.483994778087928,766,35988,1.6K,8714,2018-05-03_11_41_28,1955,2018-01-28,957706631793598466,http://twitter.com/ladygaga/status/957706631793598466
957746500875857920,6.475985130112631,269,25487,396,9440,2018-05-03_11_40_07,781,2018-01-28,957746500875857920,http://twitter.com/ladygaga/status/957746500875857920
957750303100678144,6.458210180644947,609,104090,2.5K,25241,2018-05-03_11_38_39,1700,2018-01-28,957750303100678144,http://twitter.com/ladygaga/status/957750303100678144
957978182266900480,6.494589502052876,743,77736,2.4K,13097,2018-05-03_11_37_16,1727,2018-01-29,957978182266900480,http://twitter.com/ladygaga/status/957978182266900480
