,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
971795491963965440,6.1405240641867325,935,5885,246,1228,2018-05-05_12_53_09,3105,2018-03-08,971795491963965440,http://twitter.com/laurawbush/status/971795491963965440
975004734192078848,6.6718181818182885,44,583,12,41,2018-05-05_12_51_48,129,2018-03-17,975004734192078848,http://twitter.com/laurawbush/status/975004734192078848
986443686757183488,6.303818663106238,1511,34621,872,3917,2018-05-05_12_49_24,3710,2018-04-17,986443686757183488,http://twitter.com/laurawbush/status/986443686757183488
945468246697930752,7.017624847742892,821,8363,288,469,2018-05-05_12_58_20,1722,2017-12-25,945468246697930752,http://twitter.com/laurawbush/status/945468246697930752
963434456718696448,6.78107728336607,427,2073,93,84,2018-05-05_12_56_00,1135,2018-02-13,963434456718696448,http://twitter.com/laurawbush/status/963434456718696448
969004128381915136,5.862142857142878,42,252,10,28,2018-05-05_12_54_38,158,2018-02-28,969004128381915136,http://twitter.com/laurawbush/status/969004128381915136
926041239681630208,5.3777777777777365,27,144,12,30,2018-05-05_13_04_29,121,2017-11-01,926041239681630208,http://twitter.com/laurawbush/status/926041239681630208
927345639092047872,5.735675675675735,74,186,21,24,2018-05-05_13_03_03,272,2017-11-05,927345639092047872,http://twitter.com/laurawbush/status/927345639092047872
935619198599991297,7.6,1,143,11,26,2018-05-05_13_01_10,2,2017-11-28,935619198599991297,http://twitter.com/laurawbush/status/935619198599991297
943279634241806343,6.375703703703059,135,429,32,118,2018-05-05_12_59_42,374,2017-12-19,943279634241806343,http://twitter.com/laurawbush/status/943279634241806343
921016333227216896,6.005869565217344,92,213,18,53,2018-05-05_13_08_25,340,2017-10-19,921016333227216896,http://twitter.com/laurawbush/status/921016333227216896
921016359357747200,5.703421052631287,152,170,40,38,2018-05-05_13_07_11,602,2017-10-19,921016359357747200,http://twitter.com/laurawbush/status/921016359357747200
925767177248092160,6.311968085104562,188,1156,46,172,2018-05-05_13_05_51,636,2017-11-01,925767177248092160,http://twitter.com/laurawbush/status/925767177248092160
909756449651396608,6.47092105263197,152,513,39,52,2018-05-05_13_14_26,398,2017-09-18,909756449651396608,http://twitter.com/laurawbush/status/909756449651396608
910303310409863168,6.528805031446537,159,958,49,99,2018-05-05_13_12_37,408,2017-09-19,910303310409863168,http://twitter.com/laurawbush/status/910303310409863168
918200284760899584,6.074918918918778,185,555,42,206,2018-05-05_13_10_46,547,2017-10-11,918200284760899584,http://twitter.com/laurawbush/status/918200284760899584
888071346281959424,0.0,0,64,14,18,2018-05-05_13_18_10,0,2017-07-20,888071346281959424,http://twitter.com/laurawbush/status/888071346281959424
890364875830153217,6.069032258064518,31,93,15,30,2018-05-05_13_16_17,83,2017-07-26,890364875830153217,http://twitter.com/laurawbush/status/890364875830153217
878385727129608193,5.044666666666772,60,90,13,31,2018-05-05_13_20_01,199,2017-06-23,878385727129608193,http://twitter.com/laurawbush/status/878385727129608193
850351783113347076,5.920843373494388,83,290,12,26,2018-05-05_13_26_57,261,2017-04-07,850351783113347076,http://twitter.com/laurawbush/status/850351783113347076
858057865461981185,6.6839999999999975,10,132,11,32,2018-05-05_13_24_34,45,2017-04-28,858057865461981185,http://twitter.com/laurawbush/status/858057865461981185
865694820416749570,6.616470588235277,17,228,10,53,2018-05-05_13_23_15,53,2017-05-19,865694820416749570,http://twitter.com/laurawbush/status/865694820416749570
808828961392304128,6.304374999999987,32,311,13,65,2018-05-05_13_36_06,87,2016-12-13,808828961392304128,http://twitter.com/laurawbush/status/808828961392304128
818942621351604224,6.0468965517242275,58,97,11,28,2018-05-05_13_34_47,168,2017-01-10,818942621351604224,http://twitter.com/laurawbush/status/818942621351604224
819952736330481664,6.647347629823598,886,4106,242,894,2018-05-05_13_33_23,2446,2017-01-13,819952736330481664,http://twitter.com/laurawbush/status/819952736330481664
826928801934372865,6.3836363636362625,99,424,30,58,2018-05-05_13_32_03,314,2017-02-01,826928801934372865,http://twitter.com/laurawbush/status/826928801934372865
839665140769427456,6.168433734939254,83,880,29,83,2018-05-05_13_30_43,194,2017-03-08,839665140769427456,http://twitter.com/laurawbush/status/839665140769427456
801938426723495936,6.745982905983283,117,1771,41,171,2018-05-05_13_41_08,274,2016-11-24,801938426723495936,http://twitter.com/laurawbush/status/801938426723495936
802236003809366017,6.513124999999738,144,1846,56,141,2018-05-05_13_39_44,489,2016-11-25,802236003809366017,http://twitter.com/laurawbush/status/802236003809366017
805838385055141888,6.347333333333276,30,254,12,90,2018-05-05_13_37_21,115,2016-12-05,805838385055141888,http://twitter.com/laurawbush/status/805838385055141888
