,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
912722389284397056,5.73462140991798,383,182,78,21,2018-05-03_12_04_06,1102,2017-09-26,912722389284397056,http://twitter.com/lisamurkowski/status/912722389284397056
912757235947855877,5.743892156917893,1020,997,382,269,2018-05-03_12_02_42,3237,2017-09-26,912757235947855877,http://twitter.com/lisamurkowski/status/912757235947855877
913782903414362112,6.112254545449908,275,1221,72,108,2018-05-03_12_01_25,855,2017-09-29,913782903414362112,http://twitter.com/lisamurkowski/status/913782903414362112
914848491381411840,5.3361074918710205,614,765,416,82,2018-05-03_11_59_56,2087,2017-10-02,914848491381411840,http://twitter.com/lisamurkowski/status/914848491381411840
921207082493280256,5.4946548956807995,623,73,149,15,2018-05-03_11_58_29,2043,2017-10-19,921207082493280256,http://twitter.com/lisamurkowski/status/921207082493280256
910882027456561157,5.71401654416239,1088,1188,1.2K,98,2018-05-03_12_11_05,3158,2017-09-21,910882027456561157,http://twitter.com/lisamurkowski/status/910882027456561157
911364524774699010,5.534517857180108,1120,529,860,46,2018-05-03_12_09_41,3329,2017-09-22,911364524774699010,http://twitter.com/lisamurkowski/status/911364524774699010
912367033559523328,5.631573556836956,1074,492,318,34,2018-05-03_12_08_15,3136,2017-09-25,912367033559523328,http://twitter.com/lisamurkowski/status/912367033559523328
912412846289489920,5.528261648780398,1116,191,273,23,2018-05-03_12_06_50,3226,2017-09-25,912412846289489920,http://twitter.com/lisamurkowski/status/912412846289489920
912680574258642944,5.636012658231822,474,35,114,10,2018-05-03_12_05_28,1546,2017-09-26,912680574258642944,http://twitter.com/lisamurkowski/status/912680574258642944
910144566032060416,5.77603703703538,270,103,90,18,2018-05-03_12_16_18,781,2017-09-19,910144566032060416,http://twitter.com/lisamurkowski/status/910144566032060416
910569387773571072,5.545668549944925,1062,357,466,23,2018-05-03_12_13_55,2917,2017-09-20,910569387773571072,http://twitter.com/lisamurkowski/status/910569387773571072
910653861244915712,5.57832891250117,1131,1394,688,143,2018-05-03_12_12_33,3242,2017-09-20,910653861244915712,http://twitter.com/lisamurkowski/status/910653861244915712
905219858668847106,6.027878787940137,858,2419,272,695,2018-05-03_12_23_16,2835,2017-09-05,905219858668847106,http://twitter.com/lisamurkowski/status/905219858668847106
908840666981126144,5.779627329194666,483,386,89,29,2018-05-03_12_21_54,1329,2017-09-15,908840666981126144,http://twitter.com/lisamurkowski/status/908840666981126144
909511534531014657,5.583945267987794,877,520,183,120,2018-05-03_12_20_28,2647,2017-09-17,909511534531014657,http://twitter.com/lisamurkowski/status/909511534531014657
909830938984579073,5.395352112674521,355,33,73,8,2018-05-03_12_19_03,1101,2017-09-18,909830938984579073,http://twitter.com/lisamurkowski/status/909830938984579073
