,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
913838484829478912,5.75196467991702,453,1234,116,574,2018-05-05_16_28_17,1483,2017-09-28,913838484829478912,http://twitter.com/maziehirono/status/913838484829478912
914926407620464640,4.861295180720991,332,1010,77,263,2018-05-05_16_26_52,1162,2017-10-02,914926407620464640,http://twitter.com/maziehirono/status/914926407620464640
920304687961853953,5.306962365585977,372,1190,157,982,2018-05-05_16_24_58,1367,2017-10-16,920304687961853953,http://twitter.com/maziehirono/status/920304687961853953
920376092971749376,5.556368932056171,515,1228,104,926,2018-05-05_16_23_33,1838,2017-10-17,920376092971749376,http://twitter.com/maziehirono/status/920376092971749376
910959237714644992,6.184545454548173,528,2782,152,1093,2018-05-05_16_35_36,1353,2017-09-21,910959237714644992,http://twitter.com/maziehirono/status/910959237714644992
912067053523226626,6.209541984728148,393,1801,103,436,2018-05-05_16_34_05,974,2017-09-24,912067053523226626,http://twitter.com/maziehirono/status/912067053523226626
912372831782137857,6.2774278846090485,416,1697,111,414,2018-05-05_16_32_38,990,2017-09-25,912372831782137857,http://twitter.com/maziehirono/status/912372831782137857
912399741228642304,5.734964200470268,419,3858,104,1825,2018-05-05_16_31_06,1268,2017-09-25,912399741228642304,http://twitter.com/maziehirono/status/912399741228642304
913118590341087233,5.5936818181875685,440,16868,631,10954,2018-05-05_16_29_42,1596,2017-09-27,913118590341087233,http://twitter.com/maziehirono/status/913118590341087233
909780086022426624,5.6793499999984585,200,2569,92,1231,2018-05-05_16_42_44,656,2017-09-18,909780086022426624,http://twitter.com/maziehirono/status/909780086022426624
909802536646905858,5.3981188118975965,505,3284,189,2716,2018-05-05_16_41_16,1819,2017-09-17,909802536646905858,http://twitter.com/maziehirono/status/909802536646905858
909826501633351680,5.583749999993284,328,3409,93,2589,2018-05-05_16_39_50,1202,2017-09-18,909826501633351680,http://twitter.com/maziehirono/status/909826501633351680
909900500220432384,5.5976832844552185,341,1644,158,1347,2018-05-05_16_38_26,1118,2017-09-18,909900500220432384,http://twitter.com/maziehirono/status/909900500220432384
910613698598797312,5.547759103638449,357,588,82,451,2018-05-05_16_37_02,1388,2017-09-20,910613698598797312,http://twitter.com/maziehirono/status/910613698598797312
899027170697269248,5.738646788994452,436,2544,104,862,2018-05-05_16_48_30,1468,2017-08-19,899027170697269248,http://twitter.com/maziehirono/status/899027170697269248
901265079127158784,5.403389261766598,596,4929,191,2079,2018-05-05_16_46_55,2432,2017-08-25,901265079127158784,http://twitter.com/maziehirono/status/901265079127158784
907632080867262464,5.892155625693723,951,7574,300,2044,2018-05-05_16_44_19,2912,2017-09-12,907632080867262464,http://twitter.com/maziehirono/status/907632080867262464
893863114881593346,6.222858809834234,857,41832,421,9967,2018-05-05_16_53_26,2694,2017-08-05,893863114881593346,http://twitter.com/maziehirono/status/893863114881593346
893970988689391616,6.719301075265727,372,1414,86,119,2018-05-05_16_52_06,844,2017-08-05,893970988689391616,http://twitter.com/maziehirono/status/893970988689391616
897630700203118592,5.716047904191463,334,1010,80,369,2018-05-05_16_50_35,1130,2017-08-15,897630700203118592,http://twitter.com/maziehirono/status/897630700203118592
890706128287539201,6.142952029524071,542,2265,95,790,2018-05-05_17_00_54,1330,2017-07-27,890706128287539201,http://twitter.com/maziehirono/status/890706128287539201
890734798913843200,6.1342455242913205,391,2833,92,1320,2018-05-05_16_58_41,1084,2017-07-27,890734798913843200,http://twitter.com/maziehirono/status/890734798913843200
890772467563859968,6.045459940649655,337,41669,1.2K,15386,2018-05-05_16_57_15,936,2017-07-27,890772467563859968,http://twitter.com/maziehirono/status/890772467563859968
890818416545640452,6.429989816765376,982,4824,371,803,2018-05-05_16_55_32,2246,2017-07-27,890818416545640452,http://twitter.com/maziehirono/status/890818416545640452
884868374408331264,5.5197149643854715,421,1884,105,754,2018-05-05_17_08_09,1772,2017-07-11,884868374408331264,http://twitter.com/maziehirono/status/884868374408331264
885261819400646656,5.775944055943673,286,1555,78,471,2018-05-05_17_06_45,889,2017-07-12,885261819400646656,http://twitter.com/maziehirono/status/885261819400646656
889901057417113600,5.553720238116174,672,2473,202,1938,2018-05-05_17_04_17,2602,2017-07-25,889901057417113600,http://twitter.com/maziehirono/status/889901057417113600
889968216482697216,6.300163230307914,1164,2814,389,1043,2018-05-05_17_02_33,2676,2017-07-25,889968216482697216,http://twitter.com/maziehirono/status/889968216482697216
879405475351146499,5.540448916429591,646,158,181,80,2018-05-05_17_13_41,2384,2017-06-26,879405475351146499,http://twitter.com/maziehirono/status/879405475351146499
879469515414929408,6.5018625277338895,902,12959,1.4K,4129,2018-05-05_17_11_49,1966,2017-06-26,879469515414929408,http://twitter.com/maziehirono/status/879469515414929408
879888332666404864,6.590115830116129,259,2301,135,283,2018-05-05_17_09_50,585,2017-06-27,879888332666404864,http://twitter.com/maziehirono/status/879888332666404864
862302360021995521,5.5717931034462165,290,326,72,120,2018-05-05_17_19_27,1105,2017-05-10,862302360021995521,http://twitter.com/maziehirono/status/862302360021995521
864572689528303618,6.205337837836673,296,2895,661,616,2018-05-05_17_17_30,662,2017-05-16,864572689528303618,http://twitter.com/maziehirono/status/864572689528303618
873955887815241729,5.397173333337379,375,401,117,312,2018-05-05_17_15_58,1567,2017-06-11,873955887815241729,http://twitter.com/maziehirono/status/873955887815241729
850020614681362432,5.4761732852187945,554,365,263,224,2018-05-05_17_27_36,2136,2017-04-06,850020614681362432,http://twitter.com/maziehirono/status/850020614681362432
851889426380836864,5.620671785041708,521,25806,280,13981,2018-05-05_17_26_07,2298,2017-04-11,851889426380836864,http://twitter.com/maziehirono/status/851889426380836864
855139776701313025,5.788446771393538,573,34606,1.0K,13885,2018-05-05_17_24_23,2158,2017-04-20,855139776701313025,http://twitter.com/maziehirono/status/855139776701313025
855140104754667523,5.481799307969316,867,22234,981,9027,2018-05-05_17_22_51,3219,2017-04-20,855140104754667523,http://twitter.com/maziehirono/status/855140104754667523
855222156963319809,5.439972222228336,360,1301,99,664,2018-05-05_17_21_29,1533,2017-04-20,855222156963319809,http://twitter.com/maziehirono/status/855222156963319809
847477394592022529,5.563909395992853,596,3933,339,3589,2018-05-05_17_34_48,2113,2017-03-30,847477394592022529,http://twitter.com/maziehirono/status/847477394592022529
