,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
914939084312911872,5.316715231818953,755,63,266,14,2018-05-05_19_46_06,2533,2017-10-02,914939084312911872,http://twitter.com/sendavidperdue/status/914939084312911872
914940934646849537,5.504649532711527,428,53,109,18,2018-05-05_19_44_36,1413,2017-10-02,914940934646849537,http://twitter.com/sendavidperdue/status/914940934646849537
916332346470813696,5.271200000007472,525,42,97,15,2018-05-05_19_43_02,1591,2017-10-06,916332346470813696,http://twitter.com/sendavidperdue/status/916332346470813696
917491057671200769,5.600365217418148,575,183,167,79,2018-05-05_19_41_28,2148,2017-10-09,917491057671200769,http://twitter.com/sendavidperdue/status/917491057671200769
918564235017441281,5.639316888068705,1054,248,279,119,2018-05-05_19_39_30,3571,2017-10-12,918564235017441281,http://twitter.com/sendavidperdue/status/918564235017441281
918892121012269057,5.593918439736488,564,176,150,80,2018-05-05_19_37_56,2059,2017-10-13,918892121012269057,http://twitter.com/sendavidperdue/status/918892121012269057
911247902273662976,5.6478425655939635,343,101,85,26,2018-05-05_19_54_58,1366,2017-09-22,911247902273662976,http://twitter.com/sendavidperdue/status/911247902273662976
912811438854561792,5.488713932382756,1213,185,366,94,2018-05-05_19_53_25,4258,2017-09-26,912811438854561792,http://twitter.com/sendavidperdue/status/912811438854561792
913062076767195137,5.539392523366175,428,68,79,70,2018-05-05_19_52_02,1375,2017-09-27,913062076767195137,http://twitter.com/sendavidperdue/status/913062076767195137
913077661488107521,5.424415422904217,804,437,196,141,2018-05-05_19_50_33,2792,2017-09-27,913077661488107521,http://twitter.com/sendavidperdue/status/913077661488107521
913158693323190277,5.49384615385102,481,84,82,20,2018-05-05_19_49_06,1456,2017-09-27,913158693323190277,http://twitter.com/sendavidperdue/status/913158693323190277
914822830545653760,5.3833333333573306,693,100,135,21,2018-05-05_19_47_37,2173,2017-10-02,914822830545653760,http://twitter.com/sendavidperdue/status/914822830545653760
909779263846526977,5.608260869578369,529,1180,206,291,2018-05-05_19_56_25,1938,2017-09-18,909779263846526977,http://twitter.com/sendavidperdue/status/909779263846526977
894960834748829697,5.7965451055804325,521,1539,105,739,2018-05-05_20_10_16,1785,2017-08-08,894960834748829697,http://twitter.com/sendavidperdue/status/894960834748829697
895104114509713408,5.575975395440458,569,1113,175,369,2018-05-05_20_08_40,2105,2017-08-08,895104114509713408,http://twitter.com/sendavidperdue/status/895104114509713408
896517050860023808,5.240950226269721,884,219,435,52,2018-05-05_20_07_03,3266,2017-08-12,896517050860023808,http://twitter.com/sendavidperdue/status/896517050860023808
896523265832886272,5.505137085158354,693,188510,65K,56656,2018-05-05_20_05_24,2251,2017-08-12,896523265832886272,http://twitter.com/sendavidperdue/status/896523265832886272
897595534084636672,5.633962264182802,742,430,462,122,2018-05-05_20_03_36,3023,2017-08-15,897595534084636672,http://twitter.com/sendavidperdue/status/897595534084636672
892781952436236288,5.840479338862482,605,552,146,204,2018-05-05_20_18_00,1843,2017-08-02,892781952436236288,http://twitter.com/sendavidperdue/status/892781952436236288
892781976175955968,5.700134770906963,742,9613,786,2363,2018-05-05_20_16_27,2625,2017-08-02,892781976175955968,http://twitter.com/sendavidperdue/status/892781976175955968
892793627788836866,5.752988047834313,753,273,184,117,2018-05-05_20_14_54,2654,2017-08-02,892793627788836866,http://twitter.com/sendavidperdue/status/892793627788836866
892896546383122432,5.564477351938455,574,255,106,74,2018-05-05_20_13_19,1909,2017-08-02,892896546383122432,http://twitter.com/sendavidperdue/status/892896546383122432
893156058520268801,5.545024509811534,408,125,107,51,2018-05-05_20_11_51,1566,2017-08-03,893156058520268801,http://twitter.com/sendavidperdue/status/893156058520268801
890667766721765377,5.872601156094118,519,6498,1.1K,1378,2018-05-05_20_25_47,1704,2017-07-27,890667766721765377,http://twitter.com/sendavidperdue/status/890667766721765377
890667830584135680,5.7689939024534596,656,9987,3.9K,2470,2018-05-05_20_24_10,2380,2017-07-27,890667830584135680,http://twitter.com/sendavidperdue/status/890667830584135680
890671217417437185,5.582213570658785,899,98,189,70,2018-05-05_20_22_34,3119,2017-07-27,890671217417437185,http://twitter.com/sendavidperdue/status/890671217417437185
890843451994066945,5.5643822075671485,1214,186,361,86,2018-05-05_20_20_56,4035,2017-07-28,890843451994066945,http://twitter.com/sendavidperdue/status/890843451994066945
892105650100199424,5.9109838709821565,620,2609,209,590,2018-05-05_20_19_26,2162,2017-07-31,892105650100199424,http://twitter.com/sendavidperdue/status/892105650100199424
887797861672505345,5.439430167615588,895,70,243,18,2018-05-05_20_33_14,3223,2017-07-19,887797861672505345,http://twitter.com/sendavidperdue/status/887797861672505345
889939193400619010,5.586306954465958,834,82,167,18,2018-05-05_20_31_47,2828,2017-07-25,889939193400619010,http://twitter.com/sendavidperdue/status/889939193400619010
889983612191363074,5.690000000018108,467,53,121,22,2018-05-05_20_30_22,1714,2017-07-25,889983612191363074,http://twitter.com/sendavidperdue/status/889983612191363074
890221768010588160,5.4325523560425015,764,130,186,96,2018-05-05_20_28_51,2771,2017-07-26,890221768010588160,http://twitter.com/sendavidperdue/status/890221768010588160
890283584132702209,5.557281292085374,743,99,169,40,2018-05-05_20_27_19,2601,2017-07-26,890283584132702209,http://twitter.com/sendavidperdue/status/890283584132702209
884808886007586816,5.5725999999973,300,54,86,13,2018-05-05_20_40_23,1009,2017-07-11,884808886007586816,http://twitter.com/sendavidperdue/status/884808886007586816
884827675508039681,5.734576576598449,555,109,111,37,2018-05-05_20_38_55,1899,2017-07-11,884827675508039681,http://twitter.com/sendavidperdue/status/884827675508039681
885093759255543808,5.535467889927151,545,27362,3.5K,6212,2018-05-05_20_37_29,2166,2017-07-12,885093759255543808,http://twitter.com/sendavidperdue/status/885093759255543808
885236319370317824,5.601055662209531,521,101,110,103,2018-05-05_20_36_08,1820,2017-07-12,885236319370317824,http://twitter.com/sendavidperdue/status/885236319370317824
887797175341789189,5.837022471905807,356,50,89,17,2018-05-05_20_34_43,1194,2017-07-19,887797175341789189,http://twitter.com/sendavidperdue/status/887797175341789189
879866001134931969,5.805728395071214,405,182,98,219,2018-05-05_20_47_23,1585,2017-06-27,879866001134931969,http://twitter.com/sendavidperdue/status/879866001134931969
880102260486918144,5.791279461275808,297,1324,86,498,2018-05-05_20_46_03,1174,2017-06-28,880102260486918144,http://twitter.com/sendavidperdue/status/880102260486918144
880175848497741825,5.701471927177972,659,34648,2.8K,44101,2018-05-05_20_44_33,2639,2017-06-09,880175848497741825,http://twitter.com/sendavidperdue/status/880175848497741825
880779368620068864,5.599640591979778,473,117,112,37,2018-05-05_20_43_13,1763,2017-06-30,880779368620068864,http://twitter.com/sendavidperdue/status/880779368620068864
880838268966903811,5.7196269727636215,697,1660,279,536,2018-05-05_20_41_46,2815,2017-06-30,880838268966903811,http://twitter.com/sendavidperdue/status/880838268966903811
867817046494642179,5.492249999999835,360,24,96,17,2018-05-05_20_54_33,1432,2017-05-25,867817046494642179,http://twitter.com/sendavidperdue/status/867817046494642179
870379383382560770,5.82805812418896,757,2901,624,780,2018-05-05_20_53_04,2522,2017-06-01,870379383382560770,http://twitter.com/sendavidperdue/status/870379383382560770
