,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
915648448841621504,5.3463892013869785,889,1798,216,605,2018-05-08_19_49_19,3309,2017-10-03,915648448841621504,http://twitter.com/senorrinhatch/status/915648448841621504
918557547811840000,6.036490384614322,208,260,70,84,2018-05-08_19_47_55,734,2017-10-12,918557547811840000,http://twitter.com/senorrinhatch/status/918557547811840000
920350002131677184,5.331748878921391,223,73,82,32,2018-05-08_19_46_28,724,2017-10-17,920350002131677184,http://twitter.com/senorrinhatch/status/920350002131677184
921065747991941121,5.597641099870613,691,208,163,69,2018-05-08_19_44_31,2205,2017-10-19,921065747991941121,http://twitter.com/senorrinhatch/status/921065747991941121
913898208044122112,5.276058091284604,241,57,79,24,2018-05-08_19_56_42,820,2017-09-29,913898208044122112,http://twitter.com/senorrinhatch/status/913898208044122112
914342155761614848,5.863539325843051,356,5241,78,1649,2018-05-08_19_55_16,1384,2017-09-26,914342155761614848,http://twitter.com/senorrinhatch/status/914342155761614848
914807715557408768,4.902002152892705,929,315,457,82,2018-05-08_19_53_49,2603,2017-10-02,914807715557408768,http://twitter.com/senorrinhatch/status/914807715557408768
914928312010625026,5.269970326411504,337,30,112,9,2018-05-08_19_52_12,1225,2017-10-02,914928312010625026,http://twitter.com/senorrinhatch/status/914928312010625026
915061531255205888,5.2994302554062775,509,157,131,43,2018-05-08_19_50_45,1646,2017-10-02,915061531255205888,http://twitter.com/senorrinhatch/status/915061531255205888
913411283344601089,5.518535825542587,321,17,88,9,2018-05-08_20_03_44,1194,2017-09-28,913411283344601089,http://twitter.com/senorrinhatch/status/913411283344601089
913436168032849921,5.3861769616242805,599,26,128,13,2018-05-08_20_02_23,1955,2017-09-28,913436168032849921,http://twitter.com/senorrinhatch/status/913436168032849921
913505309989244929,5.4248630887404286,913,273,385,83,2018-05-08_20_00_55,2608,2017-09-28,913505309989244929,http://twitter.com/senorrinhatch/status/913505309989244929
913855157175308288,5.676265356269842,407,155,140,67,2018-05-08_19_59_27,1511,2017-09-29,913855157175308288,http://twitter.com/senorrinhatch/status/913855157175308288
913886804276924419,5.993154981574955,542,35346,1.2K,126296,2018-05-08_19_58_02,1961,2017-09-29,913886804276924419,http://twitter.com/senorrinhatch/status/913886804276924419
912827596668325889,5.863539325843051,356,5241,78,1649,2018-05-08_20_10_44,1384,2017-09-26,912827596668325889,http://twitter.com/senorrinhatch/status/912827596668325889
913237835905474562,5.517256894069754,689,413,472,166,2018-05-08_20_09_20,2237,2017-09-27,913237835905474562,http://twitter.com/senorrinhatch/status/913237835905474562
913239291060477953,5.433366336627993,404,77,106,29,2018-05-08_20_07_55,1322,2017-09-27,913239291060477953,http://twitter.com/senorrinhatch/status/913239291060477953
913407518679891970,5.204041095896562,438,53,105,34,2018-05-08_20_06_34,1537,2017-09-28,913407518679891970,http://twitter.com/senorrinhatch/status/913407518679891970
913408468295536640,5.971082004583112,878,92843,6.2K,16896,2018-05-08_20_05_07,2547,2017-09-28,913408468295536640,http://twitter.com/senorrinhatch/status/913408468295536640
907819982188314624,6.014134366929388,387,78413,606,10965,2018-05-08_20_15_53,1452,2017-09-12,907819982188314624,http://twitter.com/senorrinhatch/status/907819982188314624
908397399680446465,5.256025179869397,556,76,90,33,2018-05-08_20_14_36,1852,2017-09-14,908397399680446465,http://twitter.com/senorrinhatch/status/908397399680446465
912356018453131265,5.5898211624672225,671,67,159,49,2018-05-08_20_12_43,2276,2017-09-25,912356018453131265,http://twitter.com/senorrinhatch/status/912356018453131265
906353400262033408,5.90008896795753,1124,28370,1.0K,37645,2018-05-08_20_23_09,3791,2017-09-08,906353400262033408,http://twitter.com/senorrinhatch/status/906353400262033408
906660515753099264,5.9686496695224704,1059,83748,25K,17785,2018-05-08_20_21_41,2487,2017-09-09,906660515753099264,http://twitter.com/senorrinhatch/status/906660515753099264
907311482232287233,5.457750000012363,800,658,220,197,2018-05-08_20_20_09,2430,2017-09-11,907311482232287233,http://twitter.com/senorrinhatch/status/907311482232287233
907311699463729154,5.407280423302558,945,1424,206,527,2018-05-08_20_18_40,2932,2017-09-11,907311699463729154,http://twitter.com/senorrinhatch/status/907311699463729154
907376424398594048,5.661986455991559,443,1775,93,835,2018-05-08_20_17_19,1727,2017-09-11,907376424398594048,http://twitter.com/senorrinhatch/status/907376424398594048
904513922857918465,5.763917525769736,291,225,72,120,2018-05-08_20_30_14,1083,2017-09-03,904513922857918465,http://twitter.com/senorrinhatch/status/904513922857918465
904747087119699968,5.763917525769743,291,225,72,120,2018-05-08_20_28_55,1083,2017-09-03,904747087119699968,http://twitter.com/senorrinhatch/status/904747087119699968
904758376877490176,5.8142928039767625,403,223,122,83,2018-05-08_20_27_29,1521,2017-09-04,904758376877490176,http://twitter.com/senorrinhatch/status/904758376877490176
905106893554810880,5.755176470588129,340,266,83,117,2018-05-08_20_26_08,1233,2017-09-05,905106893554810880,http://twitter.com/senorrinhatch/status/905106893554810880
905429039921455106,5.308469217989817,601,109,218,28,2018-05-08_20_24_37,2243,2017-09-06,905429039921455106,http://twitter.com/senorrinhatch/status/905429039921455106
903763497846272000,5.603753026672711,826,776,250,463,2018-05-08_20_35_06,2971,2017-09-01,903763497846272000,http://twitter.com/senorrinhatch/status/903763497846272000
904081190881304576,5.698421900180048,621,743,138,288,2018-05-08_20_33_03,2191,2017-09-02,904081190881304576,http://twitter.com/senorrinhatch/status/904081190881304576
904432062135980032,5.698421900180048,621,743,138,288,2018-05-08_20_31_41,2191,2017-09-02,904432062135980032,http://twitter.com/senorrinhatch/status/904432062135980032
900966943649177600,5.454913494807937,289,131,108,282,2018-05-08_20_41_20,1251,2017-08-24,900966943649177600,http://twitter.com/senorrinhatch/status/900966943649177600
901912643878957056,6.089625468163242,534,6704,142,2212,2018-05-08_20_39_55,1640,2017-08-27,901912643878957056,http://twitter.com/senorrinhatch/status/901912643878957056
903048694458597376,6.454849397611697,664,122270,1.2K,23759,2018-05-08_20_38_28,1974,2017-08-30,903048694458597376,http://twitter.com/senorrinhatch/status/903048694458597376
903642627462926336,5.603753026672711,826,776,250,463,2018-05-08_20_37_03,2971,2017-09-01,903642627462926336,http://twitter.com/senorrinhatch/status/903642627462926336
