Unnamed: 0,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920288811195748352,5.6410869565216935,368,14,79,7,2018-05-04_17_25_02,1207,2017-10-17,920288811195748352,http://twitter.com/senrobportman/status/920288811195748352
920337613600575488,5.141656050958481,471,27,104,19,2018-05-04_17_23_10,1464,2017-10-17,920337613600575488,http://twitter.com/senrobportman/status/920337613600575488
920737972328325121,5.504487179515823,702,30,157,9,2018-05-04_17_21_34,2136,2017-10-18,920737972328325121,http://twitter.com/senrobportman/status/920737972328325121
920738243859156992,5.268608695650248,345,35,92,14,2018-05-04_17_19_52,1040,2017-10-18,920738243859156992,http://twitter.com/senrobportman/status/920738243859156992
921096868695769088,5.328656330748127,387,27,80,15,2018-05-04_17_18_12,1214,2017-10-19,921096868695769088,http://twitter.com/senrobportman/status/921096868695769088
921121278504980480,5.436240601517321,532,15,93,11,2018-05-04_17_16_33,1685,2017-10-19,921121278504980480,http://twitter.com/senrobportman/status/921121278504980480
919632969869987841,5.419633699664347,819,51,177,17,2018-05-04_17_34_14,2775,2017-10-15,919632969869987841,http://twitter.com/senrobportman/status/919632969869987841
919707215245783040,5.853536585381574,492,82,83,15,2018-05-04_17_32_21,1788,2017-10-15,919707215245783040,http://twitter.com/senrobportman/status/919707215245783040
919980079911927810,5.434485981310856,428,6,81,2,2018-05-04_17_30_39,1342,2017-10-16,919980079911927810,http://twitter.com/senrobportman/status/919980079911927810
919997893615874048,5.3865641953122285,553,25,114,11,2018-05-04_17_28_51,1736,2017-10-16,919997893615874048,http://twitter.com/senrobportman/status/919997893615874048
920017529304629248,5.459903846181314,728,48,156,16,2018-05-04_17_26_47,2244,2017-10-16,920017529304629248,http://twitter.com/senrobportman/status/920017529304629248
918305660055511040,5.584607508531941,293,69,71,10,2018-05-04_17_42_49,1002,2017-10-11,918305660055511040,http://twitter.com/senrobportman/status/918305660055511040
918893134825820160,5.604727722772436,404,17,84,7,2018-05-04_17_41_15,1304,2017-10-13,918893134825820160,http://twitter.com/senrobportman/status/918893134825820160
918934869471670272,5.574601626037944,615,38,146,13,2018-05-04_17_39_35,2264,2017-10-13,918934869471670272,http://twitter.com/senrobportman/status/918934869471670272
919260519894323200,5.3943429286911115,799,38,141,14,2018-05-04_17_37_48,2464,2017-10-14,919260519894323200,http://twitter.com/senrobportman/status/919260519894323200
919607552437923840,5.281256198363949,605,19,150,7,2018-05-04_17_36_15,1944,2017-10-15,919607552437923840,http://twitter.com/senrobportman/status/919607552437923840
917807557405827073,5.561398104265087,422,14,91,7,2018-05-04_17_50_08,1342,2017-10-10,917807557405827073,http://twitter.com/senrobportman/status/917807557405827073
917810735584907264,5.596064908737889,986,65,218,19,2018-05-04_17_48_30,2959,2017-10-10,917810735584907264,http://twitter.com/senrobportman/status/917810735584907264
917834629310271488,6.015239520958242,334,56,81,11,2018-05-04_17_46_43,1179,2017-10-10,917834629310271488,http://twitter.com/senrobportman/status/917834629310271488
918129320647888896,5.344326241147988,564,35,133,14,2018-05-04_17_44_55,1884,2017-10-11,918129320647888896,http://twitter.com/senrobportman/status/918129320647888896
916683800406515712,5.4970879802064525,807,30,173,9,2018-05-04_17_57_43,2489,2017-10-07,916683800406515712,http://twitter.com/senrobportman/status/916683800406515712
916690585611841538,5.296262135934351,618,34,135,15,2018-05-04_17_56_10,2056,2017-10-07,916690585611841538,http://twitter.com/senrobportman/status/916690585611841538
916702178642759681,5.3593450881609,397,62,78,30,2018-05-04_17_54_43,1281,2017-10-07,916702178642759681,http://twitter.com/senrobportman/status/916702178642759681
917097767285198849,5.5963124999982234,320,140,89,34,2018-05-04_17_53_13,1212,2017-10-08,917097767285198849,http://twitter.com/senrobportman/status/917097767285198849
917142075992240128,5.372263414659209,1025,72,213,17,2018-05-04_17_51_39,3025,2017-10-08,917142075992240128,http://twitter.com/senrobportman/status/917142075992240128
916320123379740673,5.5262606232533695,1059,40,219,18,2018-05-05_19_41_02,3042,2017-10-06,916320123379740673,http://twitter.com/senrobportman/status/916320123379740673
916393631870676992,5.538397515561659,805,31,156,7,2018-05-05_19_38_26,2445,2017-10-06,916393631870676992,http://twitter.com/senrobportman/status/916393631870676992
916488135072030720,6.184612159335152,477,9687,215,5089,2018-05-05_19_36_48,1611,2017-10-06,916488135072030720,http://twitter.com/senrobportman/status/916488135072030720
915590596412108800,5.346632801182354,689,36,136,14,2018-05-05_19_48_52,2214,2017-10-04,915590596412108800,http://twitter.com/senrobportman/status/915590596412108800
915620282039013377,5.851319648090768,341,407,90,146,2018-05-05_19_47_22,1123,2017-10-04,915620282039013377,http://twitter.com/senrobportman/status/915620282039013377
915643453177864192,5.414977043182678,1089,39,207,14,2018-05-05_19_45_51,3256,2017-10-04,915643453177864192,http://twitter.com/senrobportman/status/915643453177864192
915965306375479296,5.617126099703044,341,138,85,36,2018-05-05_19_44_23,1240,2017-10-05,915965306375479296,http://twitter.com/senrobportman/status/915965306375479296
916022453398208513,5.3415834219272025,941,42,185,9,2018-05-05_19_42_45,2685,2017-10-05,916022453398208513,http://twitter.com/senrobportman/status/916022453398208513
914976166188118019,4.985212765956524,376,58,71,25,2018-05-05_19_53_05,1282,2017-10-02,914976166188118019,http://twitter.com/senrobportman/status/914976166188118019
915320037283647488,5.645384615380556,338,53,68,14,2018-05-05_19_51_40,1106,2017-10-03,915320037283647488,http://twitter.com/senrobportman/status/915320037283647488
915359259080183812,5.321070811764866,579,8,139,7,2018-05-05_19_50_14,1725,2017-10-03,915359259080183812,http://twitter.com/senrobportman/status/915359259080183812
914213772125913089,5.487395577399669,407,24,83,7,2018-05-05_20_06_02,1402,2017-09-30,914213772125913089,http://twitter.com/senrobportman/status/914213772125913089
914217045532610560,5.363809523825312,630,46,133,11,2018-05-05_20_04_28,1869,2017-09-30,914217045532610560,http://twitter.com/senrobportman/status/914217045532610560
914219551591559168,5.550491803297578,1037,59,308,12,2018-05-05_20_02_56,3397,2017-09-30,914219551591559168,http://twitter.com/senrobportman/status/914219551591559168
914612803222278145,5.474885057470816,174,65,268,36,2018-05-05_19_57_02,536,2017-10-01,914612803222278145,http://twitter.com/senrobportman/status/914612803222278145
914841884945784832,5.464081632683473,735,198,1.2K,35,2018-05-05_19_55_33,2437,2017-10-02,914841884945784832,http://twitter.com/senrobportman/status/914841884945784832
913472454869311490,5.4705154639308935,1067,101,246,39,2018-05-05_20_13_51,3153,2017-09-28,913472454869311490,http://twitter.com/senrobportman/status/913472454869311490
913793723909197824,5.3588059701609,670,61,125,32,2018-05-05_20_12_20,2076,2017-09-29,913793723909197824,http://twitter.com/senrobportman/status/913793723909197824
913795869731901440,5.3986666666850205,585,18,104,11,2018-05-05_20_10_50,1814,2017-09-29,913795869731901440,http://twitter.com/senrobportman/status/913795869731901440
913798526433419264,5.467884615398898,1040,68,245,16,2018-05-05_20_09_10,3257,2017-09-29,913798526433419264,http://twitter.com/senrobportman/status/913798526433419264
914185828573831169,5.937176780995246,379,113,83,27,2018-05-05_20_07_37,1178,2017-09-30,914185828573831169,http://twitter.com/senrobportman/status/914185828573831169
913393083768803328,5.3916871165960085,978,1648,5.7K,492,2018-05-05_20_20_47,3165,2017-09-27,913393083768803328,http://twitter.com/senrobportman/status/913393083768803328
913393207156854785,5.479490586962094,903,289,520,99,2018-05-05_20_19_20,2842,2017-09-27,913393207156854785,http://twitter.com/senrobportman/status/913393207156854785
913466207545778176,5.415953177283161,897,168,201,57,2018-05-05_20_17_19,2855,2017-09-28,913466207545778176,http://twitter.com/senrobportman/status/913466207545778176
913467841130704896,5.452972972996458,925,103,185,36,2018-05-05_20_15_39,2969,2017-09-28,913467841130704896,http://twitter.com/senrobportman/status/913467841130704896
913076769439338498,5.6692735703473245,647,134,172,19,2018-05-05_20_28_21,2119,2017-09-27,913076769439338498,http://twitter.com/senrobportman/status/913076769439338498
913095358359773187,5.7087719298219275,228,384,71,139,2018-05-05_20_26_51,848,2017-09-27,913095358359773187,http://twitter.com/senrobportman/status/913095358359773187
913162964907196417,5.443035971246232,695,58,163,17,2018-05-05_20_25_23,2291,2017-09-27,913162964907196417,http://twitter.com/senrobportman/status/913162964907196417
913171167879426048,5.347121212117028,396,33,99,15,2018-05-05_20_23_52,1295,2017-09-27,913171167879426048,http://twitter.com/senrobportman/status/913171167879426048
913181983873708032,5.418916408686546,646,39,142,15,2018-05-05_20_22_25,2111,2017-09-27,913181983873708032,http://twitter.com/senrobportman/status/913181983873708032
912387996296425472,5.0262857142827215,315,15,79,6,2018-05-05_20_34_11,1153,2017-09-25,912387996296425472,http://twitter.com/senrobportman/status/912387996296425472
912438013053095939,5.5287719298635265,1026,38,429,10,2018-05-05_20_32_39,3388,2017-09-25,912438013053095939,http://twitter.com/senrobportman/status/912438013053095939
912754383670128642,5.554988344997529,429,40,105,27,2018-05-05_20_31_17,1684,2017-09-26,912754383670128642,http://twitter.com/senrobportman/status/912754383670128642
912798440362467328,5.874340044762161,447,70,101,19,2018-05-05_20_29_47,1630,2017-09-26,912798440362467328,http://twitter.com/senrobportman/status/912798440362467328
911986090545840129,5.538859934852153,307,5,74,4,2018-05-05_20_41_57,1255,2017-09-24,911986090545840129,http://twitter.com/senrobportman/status/911986090545840129
912035661066186757,5.222206303721992,349,17,69,5,2018-05-05_20_40_33,1249,2017-09-24,912035661066186757,http://twitter.com/senrobportman/status/912035661066186757
912043969256632320,5.225250896080799,558,27,106,15,2018-05-05_20_39_04,1831,2017-09-24,912043969256632320,http://twitter.com/senrobportman/status/912043969256632320
912062840516747265,5.398027057530558,887,84,274,20,2018-05-05_20_37_37,3131,2017-09-24,912062840516747265,http://twitter.com/senrobportman/status/912062840516747265
912361839643840514,5.29841196782245,869,45,366,14,2018-05-05_20_36_11,2913,2017-09-25,912361839643840514,http://twitter.com/senrobportman/status/912361839643840514
911315180113485824,5.476459770115088,435,50,99,30,2018-05-05_20_49_16,1472,2017-09-22,911315180113485824,http://twitter.com/senrobportman/status/911315180113485824
911653414441852929,5.433758865243968,282,8,74,5,2018-05-05_20_47_48,1025,2017-09-23,911653414441852929,http://twitter.com/senrobportman/status/911653414441852929
911711282000203777,5.563559322031036,295,53,87,12,2018-05-05_20_46_27,971,2017-09-23,911711282000203777,http://twitter.com/senrobportman/status/911711282000203777
911712603235389440,5.704744680894012,940,106,213,22,2018-05-05_20_44_49,3163,2017-09-23,911712603235389440,http://twitter.com/senrobportman/status/911712603235389440
911984830933385216,5.5075449101787575,334,20,72,6,2018-05-05_20_43_25,1218,2017-09-24,911984830933385216,http://twitter.com/senrobportman/status/911984830933385216
910966364067782657,5.3480575539557815,278,13,71,10,2018-05-05_20_56_25,1066,2017-09-21,910966364067782657,http://twitter.com/senrobportman/status/910966364067782657
910994001565814786,5.539122137402722,262,6,72,3,2018-05-05_20_55_01,949,2017-09-21,910994001565814786,http://twitter.com/senrobportman/status/910994001565814786
910994809703337984,5.448009259272009,432,5,110,4,2018-05-05_20_53_35,1629,2017-09-21,910994809703337984,http://twitter.com/senrobportman/status/910994809703337984
911232034546253824,5.3468129771152455,524,75,133,43,2018-05-05_20_52_04,1865,2017-09-22,911232034546253824,http://twitter.com/senrobportman/status/911232034546253824
