,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
970649231466823681,6.240651162798519,430,115733,4.1K,31151,2018-05-02_11_42_30,1410,2018-03-05,970649231466823681,http://twitter.com/taylorswift13/status/970649231466823681
972979103358947328,6.207427685982427,968,78068,5.2K,19755,2018-05-02_11_40_58,3114,2018-03-11,972979103358947328,http://twitter.com/taylorswift13/status/972979103358947328
973010858526806016,6.439553975309032,1547,98714,7.0K,34381,2018-05-02_11_39_19,4421,2018-03-11,973010858526806016,http://twitter.com/taylorswift13/status/973010858526806016
979343067026214917,6.15411764709075,680,86722,4.1K,20112,2018-05-02_11_37_42,2156,2018-03-29,979343067026214917,http://twitter.com/taylorswift13/status/979343067026214917
979585838374948866,6.400866141756527,635,81906,3.1K,21257,2018-05-02_11_36_16,2057,2018-03-29,979585838374948866,http://twitter.com/taylorswift13/status/979585838374948866
983857638940307457,6.430324483793749,678,56623,2.4K,9310,2018-05-02_11_34_50,1984,2018-04-10,983857638940307457,http://twitter.com/taylorswift13/status/983857638940307457
944721233614114817,6.166581560308974,705,42869,2.1K,7545,2018-05-02_11_49_42,2505,2017-12-23,944721233614114817,http://twitter.com/taylorswift13/status/944721233614114817
951441082432282625,6.4272696245719745,293,132953,4.6K,43817,2018-05-02_11_48_14,850,2018-01-11,951441082432282625,http://twitter.com/taylorswift13/status/951441082432282625
951680840706048000,6.604204545447661,352,85091,3.9K,31898,2018-05-02_11_46_50,1177,2018-01-11,951680840706048000,http://twitter.com/taylorswift13/status/951680840706048000
960640367942144000,6.210036832433912,543,88245,4.9K,19467,2018-05-02_11_45_27,1976,2018-02-05,960640367942144000,http://twitter.com/taylorswift13/status/960640367942144000
969342733088444417,6.170377358495383,424,175854,8.0K,46690,2018-05-02_11_44_03,1400,2018-03-01,969342733088444417,http://twitter.com/taylorswift13/status/969342733088444417
940334500269223936,6.566862170089218,341,22842,343,6225,2018-05-02_11_57_16,1026,2017-12-11,940334500269223936,http://twitter.com/taylorswift13/status/940334500269223936
940334522457100291,6.4436137071635935,321,23297,268,5556,2018-05-02_11_55_43,1012,2017-12-11,940334522457100291,http://twitter.com/taylorswift13/status/940334522457100291
940334535337824257,6.4430133333312245,375,29782,582,8144,2018-05-02_11_54_19,1071,2017-12-11,940334535337824257,http://twitter.com/taylorswift13/status/940334535337824257
941039587849146368,6.62488812393446,581,58638,3.5K,11196,2018-05-02_11_52_47,1745,2017-12-13,941039587849146368,http://twitter.com/taylorswift13/status/941039587849146368
942153309938421760,6.214467455617172,338,18692,651,4212,2018-05-02_11_51_18,1215,2017-12-16,942153309938421760,http://twitter.com/taylorswift13/status/942153309938421760
936377361842475008,6.091128048779282,328,45551,1.1K,12723,2018-05-02_12_04_34,1203,2017-11-30,936377361842475008,http://twitter.com/taylorswift13/status/936377361842475008
936749706629271555,6.159337175813904,694,46703,1.7K,9546,2018-05-02_12_03_12,2680,2017-12-01,936749706629271555,http://twitter.com/taylorswift13/status/936749706629271555
937739344827371520,6.455610859726724,442,86080,2.8K,19056,2018-05-02_12_01_48,1241,2017-12-04,937739344827371520,http://twitter.com/taylorswift13/status/937739344827371520
938591306842034177,6.443646017713943,565,54603,1.6K,13037,2018-05-02_12_00_13,1512,2017-12-06,938591306842034177,http://twitter.com/taylorswift13/status/938591306842034177
938829521960218625,6.3512307692306464,65,31555,752,6468,2018-05-02_11_58_48,201,2017-12-07,938829521960218625,http://twitter.com/taylorswift13/status/938829521960218625
930553398906249216,6.177168674695816,332,33160,599,4457,2018-05-02_12_10_21,1148,2017-11-14,930553398906249216,http://twitter.com/taylorswift13/status/930553398906249216
930553587423502336,6.480953389853822,472,35635,1.2K,4860,2018-05-02_12_08_52,1721,2017-11-14,930553587423502336,http://twitter.com/taylorswift13/status/930553587423502336
930647090933493760,6.506031746045902,504,51461,1.7K,11436,2018-05-02_12_07_29,1430,2017-11-14,930647090933493760,http://twitter.com/taylorswift13/status/930647090933493760
931256622277648384,6.615252659598008,752,103278,4.7K,20023,2018-05-02_12_06_06,1991,2017-11-16,931256622277648384,http://twitter.com/taylorswift13/status/931256622277648384
930536853983383553,0.0,0,26050,1.0K,5857,2018-05-02_12_18_24,0,2017-11-14,930536853983383553,http://twitter.com/taylorswift13/status/930536853983383553
930550844117970947,6.345510204094727,441,29417,718,3935,2018-05-02_12_16_57,1496,2017-11-14,930550844117970947,http://twitter.com/taylorswift13/status/930550844117970947
930551377830522880,6.374367541777342,419,34333,588,4374,2018-05-02_12_15_32,1355,2017-11-14,930551377830522880,http://twitter.com/taylorswift13/status/930551377830522880
930551866232135681,6.394917491748703,303,29467,547,3934,2018-05-02_12_13_49,1107,2017-11-14,930551866232135681,http://twitter.com/taylorswift13/status/930551866232135681
930552369057878017,6.422591240873211,274,35644,617,4553,2018-05-02_12_12_21,1052,2017-11-14,930552369057878017,http://twitter.com/taylorswift13/status/930552369057878017
929876450299191301,6.448396501454573,343,17499,230,3594,2018-05-02_12_25_19,922,2017-11-12,929876450299191301,http://twitter.com/taylorswift13/status/929876450299191301
929876979481919489,6.326339622641061,265,15644,155,2760,2018-05-02_12_23_55,719,2017-11-12,929876979481919489,http://twitter.com/taylorswift13/status/929876979481919489
929878393155239936,6.317838827838289,273,17001,156,3157,2018-05-02_12_22_31,824,2017-11-12,929878393155239936,http://twitter.com/taylorswift13/status/929878393155239936
929878600026869760,6.719999999999992,19,18724,255,3428,2018-05-02_12_21_10,52,2017-11-12,929878600026869760,http://twitter.com/taylorswift13/status/929878600026869760
929878792704634881,2.22,1,23672,447,4260,2018-05-02_12_19_47,23,2017-11-12,929878792704634881,http://twitter.com/taylorswift13/status/929878792704634881
929442865687748608,6.316293532342521,402,30323,500,4651,2018-05-02_12_32_33,1316,2017-11-11,929442865687748608,http://twitter.com/taylorswift13/status/929442865687748608
929443465062158336,6.191904761906207,420,35034,891,5250,2018-05-02_12_30_58,1471,2017-11-11,929443465062158336,http://twitter.com/taylorswift13/status/929443465062158336
929449365630017536,6.722067307691227,416,34060,824,6182,2018-05-02_12_29_26,1221,2017-11-11,929449365630017536,http://twitter.com/taylorswift13/status/929449365630017536
