Unnamed: 0,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989880472149942280,5.8006090026018455,1133,3781,202,1152,2018-04-30_14_02_45,4227,2018-04-26,989880472149942280,http://twitter.com/xychelsea/status/989880472149942280
990050214349299714,5.568406593405991,182,2773,36,631,2018-04-30_13_59_46,781,2018-04-27,990050214349299714,http://twitter.com/xychelsea/status/990050214349299714
990070110709788673,5.558647540980688,244,1895,19,1322,2018-04-30_13_58_24,1069,2018-04-27,990070110709788673,http://twitter.com/xychelsea/status/990070110709788673
990105179197509633,5.920350404318572,371,5878,307,970,2018-04-30_13_56_56,1553,2018-04-27,990105179197509633,http://twitter.com/xychelsea/status/990105179197509633
990294242257002496,5.9126315789476,76,1205,38,90,2018-04-30_13_55_31,317,2018-04-28,990294242257002496,http://twitter.com/xychelsea/status/990294242257002496
990351889144401921,6.590702341134362,299,3796,124,185,2018-04-30_13_54_08,832,2018-04-28,990351889144401921,http://twitter.com/xychelsea/status/990351889144401921
989619282823741440,5.765232558157103,602,940,64,196,2018-04-30_14_09_52,2140,2018-04-26,989619282823741440,http://twitter.com/xychelsea/status/989619282823741440
989673031378374657,6.022428571428717,70,543,21,191,2018-04-30_14_08_28,218,2018-04-26,989673031378374657,http://twitter.com/xychelsea/status/989673031378374657
989696237271158784,6.293793103448419,58,366,22,17,2018-04-30_14_06_04,135,2018-04-26,989696237271158784,http://twitter.com/xychelsea/status/989696237271158784
989878382321192961,5.869100529095542,378,1046,70,205,2018-04-30_14_04_44,1281,2018-04-27,989878382321192961,http://twitter.com/xychelsea/status/989878382321192961
988180163669188610,6.028975155276273,322,443,67,21,2018-04-30_14_22_52,937,2018-04-22,988180163669188610,http://twitter.com/xychelsea/status/988180163669188610
988224424271859712,5.799444444444478,36,693,11,207,2018-04-30_14_21_32,150,2018-04-22,988224424271859712,http://twitter.com/xychelsea/status/988224424271859712
988243046633439233,5.799444444444478,36,693,11,207,2018-04-30_14_20_12,150,2018-04-22,988243046633439233,http://twitter.com/xychelsea/status/988243046633439233
988260789860601857,6.408618181818322,275,2727,107,89,2018-04-30_14_18_46,762,2018-04-22,988260789860601857,http://twitter.com/xychelsea/status/988260789860601857
988267978771849217,6.1650526315789085,95,1011,30,85,2018-04-30_14_17_21,239,2018-04-22,988267978771849217,http://twitter.com/xychelsea/status/988267978771849217
989538983255388162,5.797477718317157,1122,3781,202,1152,2018-04-30_14_15_27,4211,2018-04-26,989538983255388162,http://twitter.com/xychelsea/status/989538983255388162
989541593991516160,5.7899462365576015,186,565,32,145,2018-04-30_14_13_11,733,2018-04-26,989541593991516160,http://twitter.com/xychelsea/status/989541593991516160
988141472317833216,5.753624161072074,149,721,35,278,2018-04-30_14_31_10,650,2018-04-22,988141472317833216,http://twitter.com/xychelsea/status/988141472317833216
988144241309306880,5.277222222222293,54,1534,36,112,2018-04-30_14_29_18,194,2018-04-22,988144241309306880,http://twitter.com/xychelsea/status/988144241309306880
988153570984947713,6.408618181818322,275,2727,107,89,2018-04-30_14_26_31,762,2018-04-22,988153570984947713,http://twitter.com/xychelsea/status/988153570984947713
988164118464122880,5.95523560209313,191,435,29,74,2018-04-30_14_24_44,701,2018-04-22,988164118464122880,http://twitter.com/xychelsea/status/988164118464122880
985229357051412480,5.540394126634522,1294,4552,234,937,2018-04-30_14_43_18,4394,2018-04-14,985229357051412480,http://twitter.com/xychelsea/status/985229357051412480
985345710035034112,5.690658682633046,167,2646,62,1317,2018-04-30_14_41_55,645,2018-04-14,985345710035034112,http://twitter.com/xychelsea/status/985345710035034112
985849424466333696,5.364920634920675,63,127,15,71,2018-04-30_14_40_06,245,2018-04-16,985849424466333696,http://twitter.com/xychelsea/status/985849424466333696
987426549635932161,5.179578947368794,285,1897,44,334,2018-04-30_14_38_43,971,2018-04-20,987426549635932161,http://twitter.com/xychelsea/status/987426549635932161
987436288554012673,5.913827160493987,81,2321,22,848,2018-04-30_14_37_14,319,2018-04-20,987436288554012673,http://twitter.com/xychelsea/status/987436288554012673
988129385810100224,5.761176470585937,238,442,38,53,2018-04-30_14_35_54,878,2018-04-22,988129385810100224,http://twitter.com/xychelsea/status/988129385810100224
988137269314899968,6.134033149170035,181,785,51,106,2018-04-30_14_33_53,485,2018-04-22,988137269314899968,http://twitter.com/xychelsea/status/988137269314899968
988138308910964736,5.709247311828253,93,342,29,21,2018-04-30_14_32_29,363,2018-04-22,988138308910964736,http://twitter.com/xychelsea/status/988138308910964736
984995530475495424,5.330390455541541,461,2179,66,595,2018-04-30_14_53_41,1766,2018-04-13,984995530475495424,http://twitter.com/xychelsea/status/984995530475495424
985001592020549632,5.330390455541541,461,2179,66,595,2018-04-30_14_50_57,1766,2018-04-13,985001592020549632,http://twitter.com/xychelsea/status/985001592020549632
985188314457296901,6.063846153844044,182,849,41,130,2018-04-30_14_49_28,660,2018-04-14,985188314457296901,http://twitter.com/xychelsea/status/985188314457296901
985193705618452480,5.540394126634522,1294,4552,234,937,2018-04-30_14_48_01,4394,2018-04-14,985193705618452480,http://twitter.com/xychelsea/status/985193705618452480
985209194986065921,5.2074494949454335,396,1952,63,489,2018-04-30_14_46_41,1386,2018-04-14,985209194986065921,http://twitter.com/xychelsea/status/985209194986065921
985228059174428672,6.135370370368578,162,576,47,29,2018-04-30_14_45_20,561,2018-04-14,985228059174428672,http://twitter.com/xychelsea/status/985228059174428672
984122474370686976,5.496282306172254,503,2801,75,805,2018-04-30_15_03_56,1708,2018-04-11,984122474370686976,http://twitter.com/xychelsea/status/984122474370686976
984157346925629445,5.409716494862369,776,6365,146,1775,2018-04-30_15_02_04,2804,2018-04-11,984157346925629445,http://twitter.com/xychelsea/status/984157346925629445
